# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = model_e4a7eeb0354675692635eec86e4e72e0_model
# start_datetime = 2025-04-13 09:08:32 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 6
# data
#   file = /var/folders/sg/z3fcysgj5h56dkrzxcppmh3m0000gn/T/RtmptLvmXS/standata-7ac773e40a38.json
# init = 2 (Default)
# random
#   seed = 48165597
# output
#   file = /Users/lukaseamus/Desktop/Projects/Corallines/coralline-carbon/Stan/model_e4a7eeb0354675692635eec86e4e72e0-202504131708-6-90d7d1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /Users/lukaseamus/Desktop/Projects/Corallines/coralline-carbon/Stan/model_e4a7eeb0354675692635eec86e4e72e0-profile-202504131708-6-64bcdd.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=model_e4a7eeb0354675692635eec86e4e72e0_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,O2_max,beta,O2_0,sigma
# Adaptation terminated
# Step size = 0.2112
# Diagonal elements of inverse mass matrix:
# 0.000168029, 0.0103851, 0.000192279, 0.000788586
-2632.13,0.758215,0.2112,2,3,0,2633.49,674.901,6.98366,219.66,25.4407
-2632.1,0.818489,0.2112,4,15,0,2635.91,681.553,7.0926,216.083,25.9305
-2632.67,0.965691,0.2112,3,7,0,2633.47,684.359,7.11907,213.705,26.1241
-2632.75,0.914285,0.2112,4,15,0,2634.7,683.466,7.06385,216.712,24.7764
-2633.62,0.991967,0.2112,4,15,0,2635.56,690.658,7.05563,213.373,26.4272
-2632.48,0.99883,0.2112,4,15,0,2635.47,673.431,7.01283,219.779,25.954
-2631.48,0.997167,0.2112,4,15,0,2634.32,696.806,6.97288,216.129,25.6
-2631.68,0.638923,0.2112,3,15,0,2635.88,698.567,6.82921,223.05,25.5217
-2630.29,0.978723,0.2112,3,11,0,2632,690.865,6.84628,221.46,25.409
-2631.02,0.961718,0.2112,4,15,0,2631.55,696.497,6.90509,218.316,26.3824
-2630.89,0.96328,0.2112,4,15,0,2632.23,688.554,6.95591,219.507,25.0274
-2631.53,0.991001,0.2112,3,7,0,2631.9,685.395,6.96005,218.378,24.7108
-2630.91,0.986402,0.2112,4,15,0,2632.42,680.832,6.97159,219.51,25.1927
-2632.35,0.884578,0.2112,3,15,0,2635.31,682.386,6.91771,220.386,24.5591
-2631.68,0.942111,0.2112,4,15,0,2635.48,694.197,6.74224,225.016,26.2029
-2633.38,0.826504,0.2112,3,15,0,2637.17,705.396,6.72834,225.609,26.3277
-2631.69,1,0.2112,4,15,0,2633.97,692.023,6.82425,224.086,26.3186
-2630.56,0.998753,0.2112,4,15,0,2632.13,694.523,6.88392,221.129,25.3104
-2631.03,0.994973,0.2112,4,15,0,2631.45,689.709,6.93906,220.006,26.5292
-2632.02,0.925364,0.2112,4,15,0,2632.88,681.401,6.93858,219.162,25.027
-2636.17,1,0.2112,4,15,0,2639.36,677.217,7.1733,213.135,27.3623
