# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = model_e4a7eeb0354675692635eec86e4e72e0_model
# start_datetime = 2025-04-13 09:08:02 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 7
# data
#   file = /var/folders/sg/z3fcysgj5h56dkrzxcppmh3m0000gn/T/RtmptLvmXS/standata-7ac7588bbaf0.json
# init = 2 (Default)
# random
#   seed = 150153370
# output
#   file = /Users/lukaseamus/Desktop/Projects/Corallines/coralline-carbon/Stan/model_e4a7eeb0354675692635eec86e4e72e0-202504131708-7-0d0685.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /Users/lukaseamus/Desktop/Projects/Corallines/coralline-carbon/Stan/model_e4a7eeb0354675692635eec86e4e72e0-profile-202504131708-7-858fea.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=model_e4a7eeb0354675692635eec86e4e72e0_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,O2_max,beta,O2_0,sigma
# Adaptation terminated
# Step size = 0.358354
# Diagonal elements of inverse mass matrix:
# 0.0581985, 29.9081, 0.000260231, 0.000600706
-3863.27,0.871099,0.358354,3,15,0,3865.52,32.4758,-17.1418,565.883,111.187
-3867.03,0.912377,0.358354,4,15,0,3868.29,55.7379,-33.7301,590.666,114.527
-3864.59,0.784454,0.358354,3,15,0,3869.17,28.7385,-13.3108,563.485,108.419
-3864.56,0.986003,0.358354,3,7,0,3865.1,28.7976,-18.3406,563.272,115.033
-3866.28,0.992894,0.358354,3,7,0,3866.75,21.5689,-9.20701,556.469,108.143
-3864.29,1,0.358354,3,7,0,3866.86,26.6264,-13.7007,555.84,112.755
-3863.32,0.971718,0.358354,4,15,0,3864.7,33.4358,-17.8197,568.29,111.749
-3863.65,0.914219,0.358354,2,7,0,3864.44,34.4296,-17.6667,569.224,109.65
-3864.5,0.727998,0.358354,2,7,0,3866.27,31.4034,-23.2349,567.684,110.754
-3865.53,0.962838,0.358354,3,7,0,3867.28,30.3095,-25.509,561.416,114.181
-3864.82,0.931077,0.358354,2,7,0,3868.6,31.9868,-22.1119,566.687,115.307
-3863.78,0.600421,0.358354,3,11,0,3868.59,31.8575,-13.2338,566.608,112.795
-3864.89,0.966079,0.358354,2,7,0,3866.48,39.2996,-14.5371,571.135,115.741
-3864.68,0.721626,0.358354,3,15,0,3867,38.5728,-27.9264,569.868,110.578
-3865.67,0.976572,0.358354,3,7,0,3867.15,42.7738,-13.9994,579.63,112.338
-3864.9,1,0.358354,2,3,0,3865.84,42.4182,-15.7283,579.576,112.789
-3865.9,0.969678,0.358354,3,7,0,3867.27,39.3767,-27.5576,575.44,107.726
-3865.29,0.997611,0.358354,3,7,0,3866.54,48.0872,-20.1212,578.421,115.853
-3864.85,0.997914,0.358354,3,7,0,3865.97,38.0824,-25.0276,573.339,115.279
-3864.87,0.801332,0.358354,4,15,0,3867.13,33.9771,-13.0096,572.227,113.709
-3864.24,0.958583,0.358354,3,11,0,3867.94,46.271,-20.5226,577.258,113.813
-3865.93,0.957717,0.358354,3,7,0,3866.93,49.0779,-20.8383,579.971,108.239
-3865.58,0.451468,0.358354,3,7,0,3868.73,41.9424,-21.3929,583.107,111.349
-3864.84,0.935634,0.358354,3,7,0,3866.86,41.1641,-24.7599,578.157,109.159
-3868.05,0.693857,0.358354,3,7,0,3870.28,47.7055,-37.8467,581.124,109.045
-3865.1,0.510985,0.358354,3,7,0,3870.16,51.3788,-28.5125,584.064,113.379
-3863.64,0.988845,0.358354,4,15,0,3866.29,30.309,-18.6627,561.166,111.797
-3864.45,0.951533,0.358354,3,11,0,3865.29,40.9099,-21.843,571.879,108.492
-3864.58,0.775403,0.358354,2,3,0,3865.62,41.4741,-20.9787,575.541,108.25
-3864.92,0.648516,0.358354,2,3,0,3866.38,42.8645,-23.3469,574.27,108.01
-3863.58,0.930848,0.358354,3,11,0,3865.99,30.0477,-16.7625,565.021,110.792
-3865.1,0.972568,0.358354,3,7,0,3865.59,23.7802,-15.0316,556.184,108.522
-3865.16,0.810273,0.358354,3,7,0,3866.88,25.3946,-14.2565,563.217,109.133
-3865.57,0.936145,0.358354,3,13,0,3866.99,38.5678,-20.2406,564.198,108.81
-3863.75,0.989184,0.358354,3,15,0,3865.69,41.0626,-18.983,574.486,110.176
-3864.55,0.920405,0.358354,2,7,0,3865.62,37.4003,-25.312,571.416,114.603
-3864.41,0.881018,0.358354,3,15,0,3867.17,25.2656,-17.4272,560.13,111.415
-3866.25,0.983595,0.358354,4,15,0,3867.64,23.8037,-10.3671,559.899,107.492
-3866.35,0.952355,0.358354,4,15,0,3867.99,25.3368,-12.329,563.792,107.502
-3864.92,0.896017,0.358354,3,7,0,3867.86,24.6608,-13.8929,552.575,112.108
-3867.62,0.412166,0.358354,2,7,0,3871.93,21.9299,-14.4497,564.59,111.452
-3865.71,1,0.358354,2,3,0,3867.82,33.2057,-13.4729,557.59,111.421
-3864.97,0.950695,0.358354,2,7,0,3868.47,25.9447,-20.5972,556.703,112.648
-3865.3,0.904641,0.358354,4,15,0,3866.58,50.2592,-18.5917,581.666,112.225
-3864.5,0.994707,0.358354,3,7,0,3865.79,42.2501,-18.0326,579.983,111.52
-3865.11,0.911298,0.358354,3,7,0,3868.97,41.9002,-20.5993,578.028,107.965
-3865.31,0.836463,0.358354,3,11,0,3868.6,27.2328,-21.7941,560.03,108.509
-3864.62,0.995357,0.358354,3,15,0,3866.82,36.8233,-23.8495,569.682,108.236
-3864.29,0.457242,0.358354,4,15,0,3869.03,42.2959,-17.6267,573.265,114.785
-3864.98,0.855533,0.358354,3,7,0,3865.83,38.579,-17.0888,578.671,112.796
-3866.46,0.703751,0.358354,3,7,0,3868.9,46.4589,-15.6823,573.177,111.096
-3864.1,1,0.358354,2,7,0,3866.51,33.1706,-18.6823,571.483,111.658
-3863.89,0.99038,0.358354,3,7,0,3866.78,37.3357,-15.8564,573.641,113.006
-3864.39,0.999567,0.358354,4,15,0,3864.97,37.2831,-14.1541,569.744,114.95
-3864.36,0.998214,0.358354,3,15,0,3865.3,27.8281,-17.1266,558.546,114.259
-3864.85,0.953255,0.358354,3,7,0,3866.61,23.3733,-10.0282,557.597,112.508
-3863.93,0.99316,0.358354,3,7,0,3865.31,28.7848,-17.2866,558.934,112.925
-3863.34,1,0.358354,3,7,0,3864.12,32.5101,-18.106,565.772,110.727
-3863.59,0.974625,0.358354,3,7,0,3864.08,31.411,-19.9636,562.962,111.597
-3863.59,0.62118,0.358354,2,3,0,3869.54,31.411,-19.9636,562.962,111.597
-3863.67,0.987589,0.358354,3,11,0,3864.53,42.5479,-23.0977,574.566,112.779
-3864.63,0.98728,0.358354,4,15,0,3865.15,47.2013,-22.5728,582.872,114.465
-3866.93,0.742329,0.358354,3,15,0,3868.41,40.3146,-15.4973,580.453,117.034
-3866.41,0.97074,0.358354,3,15,0,3868.37,42.0085,-13.1748,574.672,116.63
-3866.65,0.917194,0.358354,4,15,0,3870.7,47.9321,-22.8709,580.528,118.512
-3864.3,0.998883,0.358354,3,7,0,3867.32,41.5506,-26.4276,574.168,113.725
-3866.24,0.718728,0.358354,4,15,0,3867.05,53.6582,-22.8966,581.14,110.645
-3865.1,1,0.358354,3,7,0,3866.68,39.5976,-28.2829,568.809,113.321
-3866.52,0.976881,0.358354,3,7,0,3867.63,46.4726,-30.2342,575.652,116.15
-3868.54,0.717741,0.358354,3,15,0,3870.43,22.4852,-9.55896,562.476,106.593
-3867.2,0.930614,0.358354,2,3,0,3869.85,25.2906,-9.98957,559.948,106.059
-3868.69,0.916736,0.358354,3,7,0,3870.55,20.7588,-13.9133,550.329,105.236
-3863.97,0.989865,0.358354,3,15,0,3869.97,41.5929,-19.4579,574.475,114.827
-3864.92,0.812479,0.358354,3,11,0,3866.23,27.0229,-19.8015,563.13,113.815
-3864.95,0.994542,0.358354,3,15,0,3866.53,25.3612,-19.5845,561.199,112.383
-3864,0.994743,0.358354,3,15,0,3865.94,37.4936,-17.7445,572.479,115.002
-3864.88,0.980356,0.358354,4,15,0,3865.29,31.938,-23.3708,562.042,108.869
-3864.33,0.671525,0.358354,3,7,0,3869.18,28.6414,-12.2587,562.712,114.45
-3863.92,0.852854,0.358354,3,7,0,3868.18,36.6587,-19.3475,574.24,111.003
-3863.66,1,0.358354,3,15,0,3864.11,38.9418,-16.7742,569.48,111.407
-3865.24,0.895551,0.358354,4,15,0,3865.38,31.6451,-16.9833,558.341,115.468
-3864.55,0.993641,0.358354,3,15,0,3866.38,29.6025,-15.0762,557.606,114.317
-3864.18,0.947546,0.358354,2,3,0,3865.16,30.4359,-16.0977,560.235,114.6
-3865.58,0.854603,0.358354,3,15,0,3867.47,37.2491,-24.7686,576.225,108.864
-3864.76,0.98662,0.358354,3,15,0,3868.51,34.1196,-23.3299,568.711,108.238
-3865.37,0.803183,0.358354,3,15,0,3867.76,26.3587,-10.0787,564.724,112.346
-3865.72,0.985138,0.358354,3,15,0,3866.58,29.9557,-23.3773,567.552,108.567
-3864.74,0.999594,0.358354,3,15,0,3865.74,30.8586,-12.4014,568.861,113.569
-3864.8,0.998386,0.358354,4,15,0,3865.4,32.9107,-11.802,563.259,114.821
-3865.27,0.716252,0.358354,3,15,0,3869.42,45.7215,-25.1968,577.377,116.348
-3867.58,0.528796,0.358354,4,15,0,3868.98,19.3826,-11.4233,559.558,114.064
-3865.05,0.93199,0.358354,3,15,0,3868.09,30.2079,-17.1233,568.331,108.361
-3866.11,0.768297,0.358354,1,1,0,3866.28,29.844,-17.2583,570.179,108.064
-3865.27,1,0.358354,2,7,0,3866.58,32.3284,-15.4696,556.98,111.331
-3865.74,1,0.358354,3,7,0,3866.03,30.5325,-12.5806,555.419,113.852
-3865.74,0.977953,0.358354,4,19,0,3866.65,33.8781,-15.9121,574.971,109.535
-3867.29,0.947988,0.358354,3,7,0,3868.15,31.6723,-29.7628,571.208,112.297
-3864.01,0.990693,0.358354,3,7,0,3867.57,36.4136,-19.814,569.899,115.26
-3865.58,0.938345,0.358354,3,7,0,3867.19,46.9117,-23.6042,577.553,107.874
-3865.83,1,0.358354,3,7,0,3866.35,45.0293,-24.7909,577.421,107.083
-3864.53,0.755597,0.358354,3,7,0,3867.19,47.059,-22.5705,575.889,113.401
-3864.5,0.847098,0.358354,4,15,0,3866.21,35.4322,-13.0067,564.276,111.308
-3865.98,0.92266,0.358354,2,7,0,3867.38,26.191,-22.7453,561.612,114.449
-3865.77,0.996993,0.358354,3,7,0,3867.05,28.4336,-9.45743,564.939,109.365
-3863.74,0.402373,0.358354,3,7,0,3870.65,28.1925,-16.1858,562.251,110.429
-3863.79,0.937991,0.358354,3,7,0,3864.4,30.3525,-14.9064,565.384,109.913
-3863.73,0.973477,0.358354,4,15,0,3864.25,30.5482,-15.8119,560.799,113.388
-3864.4,0.971807,0.358354,4,15,0,3865.47,43.3193,-20.3987,578.779,115.083
-3864.42,0.979718,0.358354,4,15,0,3865.71,40.0904,-23.6543,573.001,108.546
-3865.88,0.599229,0.358354,4,15,0,3869.23,41.1273,-26.1589,577.318,116.722
-3865.99,0.999427,0.358354,4,15,0,3867.42,22.2415,-11.283,553.521,115.644
-3866.02,0.822283,0.358354,2,3,0,3868.94,24.0251,-8.93064,558.241,115.566
-3864.37,0.890141,0.358354,3,7,0,3867.46,36.3689,-23.0924,564.073,111.698
-3863.78,0.947185,0.358354,2,3,0,3864.63,32.8211,-22.411,566.427,111.904
-3864.1,0.961918,0.358354,3,15,0,3866.37,42.0824,-25.5416,574.688,110.268
-3865.72,0.502985,0.358354,3,15,0,3867.78,26.7319,-13.5869,566.995,114.153
-3864.14,0.974912,0.358354,4,15,0,3865.83,33.9858,-16.872,563.12,109.217
-3866.56,0.880616,0.358354,2,3,0,3867.53,35.6469,-13.3607,571.385,106.665
-3865.88,1,0.358354,2,3,0,3866.72,36.3957,-13.2841,570.135,107.396
-3865.72,0.963358,0.358354,3,15,0,3867.59,43.2451,-29.9907,575.951,115.343
-3863.43,0.973769,0.358354,4,15,0,3866.78,33.6172,-16.4936,568.774,112.787
-3864.46,0.972115,0.358354,4,15,0,3865.37,40.0182,-24.7007,576.037,109.495
-3864.24,0.943118,0.358354,3,15,0,3866.39,29.5884,-17.3445,564.655,108.774
-3866.05,0.968367,0.358354,3,15,0,3867.08,30.1189,-22.0798,558.551,116.111
-3865.51,0.919523,0.358354,3,15,0,3868.32,31.2515,-17.8197,557.798,115.731
-3865.06,1,0.358354,2,3,0,3865.87,27.1243,-18.3997,559.387,115.425
-3864.84,0.945895,0.358354,2,3,0,3865.65,27.2858,-16.9136,562.776,115.141
-3866.66,0.929287,0.358354,3,15,0,3867.34,24.6126,-8.04052,551.602,113.987
-3864.61,0.914924,0.358354,4,15,0,3868.5,26.2898,-14.9374,558.518,108.455
-3864.45,0.963277,0.358354,3,7,0,3865.63,26.3628,-19.2156,557.39,111.598
-3865.24,0.938377,0.358354,4,15,0,3866.25,52.3549,-26.6214,581.839,113.119
-3865.19,0.711056,0.358354,3,11,0,3866.91,40.4692,-23.8946,580.285,113.564
-3864.03,1,0.358354,3,15,0,3865.68,27.219,-14.0787,561.555,109.804
-3866.13,0.968675,0.358354,3,7,0,3867.51,22.7985,-7.17851,556.263,110.451
-3866.71,0.988912,0.358354,3,7,0,3869.25,21.7936,-7.89549,551.099,108.747
-3867.21,0.997281,0.358354,3,7,0,3868.53,16.2924,-11.1104,548.844,111.989
-3864.53,0.960277,0.358354,2,7,0,3872.16,33.0035,-20.3367,562.183,108.676
-3864.33,0.924056,0.358354,3,7,0,3865.46,33.4239,-15.4376,560.248,112.022
-3864.73,0.997765,0.358354,4,15,0,3865.82,26.5085,-11.4111,563.816,110.922
-3864.57,0.90087,0.358354,2,3,0,3866.03,27.6838,-11.9669,564.519,110.215
-3863.88,1,0.358354,3,7,0,3865.04,29.8804,-16.7881,562.038,109.239
-3866.12,0.562553,0.358354,3,13,0,3869.63,18.5289,-9.5255,552.398,111.038
-3863.6,0.973606,0.358354,3,15,0,3867.61,39.2727,-18.5028,571.112,113.994
