# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = model_e4a7eeb0354675692635eec86e4e72e0_model
# start_datetime = 2025-04-13 09:08:19 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 7
# data
#   file = /var/folders/sg/z3fcysgj5h56dkrzxcppmh3m0000gn/T/RtmptLvmXS/standata-7ac714637b8.json
# init = 2 (Default)
# random
#   seed = 195157611
# output
#   file = /Users/lukaseamus/Desktop/Projects/Corallines/coralline-carbon/Stan/model_e4a7eeb0354675692635eec86e4e72e0-202504131708-7-518ded.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /Users/lukaseamus/Desktop/Projects/Corallines/coralline-carbon/Stan/model_e4a7eeb0354675692635eec86e4e72e0-profile-202504131708-7-73c359.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=model_e4a7eeb0354675692635eec86e4e72e0_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,O2_max,beta,O2_0,sigma
# Adaptation terminated
# Step size = 0.169569
# Diagonal elements of inverse mass matrix:
# 0.00136419, 0.000390113, 1.77845e-05, 0.000682481
-1576.18,0.881375,0.169569,3,15,0,1580.41,277.712,1.52121,233.718,6.13395
-1578.94,0.789204,0.169569,4,15,0,1580.06,292.305,1.53037,232.919,6.0385
-1575.49,0.936252,0.169569,4,31,0,1580.27,265.603,1.54838,232.576,6.03443
-1576.43,0.982212,0.169569,3,7,0,1576.93,264.52,1.55161,233.1,6.00248
-1575.43,0.954959,0.169569,4,31,0,1577.96,257.684,1.57717,231.923,6.12629
-1578.52,0.728938,0.169569,4,15,0,1579.37,255.793,1.59332,231.52,6.2642
-1577.8,0.997214,0.169569,5,31,0,1581.3,256.89,1.5704,232.678,6.23974
-1577.89,0.953353,0.169569,3,15,0,1583.06,261.932,1.5502,233.343,5.96632
-1574.72,0.818466,0.169569,4,15,0,1581.16,265.968,1.55033,232.805,6.06225
-1575.56,0.855932,0.169569,3,15,0,1576.67,264.552,1.54851,232.653,6.02655
-1574.71,0.919326,0.169569,4,15,0,1576.58,264.068,1.55768,232.401,6.02152
-1577.05,0.9894,0.169569,4,15,0,1577.66,252.716,1.5933,231.264,6.03315
-1575.57,0.989897,0.169569,3,15,0,1578.48,263.751,1.57209,231.655,6.05101
-1575.55,0.987664,0.169569,2,3,0,1575.71,264.186,1.5712,231.672,6.05086
-1574.51,0.947815,0.169569,4,23,0,1579.09,269.413,1.55077,232.467,6.07722
-1576.49,0.985963,0.169569,4,15,0,1577.24,253.278,1.58789,231.442,6.07808
-1578.39,0.633142,0.169569,3,7,0,1583.53,266.303,1.57137,231.207,6.01072
-1577.53,0.686998,0.169569,2,3,0,1580.48,267.957,1.57234,231.356,5.96431
-1576.31,0.997999,0.169569,3,7,0,1578.15,258.679,1.56323,232.56,5.89515
-1576.09,0.821238,0.169569,4,23,0,1579.02,266.363,1.56083,232.372,6.36223
-1574.81,0.95473,0.169569,4,15,0,1577.08,272.411,1.54808,232.678,6.06524
-1575.71,0.948043,0.169569,4,15,0,1576.55,263.832,1.55957,232.419,5.87412
-1575.25,0.945821,0.169569,4,15,0,1576.42,261.786,1.56157,232.458,5.95697
-1575.09,0.999694,0.169569,4,15,0,1575.57,262.309,1.57051,231.856,6.05687
-1575.65,0.975873,0.169569,4,15,0,1577.2,263.818,1.54966,232.839,6.29614
-1576.05,0.999897,0.169569,4,15,0,1576.75,271.576,1.54575,232.633,6.40181
-1576.42,0.834345,0.169569,4,31,0,1577.64,265.302,1.55174,232.431,6.37477
-1578.96,0.851777,0.169569,5,31,0,1579.32,264.48,1.56074,231.777,6.4602
-1575.02,0.989118,0.169569,4,15,0,1579.06,265.227,1.54826,232.776,6.03579
-1576.16,0.830531,0.169569,3,11,0,1577.1,271.762,1.54561,232.308,6.2445
-1574.73,0.886782,0.169569,4,31,0,1578.08,267.168,1.55379,232.463,6.2328
-1575.23,0.936998,0.169569,4,15,0,1576.42,268.448,1.55407,232.372,6.30847
-1577.63,0.636681,0.169569,2,7,0,1578.58,270.847,1.55999,232.443,6.31871
-1576.73,0.97834,0.169569,5,31,0,1580.23,262.476,1.577,231.625,6.3464
-1577.06,0.946784,0.169569,4,15,0,1578.34,252.457,1.58326,232.08,6.22851
-1578.94,0.824077,0.169569,4,15,0,1580.46,255.066,1.60184,230.986,6.09629
-1576.26,0.839338,0.169569,4,15,0,1581.98,257.422,1.58515,231.553,6.0444
-1577.47,0.970789,0.169569,4,31,0,1580.63,270.881,1.54215,233.108,5.77828
-1578.46,0.445325,0.169569,4,15,0,1583.17,259.928,1.56851,231.522,6.15164
-1578.68,0.991301,0.169569,4,21,0,1581.16,281.238,1.51251,233.55,6.22281
-1577.93,0.946998,0.169569,4,15,0,1580.27,275.37,1.54997,232.803,6.29687
-1575.21,0.992263,0.169569,4,19,0,1577.85,269.713,1.54618,232.475,6.08156
-1575.58,0.99527,0.169569,4,19,0,1576.66,268.939,1.55034,232.346,6.29581
-1575.81,0.86203,0.169569,3,15,0,1578.06,268.732,1.5558,232.683,6.09225
-1574.74,0.766392,0.169569,2,7,0,1578,266.248,1.54954,232.851,6.13122
-1574.79,0.831014,0.169569,3,15,0,1575.92,268.407,1.54523,232.984,6.11176
-1575.29,0.98052,0.169569,3,7,0,1576.01,274.289,1.55234,232.267,6.16433
-1578.04,0.714396,0.169569,4,15,0,1579.72,256.199,1.58202,232.09,5.93845
-1576.74,1,0.169569,4,31,0,1579.91,285.788,1.52405,233.48,6.22843
-1575.62,0.421601,0.169569,4,25,0,1584.83,267.687,1.55878,232.41,6.30297
-1574.73,0.998443,0.169569,4,23,0,1576.11,266.454,1.55354,232.504,5.99229
-1577.54,0.24617,0.169569,2,3,0,1580.17,268.51,1.56176,232.535,6.02238
-1575.59,0.995858,0.169569,4,17,0,1578.32,258.219,1.57374,231.824,6.22366
-1575.02,0.98935,0.169569,4,15,0,1575.97,264.514,1.56394,232.018,6.21775
-1576.39,0.951037,0.169569,4,15,0,1576.84,252.783,1.58704,231.713,6.08674
-1577.72,0.9777,0.169569,4,15,0,1579.18,249.693,1.5921,231.454,6.28847
-1576.11,0.85461,0.169569,5,31,0,1579.64,262.666,1.56669,232.054,6.38189
-1575.57,0.978804,0.169569,4,15,0,1576.86,268.005,1.55602,232.177,6.31661
-1574.89,0.968643,0.169569,4,31,0,1577.02,267.638,1.54636,232.672,6.07739
-1577.75,0.88784,0.169569,4,27,0,1579.07,261.62,1.58465,231.518,6.00516
-1575.69,0.98968,0.169569,3,7,0,1577.65,256.88,1.57537,231.867,5.99636
-1575.12,0.99209,0.169569,3,15,0,1577.73,264.641,1.56887,231.917,6.10995
-1577.05,0.766951,0.169569,4,27,0,1578.52,267.923,1.53114,233.732,6.1553
-1576.93,0.994845,0.169569,4,23,0,1578.38,269.147,1.53109,233.702,6.23566
-1574.91,0.997776,0.169569,3,15,0,1578.07,265.938,1.54714,232.851,6.17837
-1576.26,0.990752,0.169569,4,15,0,1576.85,262.023,1.57863,231.454,6.23382
-1578.23,0.891966,0.169569,3,7,0,1579.33,262.079,1.58718,231.103,6.31054
-1577.19,0.637907,0.169569,4,15,0,1581.92,263.641,1.54451,233.403,6.29826
-1574.97,1,0.169569,3,7,0,1577.36,273.269,1.54237,232.912,6.22433
-1574.9,0.999248,0.169569,5,31,0,1575.65,265.342,1.5567,232.312,5.99158
-1576.79,0.952899,0.169569,3,15,0,1578.31,267.59,1.5622,232.197,5.82699
-1575.43,0.941479,0.169569,4,15,0,1578.37,267.435,1.55339,232.48,5.88956
-1576.19,0.967091,0.169569,4,15,0,1576.71,265.641,1.56172,232.234,5.83954
-1576.37,0.969718,0.169569,3,15,0,1583.05,278.401,1.55,232.056,6.16797
-1574.94,0.885862,0.169569,3,11,0,1577.3,275.323,1.53861,232.739,6.16929
-1578.81,0.980961,0.169569,4,15,0,1581.12,280.831,1.54065,232.526,5.7407
-1576.62,0.946094,0.169569,3,7,0,1580.13,278.619,1.54426,232.444,5.88319
-1574.81,1,0.169569,4,15,0,1577.51,275.429,1.54333,232.627,6.06688
-1575.57,0.958834,0.169569,4,15,0,1575.77,273.634,1.53531,233.305,6.25073
-1575.51,0.993243,0.169569,4,15,0,1575.99,280.337,1.53473,232.684,6.09889
-1576.57,0.999176,0.169569,4,15,0,1576.96,270.158,1.53618,233.454,6.32537
-1575.97,0.965273,0.169569,4,23,0,1577.98,282.504,1.53663,232.575,6.04027
-1578.53,0.870252,0.169569,4,15,0,1579.72,256.351,1.56051,232.739,6.4788
-1579.44,0.897194,0.169569,2,3,0,1580.35,254.085,1.56473,232.74,6.50545
-1576.13,0.802928,0.169569,4,15,0,1581.78,266.405,1.57144,231.631,6.01133
-1577.15,0.994762,0.169569,4,31,0,1578.36,271.357,1.52557,233.748,6.00249
-1576.57,0.823435,0.169569,3,7,0,1578.49,274.685,1.52436,233.537,5.98535
-1575.49,0.999762,0.169569,4,31,0,1577.37,268.241,1.56476,231.913,6.20721
-1575.94,0.998091,0.169569,4,31,0,1576.7,268.837,1.53384,233.412,6.16365
-1576.18,0.957021,0.169569,4,15,0,1576.82,275.252,1.55436,232.125,5.98282
-1576.67,0.955564,0.169569,4,15,0,1578,255.714,1.56564,232.749,6.16955
-1575.65,0.996123,0.169569,4,15,0,1577.07,256.232,1.56699,232.355,6.11399
-1577.12,0.856744,0.169569,4,27,0,1578.75,289.047,1.51821,233.089,6.0847
-1575.8,1,0.169569,5,31,0,1577.18,273.729,1.53007,233.191,6.19758
-1575.74,0.998781,0.169569,4,31,0,1576.6,270.574,1.54284,232.662,6.31369
-1575.99,0.996449,0.169569,4,15,0,1577.02,279.43,1.5306,233.226,6.32312
-1575.96,0.918207,0.169569,4,15,0,1577.37,282.771,1.53403,232.742,6.25948
-1575.68,0.99074,0.169569,4,23,0,1578.38,256.061,1.56899,232.374,6.06006
-1577.06,0.565608,0.169569,3,15,0,1579.77,257.229,1.56653,232.721,5.9805
-1577.65,0.836523,0.169569,4,19,0,1581.98,256.634,1.5846,231.947,6.20558
-1576.75,1,0.169569,3,11,0,1578.43,266.666,1.57329,231.801,6.13678
-1576.84,0.975817,0.169569,3,15,0,1579,264.832,1.57759,231.646,6.12964
-1575.48,0.995387,0.169569,4,31,0,1576.99,261.613,1.553,232.921,6.06178
-1576.62,0.924477,0.169569,3,15,0,1582.22,268.076,1.53651,233.388,6.33555
-1576.5,0.966431,0.169569,5,31,0,1577.75,287.487,1.5296,232.758,6.18127
-1576,0.972533,0.169569,4,19,0,1579,279.979,1.54361,232.313,6.19008
-1577.63,0.929237,0.169569,4,15,0,1578.76,285.275,1.54235,232.36,6.2438
-1578.29,0.980248,0.169569,3,15,0,1580.16,282.988,1.51915,233.88,6.3997
-1575.68,0.98729,0.169569,4,31,0,1579.48,276.534,1.54752,232.23,6.20776
-1575.2,0.929671,0.169569,3,15,0,1577.39,265.661,1.55165,232.529,5.95932
-1576.74,0.996407,0.169569,4,31,0,1577.75,284.831,1.51617,233.749,6.27299
-1577.66,0.995293,0.169569,4,15,0,1578.83,295.083,1.51655,233.17,6.03384
-1576.93,0.730353,0.169569,4,15,0,1580.01,279.446,1.52192,233.861,6.21008
-1575.27,0.998434,0.169569,4,31,0,1577.67,268.73,1.56248,231.995,6.19445
-1575.78,0.982637,0.169569,3,7,0,1576.42,269.376,1.56317,231.773,6.19374
-1575.89,0.991246,0.169569,3,7,0,1576.78,266.469,1.56903,231.599,6.15331
-1575.27,0.943688,0.169569,4,23,0,1578.76,274.74,1.54243,232.527,6.23298
-1576.94,0.869622,0.169569,3,15,0,1578.65,277.114,1.55561,231.869,6.21688
-1575.96,0.902464,0.169569,3,7,0,1577.88,276.484,1.55198,232.247,6.19559
-1577.58,0.903798,0.169569,4,15,0,1578.5,258.196,1.5519,232.909,5.92767
-1576.87,1,0.169569,1,1,0,1577.43,258.942,1.55325,232.926,5.93308
-1576.6,0.966791,0.169569,4,15,0,1577.64,273.475,1.55602,231.804,6.02638
-1575.03,0.998047,0.169569,3,7,0,1577.14,265.839,1.55189,232.545,5.96971
-1576.56,0.921558,0.169569,4,31,0,1578.08,289.167,1.51545,233.482,6.0445
-1578.86,0.824972,0.169569,4,15,0,1579.17,288.19,1.50871,234.299,6.07928
-1576.04,0.872871,0.169569,5,31,0,1581.05,268.12,1.54472,233.253,6.17641
-1575.8,0.999496,0.169569,4,23,0,1577.73,266.411,1.55437,232.8,5.96345
-1575.02,0.983501,0.169569,4,31,0,1576.52,270.747,1.54405,232.653,5.9946
-1574.97,0.999852,0.169569,4,31,0,1575.26,273.849,1.53776,232.839,6.18004
-1575.14,0.766306,0.169569,5,31,0,1577.24,277.946,1.53885,232.717,6.01988
-1575.99,0.983101,0.169569,4,15,0,1576.46,280.966,1.52405,233.388,5.96576
-1574.85,0.921642,0.169569,4,15,0,1576.42,276.769,1.53649,232.903,6.16223
-1577.21,0.970417,0.169569,4,15,0,1577.58,285.002,1.51286,233.769,5.9624
-1575.92,0.903625,0.169569,4,23,0,1578.78,264.861,1.56641,231.695,6.21113
-1576.56,0.867002,0.169569,3,7,0,1577.28,266.149,1.56904,232.095,6.25766
-1577.8,0.989055,0.169569,3,15,0,1581.08,252.496,1.594,231.601,6.03948
-1578.19,0.945618,0.169569,5,31,0,1579.58,253.53,1.5938,231.612,6.24006
-1580.73,0.702672,0.169569,5,31,0,1583.02,280.51,1.51437,233.256,6.05594
-1576.89,0.978382,0.169569,2,7,0,1582.11,286.029,1.52995,233.197,6.11219
-1576.3,0.925141,0.169569,4,31,0,1578.75,278.919,1.52855,233.01,5.94213
-1575.14,0.754819,0.169569,4,15,0,1578.57,279.076,1.53768,232.807,6.05929
-1576.46,0.946884,0.169569,4,15,0,1576.82,285.174,1.51836,233.721,6.11978
-1579.06,0.98453,0.169569,4,31,0,1580.67,246.512,1.60471,230.986,6.05172
-1576.55,0.984294,0.169569,4,15,0,1580.03,254.051,1.5844,231.688,5.95375
-1574.8,0.99569,0.169569,5,31,0,1577.7,267.99,1.54733,232.825,6.00353
-1575.69,0.905351,0.169569,4,15,0,1576.01,276.26,1.53758,232.639,5.99287
-1575.92,0.993134,0.169569,4,15,0,1576.57,278.665,1.52642,233.292,6.29056
-1579.49,0.969919,0.169569,4,23,0,1581.62,298.723,1.49849,234.032,5.93037
-1575.91,0.989381,0.169569,4,15,0,1580.23,273.87,1.53358,233.325,6.31439
-1575.6,0.997565,0.169569,4,15,0,1576.76,274.107,1.53087,233.38,6.24181
-1575.71,0.987692,0.169569,4,15,0,1575.74,273.937,1.52965,233.353,6.2386
-1577.69,0.99577,0.169569,4,15,0,1578.84,274.663,1.55043,232.34,5.77117
-1576.13,0.937288,0.169569,4,15,0,1579.65,264.747,1.55078,233.024,5.94017
-1577.73,0.804265,0.169569,4,15,0,1581.67,258.011,1.58787,231.616,6.25348
-1575.86,0.754368,0.169569,2,5,0,1579.18,257.263,1.58093,231.726,6.22184
-1576.04,0.996588,0.169569,2,3,0,1576.11,257.762,1.58125,231.521,6.22841
-1575.93,0.922558,0.169569,4,15,0,1578.85,264.988,1.57299,231.699,6.21635
-1577.72,0.944806,0.169569,3,7,0,1578.18,265.455,1.58141,231.262,6.20785
-1576.01,0.99879,0.169569,3,7,0,1578.12,264.212,1.57317,231.538,6.2122
-1575.7,0.937905,0.169569,4,15,0,1577.64,262.926,1.55443,232.863,6.27186
-1574.99,0.97182,0.169569,4,19,0,1577.54,268.727,1.547,232.912,6.00195
-1575.88,0.962705,0.169569,5,31,0,1576.91,261.24,1.55613,232.942,6.15037
-1574.76,0.996631,0.169569,3,15,0,1576.72,272.131,1.54617,232.591,6.00506
-1576.19,0.709132,0.169569,4,19,0,1577.72,262.413,1.55935,232.558,6.38722
-1577.11,0.988037,0.169569,3,7,0,1577.34,265.18,1.56406,232.177,6.47031
-1575.77,0.996003,0.169569,5,31,0,1577.61,273.495,1.54752,232.4,5.90041
-1576.77,0.990302,0.169569,3,7,0,1577.36,272.695,1.552,232.191,5.83163
-1576.21,0.881514,0.169569,3,7,0,1577.4,270.397,1.55137,232.33,5.84291
-1574.62,0.563298,0.169569,3,11,0,1579.45,267.606,1.5468,232.838,6.09259
-1574.75,0.996289,0.169569,5,31,0,1575.88,270.115,1.54254,232.992,6.16154
-1575.02,0.998572,0.169569,4,15,0,1575.33,275.514,1.54477,232.539,6.02108
-1574.95,0.924174,0.169569,4,31,0,1575.78,263.33,1.55342,232.756,6.18091
-1576.18,0.992018,0.169569,5,31,0,1577.04,276.534,1.52539,233.611,5.98876
-1575.02,0.992997,0.169569,4,15,0,1576.53,277.26,1.53384,233.154,6.11558
-1574.81,0.978996,0.169569,4,23,0,1575.72,266.505,1.55519,232.281,6.17224
-1575.76,0.909024,0.169569,4,15,0,1580.41,281.787,1.53312,232.748,6.22906
-1578.85,0.749445,0.169569,5,31,0,1580.76,252.829,1.58332,232.287,6.29142
-1577.08,1,0.169569,4,15,0,1579.64,259.917,1.58077,231.431,6.36479
-1575.44,0.993289,0.169569,4,15,0,1577.93,259.487,1.56599,232.378,5.97056
-1576.19,0.963781,0.169569,2,3,0,1576.29,257.322,1.56331,232.424,5.94987
-1577.06,0.85407,0.169569,3,7,0,1577.49,257.593,1.56066,232.326,5.96275
-1577.47,0.96345,0.169569,4,15,0,1578.82,257.669,1.58355,231.195,5.97986
-1577.34,0.997513,0.169569,4,31,0,1580.48,268.433,1.53239,233.355,5.91299
-1580.56,0.731731,0.169569,5,31,0,1581.9,294.944,1.51307,232.845,6.15602
-1578.61,0.919922,0.169569,2,3,0,1581.08,294.411,1.52416,233.17,6.18845
-1579.53,0.822973,0.169569,4,15,0,1583.17,288.51,1.50521,234.286,5.89278
-1578.05,0.888428,0.169569,4,15,0,1580.74,293.524,1.51968,232.844,6.13685
-1576.56,0.939407,0.169569,4,31,0,1579.44,275.46,1.52715,233.316,6.33881
-1575.23,0.935823,0.169569,5,31,0,1577.59,265.716,1.56732,231.874,6.0443
-1575.59,0.853355,0.169569,4,31,0,1578,275.949,1.53189,233.004,5.9989
-1576.23,0.789584,0.169569,4,31,0,1578.96,266.086,1.55596,232.744,5.91131
-1575.88,0.974973,0.169569,4,15,0,1579.41,257.482,1.55968,232.647,6.13366
-1575.43,0.99935,0.169569,4,23,0,1576.72,281.964,1.52862,233.217,6.09906
