# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = model_e4a7eeb0354675692635eec86e4e72e0_model
# start_datetime = 2025-04-13 09:08:40 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 7
# data
#   file = /var/folders/sg/z3fcysgj5h56dkrzxcppmh3m0000gn/T/RtmptLvmXS/standata-7ac7f6a0cb6.json
# init = 2 (Default)
# random
#   seed = 2018221287
# output
#   file = /Users/lukaseamus/Desktop/Projects/Corallines/coralline-carbon/Stan/model_e4a7eeb0354675692635eec86e4e72e0-202504131708-7-73b1fe.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /Users/lukaseamus/Desktop/Projects/Corallines/coralline-carbon/Stan/model_e4a7eeb0354675692635eec86e4e72e0-profile-202504131708-7-761ecd.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=model_e4a7eeb0354675692635eec86e4e72e0_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,O2_max,beta,O2_0,sigma
# Adaptation terminated
# Step size = 0.137932
# Diagonal elements of inverse mass matrix:
# 2.9335e-05, 0.00229136, 8.36538e-05, 0.000634111
-2039.26,0.999728,0.137932,4,15,0,2041.16,865.714,7.18181,228.894,12.13
-2039.69,0.972531,0.137932,4,15,0,2040.63,863.806,7.16806,229.167,12.0247
-2038.2,0.90453,0.137932,4,15,0,2041.03,872.578,7.19659,227.235,11.8694
-2038.28,0.998719,0.137932,4,15,0,2039.4,868.09,7.16335,228.697,11.9684
-2038.02,0.936427,0.137932,5,31,0,2039.66,862.683,7.3508,220.824,11.2723
-2039.49,0.920328,0.137932,4,15,0,2039.65,862.333,7.37385,221.084,11.2475
-2036.63,0.999716,0.137932,4,19,0,2039.62,861.708,7.31051,222.7,11.4053
-2038.14,0.858193,0.137932,2,7,0,2038.54,863.116,7.3215,223.504,11.4084
-2035.38,0.90244,0.137932,4,23,0,2041.42,864.823,7.25317,225.093,11.5015
-2036.42,0.981062,0.137932,3,11,0,2036.72,862.276,7.24572,226.247,11.3191
-2035.43,0.993946,0.137932,4,15,0,2037.74,866.388,7.26755,224.368,11.4079
-2036.26,0.977112,0.137932,5,31,0,2038.47,870.219,7.21761,225.828,11.6912
-2036.88,0.823175,0.137932,5,31,0,2040.12,857.503,7.33523,222.856,11.7986
-2036.76,0.983013,0.137932,4,15,0,2037.61,861.578,7.35326,221.555,11.8597
-2037.5,0.883529,0.137932,5,31,0,2038.37,869.956,7.21221,226.975,11.3601
-2036.46,0.988807,0.137932,5,31,0,2038.77,871.362,7.21976,225.792,11.5328
-2037.37,0.813289,0.137932,2,3,0,2037.61,871.677,7.22615,225.995,11.5424
-2036.2,0.967656,0.137932,4,15,0,2038.01,866.471,7.21163,226.715,11.8064
-2038.23,0.866833,0.137932,4,15,0,2038.72,862.325,7.24097,227.116,11.8763
-2035.95,0.823268,0.137932,3,11,0,2040.67,866.293,7.26139,225.242,11.715
-2036.51,0.876208,0.137932,1,1,0,2036.62,866.506,7.26226,225.342,11.7091
-2036.6,0.999165,0.137932,4,19,0,2037.1,862.661,7.27201,225.541,11.6327
-2036.24,0.999249,0.137932,4,31,0,2039.37,860.221,7.27677,224.7,11.7167
-2035.55,1,0.137932,4,15,0,2036.27,866.09,7.28418,223.992,11.7039
-2036.14,0.886576,0.137932,4,27,0,2036.97,864.408,7.30645,223.538,11.5229
-2036.99,0.894367,0.137932,4,15,0,2038.83,860.088,7.25535,226.32,11.4398
-2037.29,0.966907,0.137932,5,31,0,2037.93,871.988,7.24601,224.204,11.5485
-2037.29,0.980138,0.137932,5,31,0,2037.85,872.368,7.24214,224.422,11.5378
-2036.68,0.99523,0.137932,4,31,0,2038.88,870.917,7.24583,224.857,11.4264
-2037.5,0.989523,0.137932,4,31,0,2039.27,868.354,7.29007,223.319,11.1582
-2039.16,0.744717,0.137932,4,31,0,2041.82,867.746,7.22484,225.318,11.0696
-2036.33,1,0.137932,4,15,0,2039.02,866.295,7.25812,224.686,11.1712
-2039.74,0.573946,0.137932,2,3,0,2041.82,867.187,7.24602,224.222,11.1393
-2036.77,1,0.137932,4,15,0,2040.75,865.266,7.29609,222.642,11.5818
-2037.46,0.996443,0.137932,4,23,0,2038.89,868.195,7.30207,223.202,11.7462
-2038.96,0.981098,0.137932,5,31,0,2039.65,861.83,7.24429,227.019,11.2063
-2038.87,0.99957,0.137932,4,27,0,2042.04,861.055,7.29561,223.544,10.9427
-2038.07,0.99884,0.137932,4,15,0,2040.02,857.943,7.30152,224.11,11.1333
-2035.18,0.999977,0.137932,4,15,0,2039,864.99,7.27515,224.411,11.693
-2037.3,0.801785,0.137932,3,15,0,2037.75,862.479,7.27509,225.573,11.7749
-2037.89,1,0.137932,4,15,0,2039.22,859.338,7.2662,224.987,11.4226
-2037.89,1,0.137932,4,31,0,2040.04,863.057,7.26404,225.913,12.0517
-2037.6,0.837318,0.137932,2,3,0,2040.73,863.759,7.25496,226.173,12.0071
-2036.9,0.999302,0.137932,5,31,0,2038.68,867.29,7.20366,227.001,12.0019
-2036.72,0.916916,0.137932,5,31,0,2038.04,867.487,7.24353,225.872,11.2868
-2037.6,0.995967,0.137932,4,31,0,2039.55,858.207,7.32004,224.038,11.3955
-2036.89,1,0.137932,2,3,0,2037.59,858.133,7.31918,223.795,11.4032
-2036,0.985956,0.137932,4,15,0,2037.58,862.006,7.31648,222.609,11.7588
-2037.33,0.996227,0.137932,5,31,0,2039.14,870.172,7.18589,227.688,11.9577
-2037.21,0.999729,0.137932,4,15,0,2038.03,866.937,7.20129,227.243,12.0603
-2035.91,0.990619,0.137932,4,15,0,2037.57,869.516,7.23863,225.416,11.6463
-2036.61,0.985338,0.137932,4,15,0,2037.12,860.934,7.24624,226.355,11.8067
-2035.84,0.992227,0.137932,5,31,0,2038.45,861.844,7.31427,223.149,11.345
-2038.23,0.670521,0.137932,2,3,0,2039.44,863.019,7.3213,223.533,11.3806
-2037.17,0.997729,0.137932,4,31,0,2038.97,866.587,7.26161,225.494,11.4551
-2035.47,0.969488,0.137932,4,19,0,2039.15,867.089,7.27555,223.937,11.6609
-2036.58,0.949864,0.137932,5,31,0,2036.99,869.431,7.26273,223.74,11.5349
-2036.05,0.999987,0.137932,4,31,0,2037.14,866.788,7.25977,224.335,11.3376
-2035.7,0.957336,0.137932,4,27,0,2036.68,866.173,7.27541,223.894,11.3671
-2036.88,0.737796,0.137932,5,39,0,2038.48,860.104,7.3167,223.935,11.647
-2036.68,0.921691,0.137932,4,31,0,2038.77,867.699,7.24859,225.647,11.3351
-2036.77,0.759083,0.137932,2,7,0,2040.62,864.743,7.23838,225.514,11.2521
-2035.23,0.991018,0.137932,4,15,0,2037.56,863.851,7.28741,224.073,11.4941
-2037.02,0.998425,0.137932,4,15,0,2037.27,859.502,7.35085,221.937,11.2872
-2036.91,0.739935,0.137932,2,3,0,2039.09,859.724,7.35109,221.709,11.325
-2036.75,0.942638,0.137932,5,31,0,2038.74,868.733,7.27018,224.296,11.9375
-2035.73,0.98939,0.137932,4,31,0,2038.13,866.113,7.2874,223.457,11.379
-2037.04,0.997364,0.137932,4,15,0,2037.46,863.582,7.27451,224.554,11.0275
-2040.16,0.98062,0.137932,4,31,0,2042.01,870.61,7.23965,225.036,12.5143
-2036.58,0.996727,0.137932,4,15,0,2041.27,865.959,7.28745,223.711,12.0813
-2037.94,0.849838,0.137932,5,31,0,2039.47,863.138,7.25691,224.78,11.116
-2036.12,0.918522,0.137932,4,23,0,2039.99,866.899,7.27082,224.072,11.969
-2036.29,0.889065,0.137932,5,31,0,2037.77,864.684,7.29375,224.041,11.3376
-2036.36,0.998567,0.137932,4,15,0,2037.62,867.314,7.29084,223.718,11.5692
-2037.32,0.985227,0.137932,4,31,0,2038.66,861.518,7.23302,226.46,11.9414
-2037.53,0.997703,0.137932,4,15,0,2038.54,872.669,7.24156,224.816,11.4664
-2035.89,0.958482,0.137932,4,15,0,2038.44,868.286,7.24953,225.234,11.7756
-2036.46,0.997031,0.137932,5,31,0,2038.19,862.319,7.29336,223.644,11.1938
-2035.39,0.999758,0.137932,4,15,0,2037.44,865.15,7.26516,225.053,11.6694
-2036.14,0.930008,0.137932,3,15,0,2037.05,861.488,7.26915,225.568,11.4936
-2037.77,0.980556,0.137932,4,31,0,2039.77,867.95,7.16953,228.225,11.4935
-2036.87,1,0.137932,4,15,0,2038.04,871.077,7.19459,227.266,11.7135
-2037.77,0.968196,0.137932,3,15,0,2040.41,870.479,7.15797,228.536,11.6583
-2039.16,0.999714,0.137932,4,15,0,2039.69,873.894,7.14913,228.469,12.002
-2036.6,0.992935,0.137932,5,31,0,2039.81,862.015,7.32713,222.615,11.2122
-2037.62,0.997865,0.137932,5,31,0,2040.41,859.48,7.38499,220.323,11.6937
-2038.18,0.748773,0.137932,4,15,0,2040.64,858.53,7.39273,220.366,11.4445
-2039.72,0.918102,0.137932,4,15,0,2040.58,856.117,7.41665,219.832,11.4376
-2035.31,0.999649,0.137932,5,31,0,2040.59,866.853,7.24954,225.176,11.4985
-2035.66,0.967617,0.137932,4,15,0,2036.73,861.918,7.27238,224.864,11.8006
-2035.17,0.984504,0.137932,4,31,0,2036.03,864.266,7.28805,223.955,11.597
-2037.32,0.770194,0.137932,3,15,0,2038.86,860.182,7.28207,224.064,11.737
-2036.75,0.957898,0.137932,4,27,0,2039.2,865.699,7.2246,225.856,11.4365
-2035.71,1,0.137932,2,7,0,2037.2,865.968,7.22674,226.309,11.4241
-2035.97,0.91994,0.137932,4,31,0,2037.17,861.433,7.26303,225.125,11.5873
-2038.68,0.777794,0.137932,4,15,0,2040.33,861.817,7.24022,225.418,11.5283
-2036.06,0.800632,0.137932,4,23,0,2041.67,859.97,7.29014,224.744,11.6713
-2035.75,0.939318,0.137932,4,19,0,2037.24,863.029,7.31256,222.767,11.7856
-2041.26,0.742852,0.137932,5,31,0,2046.48,865.377,7.14338,230.103,11.1969
-2035.51,0.998114,0.137932,5,31,0,2045.32,863.424,7.30245,223.535,11.4259
-2035.32,0.934789,0.137932,4,31,0,2036.07,862.57,7.28021,224.36,11.5096
-2036.71,0.926198,0.137932,4,31,0,2038.29,867.501,7.30774,222.166,11.6867
-2038.13,0.662834,0.137932,2,3,0,2039.44,866.467,7.30557,221.843,11.6501
-2036.1,0.99975,0.137932,4,15,0,2038.22,860.402,7.31372,223.082,11.4114
-2038.6,0.967567,0.137932,5,31,0,2039.11,869.396,7.31742,221.895,11.2958
-2040.05,0.998239,0.137932,5,31,0,2042.21,853.545,7.3673,221.882,11.2962
-2041.4,0.958675,0.137932,3,7,0,2042.16,852.811,7.35578,222.368,11.1886
-2036.4,1,0.137932,4,15,0,2041.81,866.675,7.30213,223.187,11.4036
-2035.84,0.999947,0.137932,4,31,0,2038.71,866.157,7.22662,226.439,11.3885
-2037.9,0.866258,0.137932,5,31,0,2039.14,864.193,7.28612,223.443,12.2392
-2037.97,0.991033,0.137932,4,15,0,2039.36,868.922,7.26895,223.561,12.1673
-2037.94,0.997631,0.137932,5,31,0,2039.72,860.502,7.21791,227.527,11.7734
-2039.58,0.754734,0.137932,5,31,0,2045.03,870.956,7.29605,222.777,12.1642
-2038.27,0.851951,0.137932,4,15,0,2042.38,863.52,7.2914,224.634,12.154
-2038.69,0.968999,0.137932,5,31,0,2041.15,860.162,7.37385,221.476,11.4077
-2036.05,0.997574,0.137932,3,11,0,2038.98,862.406,7.33246,222.488,11.683
-2036.38,0.921829,0.137932,5,31,0,2037.89,861.215,7.32417,223.147,11.358
-2036.03,0.998028,0.137932,5,31,0,2037.42,862.516,7.3001,223.615,11.979
-2035.77,0.94783,0.137932,5,31,0,2036.87,866.84,7.28991,223.516,11.7341
-2036.5,0.954074,0.137932,4,31,0,2037.4,868.547,7.27468,224.171,11.4208
-2036.37,0.978467,0.137932,4,31,0,2038.96,864.785,7.32449,222.308,11.859
-2036.51,0.942544,0.137932,5,31,0,2037.76,871.477,7.22305,225.734,11.6357
-2037.39,0.950075,0.137932,3,7,0,2037.85,873.124,7.22295,225.167,11.6433
-2035.84,0.991135,0.137932,4,15,0,2038.08,867.615,7.22412,226.089,11.818
-2035.97,0.998511,0.137932,4,31,0,2037.28,869.085,7.26446,224.038,11.5542
-2035.99,0.887861,0.137932,4,27,0,2037.11,864.805,7.27251,223.933,11.4688
-2035.53,0.883447,0.137932,2,7,0,2037.03,865.169,7.28431,224.187,11.4587
