# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = model_e4a7eeb0354675692635eec86e4e72e0_model
# start_datetime = 2025-04-13 09:08:57 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 7
# data
#   file = /var/folders/sg/z3fcysgj5h56dkrzxcppmh3m0000gn/T/RtmptLvmXS/standata-7ac7251f548a.json
# init = 2 (Default)
# random
#   seed = 1241653640
# output
#   file = /Users/lukaseamus/Desktop/Projects/Corallines/coralline-carbon/Stan/model_e4a7eeb0354675692635eec86e4e72e0-202504131708-7-8c7fc9.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /Users/lukaseamus/Desktop/Projects/Corallines/coralline-carbon/Stan/model_e4a7eeb0354675692635eec86e4e72e0-profile-202504131708-7-558aee.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=model_e4a7eeb0354675692635eec86e4e72e0_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,O2_max,beta,O2_0,sigma
# Adaptation terminated
# Step size = 0.211494
# Diagonal elements of inverse mass matrix:
# 0.0511861, 36.8002, 0.000397693, 0.000740641
-3222.77,0.845963,0.211494,4,15,0,3223.94,23.4295,-18.2598,324.366,53.7156
-3222.13,0.999723,0.211494,4,23,0,3223.57,26.7138,-20.3954,327.909,53.3715
-3221.97,0.947179,0.211494,2,3,0,3222.56,27.6353,-19.9765,328.634,53.3651
-3222.32,0.925071,0.211494,4,31,0,3223.48,23.4895,-13.502,323.299,51.777
-3222.11,0.970054,0.211494,4,31,0,3225.96,30.6141,-17.0714,332.053,53.8872
-3222.04,0.997973,0.211494,3,7,0,3222.31,29.2289,-17.5755,330.266,53.8312
-3222.05,0.977151,0.211494,4,23,0,3223.19,33.2451,-21.111,335.81,51.3843
-3222.17,0.996498,0.211494,4,15,0,3223.01,36.6982,-18.9055,337.812,52.1953
-3222.01,0.96741,0.211494,4,15,0,3222.8,28.6366,-21.8328,328.935,51.6475
-3222.27,0.978788,0.211494,4,15,0,3222.98,28.432,-23.4603,330.318,53.0571
-3222.47,0.98451,0.211494,3,15,0,3223.68,28.1193,-22.3945,330.669,53.4672
-3222.23,0.965004,0.211494,2,3,0,3222.86,28.8401,-21.7033,331.212,53.4863
-3222.02,0.93866,0.211494,4,31,0,3223.67,24.3602,-12.9566,325.142,51.8157
-3221.69,0.999339,0.211494,4,15,0,3222.21,25.4186,-18.126,327.014,52.499
-3221.89,0.998916,0.211494,4,23,0,3222.28,35.4705,-19.8472,337.451,52.1715
-3222.73,0.55366,0.211494,2,3,0,3225.07,37.5275,-21.9343,336.53,52.6157
-3222.41,0.809755,0.211494,2,7,0,3225,33.3482,-21.0049,337.184,52.8551
-3222.14,0.998437,0.211494,3,7,0,3222.73,35.9006,-18.359,337.936,52.3358
-3222.17,0.956772,0.211494,4,31,0,3222.99,23.5935,-16.9664,323.589,52.0877
-3221.72,0.997149,0.211494,4,23,0,3223.09,32.5846,-20.4179,333.993,53.2265
-3221.98,0.862778,0.211494,4,15,0,3223.89,24.8195,-16.7612,326.227,51.1792
-3221.96,0.836848,0.211494,4,23,0,3224.03,30.304,-21.2612,332.334,51.1763
-3221.91,0.996123,0.211494,4,23,0,3222.81,24.5305,-13.4735,325.249,51.9844
-3222.79,0.966803,0.211494,3,15,0,3226.33,30.4783,-23.7726,332.825,50.6614
-3223.87,0.940306,0.211494,2,5,0,3224.92,29.7167,-25.0455,333.008,50.2775
-3224.33,0.950045,0.211494,2,3,0,3224.53,29.2201,-24.7014,333.378,50.3254
-3223.53,1,0.211494,3,15,0,3226.7,21.6944,-14.0578,324.606,54.2182
-3223.71,0.988977,0.211494,4,15,0,3224.77,35.5378,-21.1392,339.362,50.5845
-3222.8,0.876932,0.211494,4,15,0,3225.06,33.256,-25.0956,335.376,53.9072
-3221.98,0.755164,0.211494,2,7,0,3224.76,34.6781,-21.73,337.253,52.9936
-3221.91,0.945631,0.211494,3,15,0,3224.03,25.6017,-15.743,327.181,51.1956
-3223.3,0.961841,0.211494,3,11,0,3224.3,27.4186,-25.3033,328.991,53.6975
-3221.75,0.921962,0.211494,4,15,0,3224.71,32.0189,-17.1148,332.592,52.0285
-3221.84,0.970052,0.211494,4,15,0,3222.2,26.773,-19.513,326.987,52.0187
-3222.1,0.984438,0.211494,2,7,0,3224.36,26.106,-14.6416,328.762,51.3303
-3226.03,0.931854,0.211494,4,31,0,3228.06,48.631,-33.4218,347.293,52.3444
-3226.28,0.963591,0.211494,4,15,0,3227.06,48.8673,-32.1134,347.064,53.4295
-3226.72,0.986717,0.211494,4,15,0,3227.68,50.957,-34.8186,354.715,52.8904
-3226.99,0.91691,0.211494,3,7,0,3227.59,51.5774,-37.2281,354.253,53.3282
-3222.15,0.911313,0.211494,4,15,0,3228.14,32.6476,-19.3791,335.58,51.3944
-3224.14,0.95018,0.211494,3,7,0,3224.55,32.2872,-27.0481,335.303,50.1977
-3223.82,0.995519,0.211494,4,31,0,3226.05,41.4947,-29.5899,343.885,51.3175
-3222.64,0.902082,0.211494,3,15,0,3225.1,40.2199,-21.4567,341.263,52.1685
-3222.91,0.995568,0.211494,4,23,0,3224.51,20.1693,-17.1802,321.442,52.5283
-3223.79,0.856363,0.211494,4,31,0,3225.69,24.4336,-18.2347,329.316,51.0706
-3223.01,0.950604,0.211494,4,15,0,3227.09,31.3678,-28.1074,333.479,52.8672
-3221.86,0.973951,0.211494,4,15,0,3223.77,30.9202,-20.4813,333.464,53.2289
-3224.45,0.489104,0.211494,2,3,0,3225.94,34.0684,-21.4297,330.854,53.0717
-3225.57,0.913713,0.211494,2,7,0,3226.88,27.024,-25.3126,333.185,52.5234
-3223.95,0.995419,0.211494,3,7,0,3226.36,24.7305,-23.7142,329.134,51.7801
