# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = model_e4a7eeb0354675692635eec86e4e72e0_model
# start_datetime = 2025-04-13 09:08:53 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 7
# data
#   file = /var/folders/sg/z3fcysgj5h56dkrzxcppmh3m0000gn/T/RtmptLvmXS/standata-7ac747ea18dd.json
# init = 2 (Default)
# random
#   seed = 307315590
# output
#   file = /Users/lukaseamus/Desktop/Projects/Corallines/coralline-carbon/Stan/model_e4a7eeb0354675692635eec86e4e72e0-202504131708-7-97c951.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /Users/lukaseamus/Desktop/Projects/Corallines/coralline-carbon/Stan/model_e4a7eeb0354675692635eec86e4e72e0-profile-202504131708-7-538689.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=model_e4a7eeb0354675692635eec86e4e72e0_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,O2_max,beta,O2_0,sigma
# Adaptation terminated
# Step size = 0.165672
# Diagonal elements of inverse mass matrix:
# 0.0101729, 2.1004e-05, 1.09469e-05, 0.000673773
-1069.42,0.997589,0.165672,4,15,0,1071.13,2092.05,1.65096,210.406,3.11166
-1069.58,0.999272,0.165672,5,31,0,1069.98,1891.41,1.6539,210.259,2.98238
-1069.82,0.991191,0.165672,4,31,0,1071.08,2316.79,1.65098,210.388,3.008
-1069.39,0.963253,0.165672,4,19,0,1070.4,1908.52,1.65049,210.535,3.03178
-1070.24,0.918115,0.165672,5,31,0,1071.49,2045.96,1.65347,210.115,2.98541
-1069.2,0.8199,0.165672,3,15,0,1072.63,2145.03,1.65138,210.418,3.0234
-1070.35,0.983027,0.165672,4,15,0,1070.54,2301.02,1.65195,210.248,2.96455
-1070.72,0.891164,0.165672,4,15,0,1072.34,2263.12,1.6547,210.235,2.98334
-1070.24,0.965347,0.165672,5,31,0,1071.51,1889.85,1.64753,210.68,3.08557
-1069.74,0.762445,0.165672,3,15,0,1074.32,1828.61,1.6525,210.274,3.09279
-1071.15,0.94455,0.165672,5,31,0,1071.92,2386.47,1.65019,210.272,3.07635
-1071.38,0.999066,0.165672,5,31,0,1072.48,1810.26,1.65896,210.004,3.02208
-1070.84,0.785158,0.165672,4,15,0,1074.69,1912.35,1.64743,210.661,3.15393
-1071.44,0.983704,0.165672,5,31,0,1073.34,2524.41,1.65156,210.335,3.07796
-1070.92,0.986132,0.165672,3,15,0,1075.14,1926.07,1.64559,210.771,3.03945
-1069.59,0.968867,0.165672,3,15,0,1072.25,2179.97,1.65295,210.222,3.06824
-1069.67,1,0.165672,4,15,0,1070.32,2179.55,1.64851,210.5,3.0772
-1069.14,0.99358,0.165672,4,31,0,1071.3,1888.78,1.65168,210.376,3.03605
-1069.75,0.925843,0.165672,4,31,0,1072.14,1841.59,1.65367,210.337,3.11483
-1069.35,0.874984,0.165672,4,31,0,1071.28,2123.67,1.64963,210.434,3.07358
-1069.42,0.991558,0.165672,5,31,0,1069.88,1903.98,1.65342,210.353,3.08601
-1072.05,0.996528,0.165672,4,15,0,1072.61,1857.26,1.65643,210.04,2.90547
-1070.09,1,0.165672,4,15,0,1073.29,1728.47,1.65476,210.249,3.06566
-1072.55,0.968176,0.165672,5,31,0,1075.29,1822.07,1.65496,210.231,2.86897
-1073.08,0.997898,0.165672,4,15,0,1073.39,1767.37,1.65578,210.167,2.86968
-1072.26,0.875257,0.165672,3,7,0,1073.72,1825.57,1.65548,210.107,2.88928
-1071.61,0.944488,0.165672,4,31,0,1076.3,2298.01,1.65627,210.105,3.10008
-1069.98,0.965422,0.165672,3,7,0,1073.38,2207.07,1.65362,210.246,3.09717
-1070.9,0.94905,0.165672,4,15,0,1071.83,2190.78,1.64502,210.786,3.05238
-1072.04,0.992294,0.165672,4,31,0,1073.44,1929.25,1.64397,210.876,3.08595
-1071.04,0.992518,0.165672,4,15,0,1075.19,2049.07,1.64862,210.586,3.19328
-1072.27,0.859585,0.165672,4,15,0,1074.39,2073.24,1.64844,210.427,3.21955
-1072.45,0.958594,0.165672,3,7,0,1073.34,2024.68,1.64797,210.546,3.24398
-1073.55,0.998811,0.165672,3,7,0,1074.1,1947.37,1.64921,210.524,3.29384
-1069.79,0.977495,0.165672,5,31,0,1074.08,1820.68,1.65414,210.176,3.06504
-1070.03,0.865959,0.165672,4,15,0,1073.12,2102.33,1.6504,210.595,3.02955
-1069.18,0.946832,0.165672,3,15,0,1070.69,1981.14,1.65293,210.347,3.07831
-1069.84,0.909003,0.165672,4,23,0,1070.54,2210.07,1.65107,210.498,3.02104
-1069.72,0.995166,0.165672,4,15,0,1071.11,2045.02,1.64819,210.628,2.99263
-1068.97,1,0.165672,4,15,0,1069.72,2062.41,1.651,210.397,3.03798
-1069.56,0.828012,0.165672,2,7,0,1070.23,2071.82,1.65002,210.351,3.0238
-1069.31,0.980567,0.165672,3,15,0,1070.23,2064.22,1.65283,210.372,3.02054
-1069.62,0.970744,0.165672,4,15,0,1069.76,1930.77,1.65068,210.557,3.01719
-1069.81,0.997692,0.165672,2,7,0,1070.03,1913.33,1.64932,210.443,3.01015
-1070.67,0.994136,0.165672,4,31,0,1071.43,1811.31,1.65628,210.212,3.13144
-1071.74,0.989748,0.165672,4,15,0,1072.99,1583.18,1.65547,210.229,3.0432
-1070.17,0.949108,0.165672,4,15,0,1072.87,1720.29,1.65237,210.418,3.03151
-1069.99,0.973467,0.165672,4,23,0,1071.41,2311.59,1.6501,210.494,2.99797
-1069.95,0.959747,0.165672,4,31,0,1071,2030.16,1.6485,210.682,3.0638
-1069.95,0.350728,0.165672,2,3,0,1076.1,2030.16,1.6485,210.682,3.0638
-1069.8,1,0.165672,4,15,0,1070.51,2125.14,1.64865,210.524,3.11431
-1069.4,0.924686,0.165672,5,31,0,1070.37,1935.7,1.65334,210.211,3.01277
-1072.08,0.755475,0.165672,3,13,0,1074.41,1864.97,1.64506,210.896,3.09402
-1071.51,0.973186,0.165672,3,15,0,1075.78,2278.52,1.65263,210.168,2.91209
-1070.06,0.969814,0.165672,5,31,0,1073.92,1846.25,1.65114,210.403,3.14666
-1071.21,0.872984,0.165672,4,15,0,1071.89,2053.06,1.65425,210.041,3.14373
-1070.06,0.997536,0.165672,4,15,0,1071.24,2052.66,1.65363,210.305,3.14169
-1070.21,0.997682,0.165672,4,15,0,1071.11,2066.44,1.64626,210.691,3.07079
-1069.76,0.968136,0.165672,4,15,0,1070.89,2087.33,1.64819,210.66,3.01935
-1069.65,0.99997,0.165672,4,31,0,1070.21,2108.6,1.65187,210.264,3.10381
-1070.75,0.768954,0.165672,2,7,0,1072.48,2121.03,1.65261,210.469,3.12311
-1070.94,0.982549,0.165672,3,15,0,1072.4,1966.63,1.64886,210.743,3.00806
-1072.35,0.983359,0.165672,4,15,0,1074.67,2255.23,1.64422,210.902,3.11631
-1069.66,0.9987,0.165672,4,15,0,1073.37,2095.1,1.65109,210.383,3.1298
-1069.77,0.763498,0.165672,5,31,0,1072.08,2259.58,1.65058,210.461,2.98717
-1069.68,0.866493,0.165672,2,3,0,1070.53,2224.05,1.65059,210.479,2.99176
-1072.82,0.668704,0.165672,3,9,0,1074.79,2585.47,1.65123,210.475,2.95196
-1072.8,0.834321,0.165672,4,15,0,1076.69,2171.53,1.64781,210.347,2.93404
-1071.13,0.79825,0.165672,2,3,0,1074.84,2096.72,1.64773,210.689,2.91928
-1071.31,0.99896,0.165672,4,15,0,1074.17,2144.7,1.6462,210.71,2.92496
-1072.59,0.627614,0.165672,2,3,0,1073.66,2105.24,1.64575,210.862,2.91844
-1072.5,0.98589,0.165672,4,15,0,1072.9,2106.12,1.64588,210.842,2.91271
-1073.05,0.81304,0.165672,4,15,0,1079.01,1817.11,1.64933,210.324,3.19128
-1071.9,0.993303,0.165672,4,27,0,1075.28,1825.71,1.65336,210.461,3.20485
-1069.95,0.999898,0.165672,4,15,0,1072.23,2060.46,1.65344,210.29,3.14046
-1070.13,0.770958,0.165672,5,31,0,1072.13,1894.52,1.65483,210.13,3.13014
-1073.02,0.931491,0.165672,4,15,0,1073.52,1945.26,1.66031,209.729,3.08334
-1074.51,0.572953,0.165672,2,3,0,1076.22,1968.79,1.6617,209.949,3.07789
-1072.71,1,0.165672,4,15,0,1075.61,2004.1,1.64637,210.907,3.15201
-1071.78,0.910524,0.165672,5,31,0,1074.13,1941.38,1.6519,210.104,3.05386
-1069.61,0.986454,0.165672,2,7,0,1071.81,1897.44,1.65254,210.455,3.06724
-1070.01,0.999608,0.165672,3,15,0,1070.67,1816,1.65282,210.239,3.10403
