# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = model_e4a7eeb0354675692635eec86e4e72e0_model
# start_datetime = 2025-04-13 09:08:23 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 8
# data
#   file = /var/folders/sg/z3fcysgj5h56dkrzxcppmh3m0000gn/T/RtmptLvmXS/standata-7ac72ae983ec.json
# init = 2 (Default)
# random
#   seed = 772847405
# output
#   file = /Users/lukaseamus/Desktop/Projects/Corallines/coralline-carbon/Stan/model_e4a7eeb0354675692635eec86e4e72e0-202504131708-8-16c8a0.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /Users/lukaseamus/Desktop/Projects/Corallines/coralline-carbon/Stan/model_e4a7eeb0354675692635eec86e4e72e0-profile-202504131708-8-4fb3a5.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=model_e4a7eeb0354675692635eec86e4e72e0_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,O2_max,beta,O2_0,sigma
# Adaptation terminated
# Step size = 0.16784
# Diagonal elements of inverse mass matrix:
# 0.000126092, 0.000414935, 1.80071e-05, 0.000650462
-1573.52,0.991846,0.16784,4,15,0,1574.36,572.21,3.92417,234.745,6.44338
-1574.06,0.987224,0.16784,4,15,0,1575.21,571.834,3.93083,234.293,6.44343
-1576.35,0.750689,0.16784,4,15,0,1577.23,570.089,3.93815,234.678,6.43911
-1573.7,0.965943,0.16784,4,15,0,1577.54,572.175,3.93345,233.965,6.15615
-1572.23,0.764215,0.16784,5,31,0,1576.26,575.443,3.9111,235.277,5.97039
-1572.48,0.983399,0.16784,3,7,0,1573.89,573.909,3.90714,235.367,5.965
-1574.71,0.99131,0.16784,4,15,0,1576.34,581.014,3.9124,234.523,5.7806
-1571.69,0.988878,0.16784,4,15,0,1575.46,580.799,3.8869,235.863,5.955
-1572.89,0.889414,0.16784,2,7,0,1574,579.807,3.88296,235.917,5.92526
-1572.17,1,0.16784,3,7,0,1573.04,579.97,3.89095,235.928,5.95854
-1572.75,0.833009,0.16784,4,31,0,1574.85,578.487,3.92262,234.554,6.0821
-1571.48,0.998759,0.16784,4,15,0,1573.42,581.546,3.90435,235.225,6.16735
-1571.72,0.99147,0.16784,4,15,0,1572.17,584.97,3.87848,235.648,6.24666
-1571.46,0.992829,0.16784,4,15,0,1572.11,586.111,3.8798,235.531,6.0999
-1571.05,0.982792,0.16784,4,31,0,1572.26,588.35,3.88029,235.656,6.14146
-1572.95,0.900167,0.16784,3,7,0,1573.78,590.932,3.88422,235.131,6.01371
-1571.42,1,0.16784,3,7,0,1573.23,589.263,3.87879,235.673,6.05196
-1572.42,0.897726,0.16784,5,31,0,1573.32,577.813,3.92163,234.597,6.28063
-1572.16,0.928199,0.16784,3,15,0,1574.64,581.15,3.91438,234.713,6.16268
-1572.09,0.98174,0.16784,4,23,0,1572.98,581.45,3.87929,235.899,6.06093
-1572.15,0.96929,0.16784,3,9,0,1572.64,585.813,3.88546,235.171,6.11106
