# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = model_e4a7eeb0354675692635eec86e4e72e0_model
# start_datetime = 2025-04-13 09:08:51 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 8
# data
#   file = /var/folders/sg/z3fcysgj5h56dkrzxcppmh3m0000gn/T/RtmptLvmXS/standata-7ac75dee80e5.json
# init = 2 (Default)
# random
#   seed = 410800732
# output
#   file = /Users/lukaseamus/Desktop/Projects/Corallines/coralline-carbon/Stan/model_e4a7eeb0354675692635eec86e4e72e0-202504131708-8-22257b.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /Users/lukaseamus/Desktop/Projects/Corallines/coralline-carbon/Stan/model_e4a7eeb0354675692635eec86e4e72e0-profile-202504131708-8-4fa339.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=model_e4a7eeb0354675692635eec86e4e72e0_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,O2_max,beta,O2_0,sigma
# Adaptation terminated
# Step size = 0.267742
# Diagonal elements of inverse mass matrix:
# 0.018713, 8.01845e-05, 1.68056e-05, 0.000631575
-1647.41,0.997437,0.267742,4,15,0,1648.4,1221.19,1.30338,210.418,7.09662
-1649.09,0.84924,0.267742,4,15,0,1650.87,1510.37,1.31258,210.017,6.86648
-1649.4,0.709903,0.267742,3,7,0,1652.22,1541.97,1.30967,209.327,6.87298
-1648.44,0.926216,0.267742,4,15,0,1650.67,1171.07,1.2971,210.133,6.88249
-1650.6,0.952949,0.267742,3,11,0,1651.11,1488.17,1.30155,209.686,6.52901
-1649.28,0.99553,0.267742,4,15,0,1653.31,1137.39,1.30382,210.692,6.50024
-1647.6,1,0.267742,3,7,0,1649.54,1139.6,1.3055,210.546,6.69178
-1647.6,1,0.267742,3,11,0,1648.47,1391.89,1.3008,210.693,7.02918
-1649.83,0.99449,0.267742,3,7,0,1650.51,1452.38,1.30471,210.243,7.27244
-1648.75,1,0.267742,4,15,0,1651.78,1244.37,1.30306,210.132,6.40176
-1647.69,0.986579,0.267742,4,15,0,1652.87,1378.31,1.28742,211.359,6.80416
-1645.9,0.996077,0.267742,3,7,0,1648.4,1242.14,1.30094,210.482,6.76765
-1647.44,0.988248,0.267742,3,15,0,1647.56,1094.7,1.3116,209.87,6.68044
-1646.91,0.996065,0.267742,3,7,0,1648.29,1105.9,1.30965,209.885,6.73786
-1647.8,0.930847,0.267742,4,15,0,1648.55,1024.12,1.30907,209.85,6.95197
-1650.27,0.946565,0.267742,4,15,0,1652.39,1233.69,1.31573,209.495,6.43081
-1646.56,0.784557,0.267742,3,7,0,1651.94,1411.4,1.30702,209.877,6.75901
-1645.93,0.985616,0.267742,4,15,0,1649.28,1239.11,1.30408,210.207,6.76398
-1646.07,0.956019,0.267742,4,15,0,1646.72,1314.89,1.29751,210.451,6.81992
-1646.3,0.908303,0.267742,2,7,0,1647.01,1355.59,1.29404,210.874,6.80431
-1647.21,0.908618,0.267742,4,15,0,1647.8,1585.47,1.29601,210.818,6.71667
-1646.53,0.962773,0.267742,4,15,0,1648.01,1146.52,1.30545,210.351,6.86093
-1646.06,0.996151,0.267742,3,15,0,1648.02,1299.38,1.30149,210.18,6.81348
-1646.01,0.999545,0.267742,2,7,0,1646.39,1253.91,1.30042,210.578,6.81337
-1646.35,0.972246,0.267742,2,7,0,1647.15,1221.63,1.29868,210.766,6.83131
-1646.66,0.987549,0.267742,4,15,0,1646.96,1245.15,1.30056,210.675,6.65636
-1647.15,0.975713,0.267742,4,15,0,1647.99,1546.24,1.2955,210.411,6.80424
-1647.77,0.925125,0.267742,3,15,0,1648.56,1549.02,1.3063,210.311,6.85639
-1648.82,0.991735,0.267742,4,15,0,1650.89,1028.37,1.29768,210.398,6.60977
-1648.94,0.909806,0.267742,4,15,0,1652.9,1224.85,1.30918,209.908,7.22026
-1647.8,0.98183,0.267742,4,15,0,1649.75,1270.95,1.29369,211.049,6.54395
-1646.8,0.716917,0.267742,4,15,0,1650.94,1053.75,1.30427,210.257,6.82698
-1647.21,0.992338,0.267742,3,7,0,1647.84,1018.45,1.30628,210.227,6.8434
-1648.9,0.878434,0.267742,4,15,0,1649.66,1742.59,1.2973,210.204,6.64359
-1652.43,0.930803,0.267742,3,7,0,1653.37,2161.98,1.30106,210.532,6.80029
-1650.57,0.993538,0.267742,4,15,0,1653.89,933.181,1.29149,210.887,6.80216
-1648.73,0.999111,0.267742,4,15,0,1653.57,1379.38,1.31766,209.325,6.77609
-1651.19,0.441449,0.267742,1,3,0,1652.8,1358.04,1.31252,208.967,6.80157
-1648.12,1,0.267742,2,3,0,1650.79,1393.24,1.31475,209.372,6.81612
-1649.7,0.945095,0.267742,4,15,0,1652.06,933.572,1.29346,210.93,6.82219
-1649.07,0.999411,0.267742,4,15,0,1651.38,1310.87,1.31758,209.363,7.02115
-1648.78,0.926832,0.267742,4,15,0,1650.39,1167.23,1.31653,209.29,6.99855
-1654.44,0.522984,0.267742,2,7,0,1657.55,1206.23,1.32229,208.461,7.13466
-1649.72,0.994844,0.267742,4,15,0,1656.38,942.334,1.31057,209.637,6.69635
-1648.61,1,0.267742,2,3,0,1649.88,957.729,1.31261,209.914,6.75173
-1646.6,0.973504,0.267742,3,7,0,1649.48,1280.88,1.30716,209.959,6.95879
-1648.18,0.974408,0.267742,3,7,0,1648.52,1434.35,1.30836,209.903,7.10296
-1646.57,0.999916,0.267742,3,15,0,1648.76,1316.63,1.29206,211.002,6.77927
-1646.5,0.966701,0.267742,4,15,0,1647.7,1377.68,1.30762,209.891,6.73619
-1647.87,0.913719,0.267742,3,15,0,1649.99,1519.46,1.28932,210.855,6.92309
-1646.12,0.686116,0.267742,3,15,0,1651.63,1385.75,1.30293,210.282,6.87327
-1647.64,0.73246,0.267742,2,3,0,1648.54,1368.87,1.29849,210.046,6.83248
-1648.72,0.923769,0.267742,3,11,0,1649.37,1353.42,1.30581,210.635,6.92689
-1646.11,0.838162,0.267742,2,3,0,1650.12,1324.92,1.30169,210.434,6.90368
-1646.92,0.96697,0.267742,4,15,0,1647.17,1166.63,1.29928,210.342,6.99205
-1646.71,0.980037,0.267742,4,15,0,1647.43,1437.38,1.30465,210.36,6.74674
-1646.26,0.957727,0.267742,2,3,0,1646.98,1455.08,1.30345,210.161,6.7861
-1646.07,0.995798,0.267742,4,15,0,1647.27,1264.5,1.30155,210.365,6.92074
-1649.27,0.555947,0.267742,3,11,0,1651.25,1375.03,1.3002,209.777,6.93798
-1647.44,0.996347,0.267742,4,15,0,1653.29,1038.11,1.30197,210.193,6.76955
-1647.67,1,0.267742,4,15,0,1649.01,1377.1,1.30483,210.328,7.08426
-1647.94,0.543888,0.267742,2,3,0,1652.23,1355.37,1.29933,210.11,7.06441
-1646.81,0.985584,0.267742,4,15,0,1649.22,1440.48,1.30245,210.552,6.81378
-1646.72,0.993548,0.267742,4,15,0,1647.36,1215.14,1.298,210.389,6.64417
-1648.04,0.987029,0.267742,3,7,0,1648.66,1364.56,1.3111,209.526,6.6005
-1647,0.910962,0.267742,3,11,0,1650.66,1296.72,1.29461,211.093,6.79946
-1647.14,0.969543,0.267742,4,15,0,1650,1624.67,1.30189,210.285,6.70642
-1647.08,0.779909,0.267742,4,15,0,1649.68,1217.67,1.29884,210.832,6.97428
-1647.89,0.714283,0.267742,4,15,0,1649.97,1460,1.29409,210.343,6.71404
-1647.28,0.623751,0.267742,2,7,0,1652.35,1530.82,1.29378,210.525,6.86033
-1646.68,0.999918,0.267742,4,15,0,1648.34,1100.91,1.30673,210.03,6.88358
-1646.83,0.935268,0.267742,4,15,0,1647.31,1482.07,1.29189,210.871,6.73152
-1646.61,0.955194,0.267742,4,15,0,1649.14,1155.77,1.3084,210.006,6.70569
-1646.75,0.999424,0.267742,4,15,0,1647,1466.52,1.29303,210.899,6.87061
-1647.06,0.766023,0.267742,2,3,0,1648.71,1573.01,1.29453,210.837,6.83831
-1647.46,0.760389,0.267742,4,15,0,1649.57,1034.84,1.30357,210.584,6.85791
-1648.64,0.995987,0.267742,3,7,0,1649.14,925.041,1.30237,210.489,6.79761
-1648.2,0.789173,0.267742,3,7,0,1650.43,950.827,1.30703,210.083,6.86778
