# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = model_e4a7eeb0354675692635eec86e4e72e0_model
# start_datetime = 2025-04-13 09:08:04 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 8
# data
#   file = /var/folders/sg/z3fcysgj5h56dkrzxcppmh3m0000gn/T/RtmptLvmXS/standata-7ac73ef2aea1.json
# init = 2 (Default)
# random
#   seed = 1174791655
# output
#   file = /Users/lukaseamus/Desktop/Projects/Corallines/coralline-carbon/Stan/model_e4a7eeb0354675692635eec86e4e72e0-202504131708-8-4bbeaf.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /Users/lukaseamus/Desktop/Projects/Corallines/coralline-carbon/Stan/model_e4a7eeb0354675692635eec86e4e72e0-profile-202504131708-8-52dff3.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=model_e4a7eeb0354675692635eec86e4e72e0_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,O2_max,beta,O2_0,sigma
# Adaptation terminated
# Step size = 0.173959
# Diagonal elements of inverse mass matrix:
# 1.83337e-05, 0.00425433, 5.48446e-05, 0.000652653
-2051.68,0.997692,0.173959,4,23,0,2053.24,575.341,8.72057,242.856,11.6782
-2050.9,0.956783,0.173959,3,11,0,2052.2,575.048,8.77186,242.376,11.7981
-2053.64,0.907848,0.173959,4,15,0,2056.15,578.444,8.76602,240.995,12.4868
-2052.69,0.991001,0.173959,3,7,0,2053.89,577.338,8.76776,241.242,12.4541
-2050.99,0.99805,0.173959,4,31,0,2054.4,577.676,8.87054,238.963,12.0299
-2052.04,0.983419,0.173959,4,19,0,2052.49,573.566,8.73822,243.154,11.6581
-2052.38,0.957515,0.173959,5,31,0,2054.37,578.357,8.84088,239.799,12.3111
-2053.21,0.868984,0.173959,3,7,0,2053.92,578.086,8.8259,239.203,12.3602
-2051.47,0.997887,0.173959,4,31,0,2053.67,573.28,8.81558,241.476,11.6425
-2050.64,0.999795,0.173959,3,15,0,2052.11,574.395,8.85115,240.757,11.7751
-2050.73,0.94442,0.173959,2,7,0,2051.32,574.874,8.85173,240.773,11.7378
-2052.25,0.99935,0.173959,4,23,0,2053.01,577.413,8.91409,238.46,11.4741
-2052.02,0.996083,0.173959,2,3,0,2052.39,577.336,8.89875,238.243,11.5131
-2052.49,0.941128,0.173959,5,31,0,2055.38,573.679,8.92444,239.29,11.9054
-2050.66,0.995018,0.173959,3,7,0,2053.08,576.288,8.89391,239.098,11.8064
-2052.91,0.752861,0.173959,4,31,0,2057.88,573.415,8.85763,240.685,12.4173
-2052.19,0.99904,0.173959,4,15,0,2054.15,577.252,8.77044,241.188,12.3751
-2053.9,0.917468,0.173959,4,31,0,2057.2,578.376,8.73616,242.243,12.2455
-2054.69,0.984663,0.173959,4,31,0,2055.85,573.763,8.89103,240.607,11.2716
-2051.03,0.996872,0.173959,4,15,0,2057.02,574.757,8.76956,242.258,11.5659
-2054.21,0.907165,0.173959,4,31,0,2056.25,577.596,8.90346,237.905,12.5365
-2051.37,1,0.173959,4,15,0,2056.6,577.957,8.7931,240.183,11.7571
-2055.86,0.961153,0.173959,3,7,0,2056.54,581.247,8.78324,239.318,11.9593
-2055.99,0.946365,0.173959,3,7,0,2057.03,581.295,8.81377,239.668,11.9365
-2050.98,0.937634,0.173959,3,15,0,2058.6,576.956,8.80726,240.507,12.2108
-2051.5,0.911966,0.173959,4,15,0,2053.08,574.395,8.78923,241.951,12.2717
-2051.11,0.867216,0.173959,3,15,0,2053.45,577.435,8.7888,241.281,11.9113
-2050.5,0.913208,0.173959,4,19,0,2052.44,575.801,8.76844,241.98,11.8632
-2051.29,0.99095,0.173959,4,15,0,2051.69,573.683,8.80572,241.899,11.5925
-2050.64,1,0.173959,4,15,0,2051.83,575.408,8.75986,242.21,11.7575
-2051.43,0.98884,0.173959,4,31,0,2052.98,577.875,8.88969,238.428,11.6759
-2050.62,0.98025,0.173959,4,15,0,2051.85,575.047,8.86285,240.312,11.6515
-2051.97,0.993596,0.173959,4,15,0,2052.75,572.913,8.83131,241.699,11.6616
-2053.98,0.952076,0.173959,4,15,0,2055.41,577.427,8.6799,242.861,12.1337
-2052.39,0.985929,0.173959,4,15,0,2054.9,573.319,8.72792,243.216,11.8697
-2050.74,0.98549,0.173959,4,15,0,2052.79,577.011,8.77035,241.528,11.756
-2052.39,0.947312,0.173959,4,15,0,2053.55,575.407,8.93814,238.423,11.5523
-2052.43,0.909294,0.173959,4,15,0,2056.6,572.965,8.85994,240.358,11.9596
-2050.92,0.99548,0.173959,3,7,0,2053.06,575.309,8.82749,241.309,11.9336
-2050.42,0.988287,0.173959,3,15,0,2052.19,576.14,8.83756,240.114,11.5658
-2051.13,0.89465,0.173959,2,7,0,2052.36,574.791,8.86049,240.423,11.4932
-2052.44,0.943781,0.173959,4,15,0,2053.66,577.528,8.72874,242.492,11.7049
-2054.59,0.951091,0.173959,4,31,0,2055.43,575.202,8.98719,238.035,11.7532
-2052.89,0.854392,0.173959,4,15,0,2058.45,575.107,8.84736,239.369,11.931
-2052.92,0.832996,0.173959,3,11,0,2058.76,578.991,8.83174,240.164,11.8704
-2050.36,0.990114,0.173959,3,15,0,2054.61,577.192,8.84412,239.793,11.9458
-2051.13,0.966829,0.173959,4,15,0,2051.32,577.849,8.80987,239.923,11.9883
-2050.7,0.995951,0.173959,4,15,0,2051.59,575.883,8.86959,239.275,11.8433
-2051.35,0.782679,0.173959,4,15,0,2053.38,576.266,8.88107,239.878,12.0214
-2050,1,0.173959,3,11,0,2051.47,575.798,8.83843,240.411,11.8406
-2050.33,0.932036,0.173959,3,15,0,2051.78,576.4,8.83129,240.14,11.6112
-2052.38,0.915864,0.173959,4,15,0,2053.53,575.106,8.78926,241.592,12.4975
-2052.94,0.892478,0.173959,4,31,0,2057.15,576.913,8.81131,240.715,11.1479
-2051.23,0.895395,0.173959,4,15,0,2054.08,574.464,8.79249,241.221,12.0073
-2051.37,0.997998,0.173959,4,15,0,2052.36,576.611,8.76334,241.201,11.618
-2052.65,0.988892,0.173959,4,15,0,2053.29,572.585,8.81299,241.478,11.653
-2053.25,0.974099,0.173959,4,23,0,2055.27,571.94,8.85173,241.253,11.6686
-2050.29,0.966308,0.173959,3,7,0,2054.02,575.997,8.84224,240.544,11.8454
-2050.87,0.982041,0.173959,4,15,0,2052.13,575.159,8.75548,242.444,11.7086
-2052.94,0.965607,0.173959,4,31,0,2053.38,574.505,8.75181,242.309,11.2777
-2053.96,0.997877,0.173959,4,15,0,2054.98,572.508,8.75775,243.345,11.387
-2052.24,0.998187,0.173959,4,15,0,2055.62,576.973,8.79555,240.643,11.2669
-2055.85,0.631186,0.173959,4,31,0,2058.29,576.312,8.9484,239.046,11.5473
