# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = model_e4a7eeb0354675692635eec86e4e72e0_model
# start_datetime = 2025-04-13 09:09:12 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/sg/z3fcysgj5h56dkrzxcppmh3m0000gn/T/RtmptLvmXS/standata-7ac77c5ba70a.json
# init = 2 (Default)
# random
#   seed = 2015214062
# output
#   file = /Users/lukaseamus/Desktop/Projects/Corallines/coralline-carbon/Stan/model_e4a7eeb0354675692635eec86e4e72e0-202504131709-1-06ea6b.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /Users/lukaseamus/Desktop/Projects/Corallines/coralline-carbon/Stan/model_e4a7eeb0354675692635eec86e4e72e0-profile-202504131709-1-45c9fb.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=model_e4a7eeb0354675692635eec86e4e72e0_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,O2_max,beta,O2_0,sigma
# Adaptation terminated
# Step size = 0.181156
# Diagonal elements of inverse mass matrix:
# 2.82343e-05, 0.000926491, 3.19063e-05, 0.000626347
-1755.43,0.986371,0.181156,2,7,0,1755.8,486.443,5.2229,191.601,7.83472
-1755.31,1,0.181156,3,11,0,1755.99,484.441,5.21495,190.83,7.82606
-1752.48,1,0.181156,2,3,0,1755.17,484.876,5.22767,191.098,7.85375
-1753.08,0.996392,0.181156,4,15,0,1753.57,485.857,5.22264,191.066,7.70303
-1753.99,0.774531,0.181156,4,15,0,1757.84,481.843,5.2374,191.765,7.86483
-1754.08,0.953674,0.181156,4,19,0,1756.42,487.399,5.20703,191.699,7.79044
-1753.27,0.999503,0.181156,3,7,0,1754.34,486.396,5.20547,191.962,7.87984
-1751.78,0.9963,0.181156,3,15,0,1754.78,485.281,5.19999,191.877,7.76749
-1751.85,0.992848,0.181156,4,15,0,1752.03,483.932,5.19562,192.353,7.76544
-1752.46,0.98988,0.181156,3,15,0,1753.95,485.381,5.18973,192.18,7.60144
-1752.7,0.960328,0.181156,3,7,0,1752.99,485.406,5.19623,192.029,7.57387
-1751.97,0.695048,0.181156,4,15,0,1756.39,483.691,5.20539,192.194,7.93133
-1752.08,0.932703,0.181156,4,31,0,1753.63,484.985,5.19553,191.947,8.03916
-1752.59,0.99672,0.181156,3,15,0,1755.53,486.78,5.15696,193.204,7.9758
-1752.85,0.991624,0.181156,4,15,0,1753.07,485.421,5.15169,193.304,7.97661
-1753,0.937546,0.181156,2,3,0,1753.64,485.371,5.1576,193.575,7.93325
-1756.28,0.783264,0.181156,3,15,0,1757.54,485.373,5.13041,193.527,7.94833
-1756.8,0.677088,0.181156,2,3,0,1761.58,487.244,5.15818,193.779,7.95134
-1754.24,1,0.181156,3,7,0,1757.35,484.942,5.14895,193.978,8.07536
-1752.13,0.992562,0.181156,3,11,0,1754.69,486.434,5.16372,192.784,7.93532
-1752.85,0.968557,0.181156,4,15,0,1753.46,483.804,5.16617,193.103,7.81074
-1752.78,0.969665,0.181156,4,15,0,1754.52,486.957,5.17399,192.116,7.97455
-1754.58,0.960393,0.181156,4,15,0,1755.22,487.146,5.13993,193.988,8.01833
-1755.2,0.972722,0.181156,2,5,0,1756.05,487.279,5.13597,194.149,8.04472
-1753.57,0.935797,0.181156,3,11,0,1759.73,486.096,5.15729,192.654,7.88111
-1752.8,0.991289,0.181156,5,31,0,1755.8,484.039,5.2382,190.946,7.8292
-1753.2,0.889061,0.181156,2,7,0,1754.01,484.277,5.23616,191.243,7.86507
-1753.13,0.854434,0.181156,2,3,0,1755.32,484.274,5.22929,190.812,7.85128
-1752.97,1,0.181156,1,1,0,1753.17,484.261,5.22926,190.856,7.85603
-1752.78,0.998271,0.181156,4,31,0,1753.38,485.082,5.15608,193.145,7.9121
-1752.32,0.963649,0.181156,2,3,0,1753.02,485.442,5.16002,193.277,7.91496
-1753.87,0.758882,0.181156,3,15,0,1757.09,487.591,5.18505,192.404,7.71396
-1758.35,0.622313,0.181156,3,15,0,1760.63,485.878,5.23006,191.804,7.88933
-1753.57,1,0.181156,2,7,0,1757.92,485.642,5.21142,190.991,7.94592
-1754.63,0.871585,0.181156,3,7,0,1756.49,486.506,5.23611,190.787,7.78845
-1753.93,0.966462,0.181156,4,15,0,1756.33,480.986,5.22206,192.057,7.68873
-1752.34,0.944401,0.181156,4,15,0,1755.6,484.729,5.21633,191.241,7.84635
-1752.27,0.995103,0.181156,4,31,0,1753.96,485.05,5.19014,192.105,8.08298
-1751.7,0.999985,0.181156,4,15,0,1752.41,484.885,5.18451,192.476,7.94192
-1753.52,0.958249,0.181156,4,15,0,1753.9,481.441,5.1954,192.693,7.83633
-1753.28,0.978488,0.181156,4,15,0,1755.26,486.571,5.22133,190.971,7.7917
-1753.55,0.980362,0.181156,4,31,0,1755.1,483.667,5.25015,190.754,7.85389
-1753.03,0.991986,0.181156,5,31,0,1754.1,487.261,5.1533,192.859,7.71847
-1754.47,0.911317,0.181156,5,31,0,1755.71,486.753,5.16095,193.36,8.19654
-1755.18,0.76315,0.181156,2,3,0,1757.55,486.365,5.16636,193.43,8.17482
-1754.64,1,0.181156,4,19,0,1755.81,484.657,5.21352,191.082,7.57014
-1753.6,1,0.181156,4,31,0,1755.15,484.901,5.18436,192.019,7.63394
-1753.5,1,0.181156,3,7,0,1753.98,485.078,5.19551,191.61,7.66793
-1752.38,1,0.181156,2,7,0,1753.63,485.286,5.19854,192.21,7.69169
-1753.66,0.997868,0.181156,4,15,0,1753.84,486.496,5.1811,192.553,7.53243
-1752.53,0.917332,0.181156,5,31,0,1755.24,483.594,5.23169,191.165,7.77402
-1752.58,0.97353,0.181156,4,31,0,1753.26,483.313,5.23509,191.206,7.91859
-1753.31,0.986152,0.181156,4,15,0,1753.92,486.077,5.2239,190.944,8.05306
-1752.72,0.993336,0.181156,4,15,0,1755.26,484.046,5.1641,193.391,7.91942
-1752.85,0.978401,0.181156,4,31,0,1754.35,485.171,5.19153,192.359,7.56501
-1755.19,0.587058,0.181156,3,15,0,1759.42,484.474,5.18813,191.656,7.91477
-1752.64,1,0.181156,3,15,0,1755.9,485.072,5.18627,191.967,7.91091
-1751.79,0.993878,0.181156,3,15,0,1754.61,485.183,5.18268,192.313,7.86697
-1751.87,0.971638,0.181156,3,15,0,1752.25,484.326,5.18412,192.517,7.95482
-1752.18,0.855071,0.181156,3,15,0,1753.71,483.492,5.18857,192.662,7.75433
-1752.3,0.658066,0.181156,3,11,0,1756.15,484.855,5.17442,192.878,7.67918
-1751.88,0.722247,0.181156,3,11,0,1755.11,484.447,5.19899,192.264,7.96176
-1752.11,0.915664,0.181156,3,11,0,1753.47,485.6,5.2016,191.674,8.01001
-1753.74,0.883219,0.181156,4,15,0,1754.29,485.813,5.17102,192.299,8.14209
-1753.6,0.894865,0.181156,3,7,0,1755.78,483.62,5.17125,193.051,8.18017
-1754.63,0.783833,0.181156,2,7,0,1757.46,483.87,5.16647,192.729,8.11361
-1753.84,0.902846,0.181156,4,15,0,1757.04,483.083,5.20014,192.027,8.22599
-1754.24,0.957473,0.181156,3,7,0,1755.12,483.313,5.19924,192.531,8.30013
-1754.55,1,0.181156,4,15,0,1755.73,483.238,5.20236,192.373,8.34855
-1753.41,0.961998,0.181156,4,31,0,1756.09,483.572,5.23555,190.732,7.93711
-1752.66,0.957172,0.181156,3,15,0,1755.95,483.141,5.23624,191.206,7.9275
-1752.44,0.992341,0.181156,4,15,0,1753.95,484.474,5.21936,191.292,8.02914
-1752.01,0.988692,0.181156,4,31,0,1755.09,483.713,5.20917,192.048,7.96359
-1753.15,0.930334,0.181156,4,15,0,1754.53,487.545,5.15331,193.152,8.07384
-1753.74,0.994955,0.181156,5,31,0,1754.56,483.039,5.2439,191.015,7.63847
-1755.1,0.985949,0.181156,5,31,0,1756.9,484.975,5.21476,191.404,7.38338
-1753.14,0.967089,0.181156,2,7,0,1755.96,484.074,5.21017,191.836,7.53479
-1753.94,0.9201,0.181156,4,15,0,1757.3,488.061,5.20674,191.07,7.83331
-1752.59,0.623454,0.181156,3,15,0,1758.57,484.711,5.1815,192.902,8.05107
-1753.2,0.977567,0.181156,4,15,0,1754.43,487.934,5.17299,192.582,7.75341
-1753.26,0.744836,0.181156,3,7,0,1755.57,487.938,5.17568,192.548,7.81922
-1753.4,0.913052,0.181156,4,15,0,1754.93,487.963,5.17605,191.838,7.88072
-1752.94,0.990625,0.181156,3,11,0,1754.52,483.142,5.18358,192.526,7.96511
-1751.67,1,0.181156,3,15,0,1752.95,485.228,5.18045,192.525,7.90217
-1752.31,0.986863,0.181156,4,15,0,1752.63,482.81,5.19737,192.417,7.95772
-1753.61,0.994535,0.181156,4,15,0,1754.09,482.093,5.1775,193.241,7.92837
-1754.22,0.996625,0.181156,4,15,0,1754.91,489.775,5.15253,192.587,7.80288
-1751.61,0.97422,0.181156,4,15,0,1755.31,484.899,5.19051,192.227,7.90352
-1752.81,0.802747,0.181156,3,15,0,1754.07,484.718,5.18808,192.038,8.07347
-1752.35,0.998618,0.181156,4,15,0,1754,484.213,5.19327,192.195,8.09736
-1753.51,0.996296,0.181156,4,31,0,1756.1,487.814,5.13375,193.536,7.91247
-1752.39,0.967152,0.181156,4,15,0,1754.22,486.035,5.15658,193.123,7.77815
-1752.58,0.992675,0.181156,2,3,0,1752.61,486.263,5.15803,193.271,7.75602
-1753.43,0.899017,0.181156,3,7,0,1753.57,486.582,5.16168,193.346,7.75406
-1755.8,0.960144,0.181156,4,15,0,1756.42,488.982,5.11984,193.397,7.9588
-1755.1,0.996204,0.181156,4,23,0,1757.61,480.311,5.25657,190.812,7.83828
-1754.55,0.999718,0.181156,4,31,0,1756.77,489.093,5.13104,193.604,8.06736
-1752.27,0.93176,0.181156,4,15,0,1755.89,485.167,5.18308,192.254,7.69422
-1752.53,0.998534,0.181156,3,13,0,1753.45,484.931,5.18654,192.176,8.10152
-1752.07,1,0.181156,4,15,0,1753.01,486.203,5.17131,192.478,7.8245
-1752.67,0.974719,0.181156,4,15,0,1752.9,487.352,5.16449,192.43,7.92458
-1753.78,0.908662,0.181156,3,7,0,1754.43,487.665,5.16059,192.287,7.82146
-1753.1,0.885238,0.181156,1,3,0,1755.38,488.39,5.16872,192.527,7.80364
-1755.51,0.980014,0.181156,4,15,0,1757.79,488.328,5.13898,193.1,7.509
-1756.15,0.914992,0.181156,4,15,0,1758.75,486.939,5.14448,193.909,7.51648
-1757.33,0.900323,0.181156,4,15,0,1759.39,485.003,5.13992,194.262,7.42797
-1754.46,1,0.181156,4,15,0,1757.89,487.846,5.18711,192.084,8.24482
-1752,0.986035,0.181156,4,15,0,1754.91,484.021,5.1915,192.584,7.77582
-1752.2,0.916784,0.181156,4,23,0,1753.67,485.249,5.19623,191.91,8.07225
-1754.11,0.884298,0.181156,4,31,0,1756.51,487.548,5.14798,193.545,8.10984
-1754.21,0.912901,0.181156,2,7,0,1757.19,487.341,5.13559,193.541,8.16161
-1754.87,0.940302,0.181156,5,31,0,1756.32,484.056,5.22256,191.749,8.32598
-1753.73,0.951767,0.181156,4,31,0,1756.91,487.129,5.14927,193.614,7.76905
-1753.02,0.99997,0.181156,4,15,0,1753.93,486.498,5.14493,193.28,7.8232
-1752.04,0.97915,0.181156,4,31,0,1753.77,484.452,5.21061,191.791,8.01657
-1752.48,0.990634,0.181156,4,15,0,1753.43,482.503,5.19876,192.511,7.9443
-1754.98,0.962929,0.181156,4,15,0,1755.46,489.265,5.13719,193.459,7.65092
-1752.09,0.945248,0.181156,4,15,0,1756.1,483.922,5.19707,192.001,7.82764
-1752.65,0.9682,0.181156,3,15,0,1754.46,483.424,5.18511,193.017,7.89964
-1753.19,0.989643,0.181156,4,15,0,1754.07,487.704,5.17543,192.501,7.68547
-1754.96,0.930381,0.181156,3,7,0,1755.94,489.012,5.1548,193.104,7.66682
-1753.43,1,0.181156,2,3,0,1754.91,488.387,5.15233,192.855,7.69247
-1753.41,0.960648,0.181156,4,15,0,1755.1,488.508,5.15133,193.044,8.01556
-1752.75,0.981507,0.181156,4,15,0,1753.97,483.565,5.17499,192.857,7.74343
-1753.62,0.983528,0.181156,4,15,0,1754.05,483.536,5.17064,193.473,7.6948
-1753.52,0.950041,0.181156,4,31,0,1755.21,486.097,5.21914,190.861,7.7222
-1752.63,0.999359,0.181156,4,15,0,1754.07,482.796,5.18996,192.726,7.73893
-1752.51,0.857789,0.181156,3,15,0,1754.93,487.697,5.1698,192.319,7.86403
-1752.06,0.9791,0.181156,3,15,0,1754.34,483.416,5.21408,191.652,7.85559
-1755.8,0.764516,0.181156,3,11,0,1756.73,481.112,5.25402,191.524,7.87522
-1754.49,1,0.181156,2,3,0,1756.19,480.284,5.24899,191.305,7.88713
-1751.91,0.993539,0.181156,4,15,0,1755.54,485.112,5.19053,192.314,8.028
-1752.62,0.997558,0.181156,4,23,0,1752.79,484.778,5.20636,191.833,7.59316
-1754.48,0.853842,0.181156,4,15,0,1755.94,481.858,5.22812,191.388,8.2215
-1755,0.875655,0.181156,3,7,0,1756.09,483.143,5.24438,191.378,8.13999
-1754.04,0.955062,0.181156,4,15,0,1756.47,481.739,5.2287,191.234,7.99477
-1756.27,0.992753,0.181156,4,31,0,1758.05,487.898,5.21995,190.844,7.5215
-1753.79,0.997514,0.181156,3,7,0,1756.99,486.734,5.22258,191.018,7.71126
-1754.02,0.999731,0.181156,4,15,0,1756.04,483.271,5.2548,190.609,7.7253
-1758.09,0.870425,0.181156,4,15,0,1760.73,480.998,5.30164,189.581,7.79335
-1753.59,0.975085,0.181156,4,31,0,1761.6,486.81,5.17076,192.275,7.58139
-1755.3,0.900337,0.181156,4,31,0,1756.66,486.767,5.13919,194.208,7.86239
-1758.73,0.82518,0.181156,4,15,0,1760.23,485.839,5.14943,194.365,8.23433
-1753.78,1,0.181156,4,23,0,1759.17,489.201,5.16923,192.074,7.95237
-1757.37,0.969692,0.181156,3,7,0,1758.66,492.094,5.15519,192.109,7.85804
-1754.06,0.938527,0.181156,4,31,0,1759.8,483.217,5.20396,192.548,8.21552
-1754.23,0.936098,0.181156,5,31,0,1757.56,484.685,5.16882,192.744,7.50612
-1752.51,0.999694,0.181156,4,31,0,1754.58,486.212,5.17393,192.927,7.85626
-1752.19,0.998988,0.181156,3,11,0,1753,484.986,5.16978,192.73,7.85411
-1753.14,0.993224,0.181156,3,15,0,1753.59,487.893,5.14783,192.936,7.94989
-1753.26,0.833763,0.181156,3,11,0,1756.06,487.438,5.15948,193.198,7.95829
-1752.13,0.945344,0.181156,3,15,0,1754.79,486.41,5.20029,191.697,7.92847
-1753.51,0.960933,0.181156,3,7,0,1754.21,487.73,5.20347,191.265,7.75661
-1752.34,0.949738,0.181156,3,7,0,1753.99,485.731,5.20526,191.409,7.81637
-1752.39,0.951211,0.181156,4,15,0,1753.71,484.908,5.17726,193.012,7.95754
-1752.64,0.994884,0.181156,3,15,0,1755.47,487.108,5.18111,192.055,7.68693
-1753.02,0.994861,0.181156,3,15,0,1757.16,488.31,5.1523,193.007,7.85472
-1755.57,0.982804,0.181156,4,15,0,1757.03,480.789,5.20624,192.482,8.28043
-1753.26,0.897035,0.181156,4,15,0,1757.47,484.907,5.1926,192.688,8.06438
-1752.76,0.860391,0.181156,2,3,0,1755.26,484.217,5.18757,192.219,8.09587
-1752.55,0.999549,0.181156,4,15,0,1754.13,487.72,5.17289,192.42,7.96755
-1754.02,0.830952,0.181156,4,15,0,1755.24,486.137,5.20323,192.16,8.10244
-1752.49,0.999562,0.181156,3,15,0,1754.2,485.524,5.19546,191.651,7.94432
-1752.25,0.998486,0.181156,3,15,0,1756.21,485.502,5.19951,191.709,8.0423
-1752.54,0.962325,0.181156,4,15,0,1754.03,483.485,5.20122,191.973,7.68647
-1752,0.999656,0.181156,2,7,0,1752.82,484.334,5.20484,192.082,7.73433
-1751.59,0.994915,0.181156,5,31,0,1752.51,484.645,5.1936,192.24,7.87188
-1752.43,0.972268,0.181156,4,15,0,1752.68,482.983,5.19815,192.26,7.73041
-1752.38,0.999073,0.181156,4,15,0,1752.87,486.14,5.19802,191.925,7.68061
-1751.67,0.999808,0.181156,3,11,0,1752.49,484.53,5.19571,192.205,7.78489
-1752.36,0.842495,0.181156,2,3,0,1752.69,484.438,5.19214,191.986,7.77611
-1753.44,0.98817,0.181156,3,15,0,1754.32,483.416,5.20278,191.779,8.13056
-1753.61,0.968754,0.181156,3,7,0,1754.14,483.292,5.19228,192.072,8.07779
-1752.95,0.902121,0.181156,2,3,0,1754.88,483.747,5.19843,192.624,8.04812
-1752.22,0.995012,0.181156,3,11,0,1753.28,485.859,5.20199,191.964,7.95314
-1753.55,0.99864,0.181156,4,15,0,1754.01,482.977,5.16914,193.168,8.03897
