# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = model_e4a7eeb0354675692635eec86e4e72e0_model
# start_datetime = 2025-04-13 09:09:14 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/sg/z3fcysgj5h56dkrzxcppmh3m0000gn/T/RtmptLvmXS/standata-7ac75cb9519a.json
# init = 2 (Default)
# random
#   seed = 379716170
# output
#   file = /Users/lukaseamus/Desktop/Projects/Corallines/coralline-carbon/Stan/model_e4a7eeb0354675692635eec86e4e72e0-202504131709-1-1fc9f4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /Users/lukaseamus/Desktop/Projects/Corallines/coralline-carbon/Stan/model_e4a7eeb0354675692635eec86e4e72e0-profile-202504131709-1-2ae774.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=model_e4a7eeb0354675692635eec86e4e72e0_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,O2_max,beta,O2_0,sigma
# Adaptation terminated
# Step size = 0.140701
# Diagonal elements of inverse mass matrix:
# 0.0584571, 35.0431, 0.000399606, 0.000621324
-2909.25,0.999562,0.140701,4,15,0,2909.41,18.1434,-10.1552,291.507,35.7138
-2909.63,0.970584,0.140701,3,7,0,2910.21,17.0637,-11.1943,291.097,35.9364
-2909.87,0.918962,0.140701,4,23,0,2914.34,19.9253,-12.844,290.414,35.0048
-2909.4,0.984705,0.140701,4,19,0,2914.83,21.0576,-11.2038,295.513,34.7221
-2908.96,0.999251,0.140701,4,15,0,2909.86,22.488,-24.4992,296.631,35.1065
-2909.01,0.999846,0.140701,4,31,0,2910.5,22.4439,-21.9331,294.184,35.8072
-2909.65,0.878433,0.140701,2,7,0,2910.92,22.8824,-20.9805,293.556,35.5987
-2909.36,0.995263,0.140701,3,7,0,2910,20.1382,-19.7945,294.838,35.6836
-2909.58,0.995189,0.140701,5,31,0,2909.98,26.7595,-15.3083,297.733,35.6672
-2908.59,0.999469,0.140701,4,19,0,2910.57,19.0643,-17.1799,293.201,34.3731
-2908.72,0.96888,0.140701,5,31,0,2910,28.1218,-19.4157,299.509,34.6591
-2910.02,0.995097,0.140701,4,15,0,2910.62,29.1248,-23.4137,300.487,33.711
-2908.21,0.919282,0.140701,4,31,0,2912.24,29.138,-23.215,302.67,34.9624
-2908.84,0.93972,0.140701,5,47,0,2910.94,20.813,-15.5323,292.923,36.1406
-2908.77,0.998625,0.140701,4,31,0,2909.65,23.9628,-19.9326,296.032,36.1678
-2908.89,0.996442,0.140701,4,15,0,2910.08,30.6901,-18.4138,302.914,35.4392
-2909.83,0.96231,0.140701,5,31,0,2910.43,28.3983,-29.4995,299.935,34.7149
-2907.92,0.863863,0.140701,5,31,0,2912.01,19.468,-14.6822,292.309,35.0011
-2908.7,0.977366,0.140701,3,15,0,2912.59,18.3641,-18.9146,290.812,35.2205
-2908.37,0.997686,0.140701,4,15,0,2909.19,21.8451,-12.487,295.372,34.9326
-2911.37,0.963944,0.140701,3,7,0,2911.66,24.2099,-9.13788,296.754,34.9201
-2910.68,0.993377,0.140701,3,7,0,2911.87,23.1784,-9.46549,296.829,34.8809
-2908.76,0.810393,0.140701,4,27,0,2916.85,29.4231,-23.4737,301.806,35.9595
-2908.1,0.857589,0.140701,3,15,0,2910.72,25.0513,-23.8893,298.13,35.093
-2909.29,0.944107,0.140701,4,15,0,2909.73,25.7281,-27.8428,299.275,35.5729
-2909.81,0.99979,0.140701,4,15,0,2911.06,27.0749,-29.3967,299.894,35.8704
-2909.86,0.940582,0.140701,2,7,0,2910.49,26.1116,-28.2744,300.311,35.7565
-2909.02,0.993667,0.140701,4,31,0,2911.38,24.6202,-25.2023,297.733,33.9099
-2909.49,0.953552,0.140701,5,31,0,2911.65,29.6718,-24.8374,301.594,36.2411
-2908.38,0.998868,0.140701,5,31,0,2911.89,22.9591,-14.3714,294.913,35.6018
-2908.9,0.913732,0.140701,4,31,0,2911.03,17.14,-10.8725,289.935,35.4274
-2910.11,0.997433,0.140701,4,31,0,2911.98,13.6188,-9.01274,286.378,35.0616
-2911.04,0.95844,0.140701,4,15,0,2911.5,12.3252,-8.93625,286.423,34.8735
-2908.51,0.998884,0.140701,3,15,0,2912.5,17.6501,-12.4701,290.702,34.4091
-2910.85,0.958264,0.140701,4,15,0,2911.31,18.0633,-9.02063,290.052,33.6291
-2909.02,0.998104,0.140701,3,7,0,2911.45,17.1431,-11.5957,289.305,34.2792
-2911.31,0.932763,0.140701,4,15,0,2911.74,14.9503,-19.2887,286.231,34.2632
-2908.27,0.985358,0.140701,4,15,0,2911.87,19.2586,-15.3134,293.222,35.2138
-2908.86,0.953211,0.140701,3,15,0,2909.45,19.6162,-15.1126,290.793,35.0807
-2908.28,0.983528,0.140701,4,19,0,2910.46,19.8284,-16.6082,293.426,35.5922
-2908.73,0.830435,0.140701,2,3,0,2910.35,20.4674,-16.1782,291.866,35.5436
-2909.12,0.993823,0.140701,4,15,0,2909.55,21.8063,-14.1473,296.369,35.9079
-2908.31,0.986294,0.140701,5,31,0,2909.52,19.2207,-17.4387,292.111,34.2179
-2908.44,0.935756,0.140701,3,7,0,2908.96,18.9461,-17.8474,292.628,34.3577
-2908.73,0.977187,0.140701,4,27,0,2909.56,24.0703,-13.6938,297.972,34.518
-2908.84,0.995675,0.140701,3,7,0,2909.1,24.8978,-13.4424,298.243,34.4792
-2909.27,0.991042,0.140701,4,31,0,2909.73,18.8036,-21.2764,291.149,34.1134
-2910.12,0.990865,0.140701,4,15,0,2910.62,20.1507,-9.39078,292.381,34.1288
-2911.79,0.967327,0.140701,4,15,0,2912.69,13.9905,-21.2244,288.091,35.2152
-2910.2,0.950618,0.140701,4,15,0,2913.44,15.0341,-14.2818,289.715,34.3281
-2908.69,0.991746,0.140701,5,31,0,2911.43,27.8027,-17.2599,299.409,34.7999
-2907.82,0.999936,0.140701,3,11,0,2909.08,24.3643,-20.3034,296.589,34.8083
-2908.38,0.938636,0.140701,4,23,0,2910.44,23.6668,-20.831,295.394,34.3828
-2908.95,0.990564,0.140701,4,15,0,2909.57,27.9144,-15.3984,300.583,34.5254
-2911.92,0.381086,0.140701,2,3,0,2913.68,25.8787,-15.6449,302.216,34.4602
-2912.04,0.998947,0.140701,4,15,0,2913.18,30.8418,-17.5456,300.824,34.2695
-2909.23,0.795739,0.140701,2,3,0,2913,28.5274,-17.2718,302.574,34.2781
-2909.7,0.998419,0.140701,4,23,0,2910.96,31.598,-30.4523,304.263,35.5127
-2911.49,0.997373,0.140701,4,15,0,2911.9,37.6594,-21.3708,310.611,36.367
-2912.1,0.903377,0.140701,4,15,0,2913.05,38.2969,-21.6429,310.919,36.6716
-2910.47,0.817318,0.140701,4,15,0,2913.51,32.125,-28.6207,305.625,36.4631
-2907.93,0.99804,0.140701,5,31,0,2911.27,24.2416,-19.3264,297.498,35.659
-2908.93,0.967839,0.140701,4,15,0,2909.18,23.5906,-18.678,295.868,36.3711
-2909.67,0.887371,0.140701,2,3,0,2909.97,24.3899,-18.8147,295.491,36.3498
-2908.25,0.955943,0.140701,3,15,0,2910.64,24.1258,-17.3489,298.05,35.7599
-2907.98,0.999854,0.140701,5,47,0,2908.42,23.0017,-16.6807,295.8,35.7358
-2907.66,0.995397,0.140701,4,23,0,2908.5,25.5993,-20.1914,298.356,35.0402
-2908.09,0.925597,0.140701,4,31,0,2910.35,19.7107,-17.5614,292.865,35.3312
-2908.42,0.995506,0.140701,4,31,0,2910.12,23.6155,-23.3549,296.859,34.2189
-2908.19,0.936902,0.140701,3,11,0,2909.73,23.4131,-19.0474,297.802,34.9009
-2912.06,0.94563,0.140701,4,15,0,2912.59,25.3503,-33.9454,300.252,34.8501
-2912.03,0.914376,0.140701,2,7,0,2914.07,24.6373,-34.648,299.067,34.7497
-2912.22,0.999473,0.140701,4,15,0,2912.54,26.7667,-35.2409,298.012,34.983
-2911.01,0.992609,0.140701,4,31,0,2914.11,32.8345,-28.7521,307.686,36.1172
-2910.61,1,0.140701,2,3,0,2910.99,34.5288,-29.1028,306.3,36.1302
-2911.23,0.813867,0.140701,5,31,0,2914.36,38.9649,-30.8735,311.664,34.4715
-2911.99,0.976376,0.140701,5,31,0,2913.6,32.8605,-30.2365,306.734,33.2574
-2913.91,0.995379,0.140701,4,15,0,2914.11,34.5207,-33.9495,308.451,32.9834
-2910.38,1,0.140701,5,31,0,2915.05,17.482,-11.9517,290.168,36.6789
-2910.11,0.995268,0.140701,3,7,0,2910.54,17.2202,-12.3551,289.717,36.5009
-2909.56,0.997494,0.140701,4,31,0,2911.95,21.6916,-20.2391,294.256,36.5316
-2909.17,0.98198,0.140701,5,31,0,2910.75,18.1741,-10.705,291.944,34.2355
-2910.88,0.849495,0.140701,5,31,0,2912.5,18.351,-18.2598,293.156,36.4798
-2909.16,0.970937,0.140701,4,15,0,2911.86,19.0934,-20.1435,291.838,35.859
-2909.86,0.976161,0.140701,4,31,0,2912.08,14.6396,-9.6419,287.11,34.2602
-2911.34,0.998835,0.140701,4,15,0,2912.05,11.3802,-10.4274,284.381,34.926
-2908.15,0.999373,0.140701,5,31,0,2912.15,22.9378,-18.0177,296.083,34.0062
-2909.77,0.963871,0.140701,4,31,0,2911.51,30.2572,-15.3836,302.462,34.9384
-2909.04,0.99895,0.140701,4,31,0,2912.46,19.4001,-21.6728,291.357,34.8989
-2908.12,0.997372,0.140701,3,15,0,2911.18,19.5256,-14.43,293.158,34.5374
-2908.28,0.933453,0.140701,2,7,0,2909.51,20.6767,-13.3789,293.957,34.2835
-2908.62,0.993792,0.140701,4,31,0,2909.82,26.1462,-25.4273,298.733,34.2769
-2907.79,0.99738,0.140701,5,31,0,2908.94,23.9297,-16.2089,297.12,34.6268
-2909.54,0.805863,0.140701,2,7,0,2911.5,23.7187,-15.2206,298.978,34.6366
-2908.81,0.983788,0.140701,4,27,0,2910.83,23.9348,-14.7383,295.209,34.685
-2908.21,0.974459,0.140701,3,7,0,2909.52,25.0332,-14.7755,297.351,35.0165
-2909.38,0.998765,0.140701,4,31,0,2909.76,20.3079,-20.7963,293.266,36.2086
-2909.04,0.989205,0.140701,3,7,0,2909.83,19.8529,-19.5407,292.014,35.8947
-2908.46,0.998305,0.140701,3,7,0,2909.34,19.2063,-17.3079,291.774,35.6153
-2908.83,0.889485,0.140701,4,15,0,2910.64,21.19,-21,294.402,35.9483
-2909.55,0.947454,0.140701,5,31,0,2911.14,30.6796,-17.4427,304.307,35.9854
-2908.67,0.941914,0.140701,4,15,0,2911.15,26.2844,-19.5267,299.952,36.1735
-2908.24,0.998601,0.140701,4,15,0,2909.44,25.6326,-18.7987,299.252,35.8621
-2908.85,0.876173,0.140701,2,3,0,2909.31,24.813,-19.2924,299.475,35.7933
-2910.91,0.826975,0.140701,4,27,0,2913.93,17.4587,-17.7897,293.261,35.0184
-2910.64,1,0.140701,3,11,0,2912.84,17.3105,-18.8129,288.418,35.8819
-2908.86,0.991939,0.140701,5,55,0,2911.25,24.6618,-17.1247,299.534,35.4274
-2909.48,0.985432,0.140701,5,31,0,2910.49,25.1589,-25.0995,299.353,33.8619
-2910.97,0.624011,0.140701,5,31,0,2915.72,30.9249,-21.0158,302.186,36.9045
-2909.7,0.98832,0.140701,4,19,0,2912.53,22.9588,-18.6088,294.806,33.3455
-2911.59,0.995456,0.140701,5,31,0,2912.55,33.4316,-24.8638,307.819,36.9901
-2915.9,0.970697,0.140701,4,15,0,2916.57,31.4913,-24.3684,302.926,38.6416
-2911.8,0.963928,0.140701,5,31,0,2921.17,18.0506,-16.373,292.528,37.1069
-2910.47,0.998442,0.140701,4,15,0,2912.4,20.9437,-13.2229,292.076,36.6034
-2910.06,0.999961,0.140701,4,15,0,2910.95,20.8417,-17.0741,292.2,36.5443
-2908.87,0.998193,0.140701,4,31,0,2910.92,22.9681,-11.6728,295.735,35.3782
-2908.68,0.984933,0.140701,3,15,0,2911.19,22.8891,-23.9203,295.684,35.5922
-2908.93,0.885621,0.140701,4,23,0,2910.29,20.6413,-20.8383,295.232,35.06
-2908.56,1,0.140701,2,3,0,2909,20.8836,-20.7558,295.117,35.0045
-2909.22,0.98701,0.140701,4,15,0,2912.46,30.5711,-20.9926,303.873,33.9791
-2908.14,0.873759,0.140701,4,15,0,2910.33,26.9859,-23.3942,300.27,35.4388
-2908.54,0.999549,0.140701,4,15,0,2908.68,26.7027,-25.8526,299.388,35.3985
-2908.84,0.974938,0.140701,5,31,0,2909.46,30.1199,-19.3865,303.736,35.8028
-2908.12,0.980633,0.140701,5,31,0,2909.87,26.0131,-23.4245,299.598,34.679
-2908.16,0.999363,0.140701,5,31,0,2908.53,28.2845,-19.9749,302.011,35.2591
-2908.55,0.889864,0.140701,4,23,0,2911.18,22.0988,-15.0721,295.34,33.8594
-2907.99,0.976342,0.140701,4,31,0,2911.2,24.8313,-15.7544,297.151,35.2542
-2907.8,0.882171,0.140701,3,15,0,2909.52,22.8796,-16.1568,295.771,35.4791
-2907.78,0.948071,0.140701,4,23,0,2908.67,25.8526,-17.4433,298.478,35.0153
-2908.52,0.997709,0.140701,5,39,0,2908.84,19.6602,-21.1849,292.504,34.918
-2910.24,0.973851,0.140701,3,15,0,2911.32,17.6043,-24.6223,290.827,34.9561
-2911.25,0.969739,0.140701,4,31,0,2913.09,21.0386,-30.1717,294.799,35.5922
-2911.87,0.966327,0.140701,4,15,0,2913.51,17.6708,-26.339,291.96,35.8362
-2908.51,0.99924,0.140701,4,15,0,2912.7,22.1027,-23.1504,294.77,34.3639
-2908.72,0.969554,0.140701,5,31,0,2910.84,17.5672,-17.0118,290.125,35.3257
-2908.89,0.999002,0.140701,3,7,0,2908.94,17.1843,-17.0119,289.727,35.3645
-2909.5,0.993813,0.140701,4,15,0,2909.63,16.6266,-18.414,289.251,35.541
-2910.25,0.986109,0.140701,3,15,0,2911.85,17.4982,-10.0436,291.29,36.3202
-2911.07,0.958935,0.140701,3,7,0,2911.83,19.0432,-8.88039,291.187,36.5484
-2912,0.954941,0.140701,2,3,0,2912.25,19.2307,-8.34496,290.653,36.6292
-2909.81,0.976485,0.140701,3,11,0,2913.61,18.0921,-19.2052,292.18,35.9993
-2913.08,0.97568,0.140701,5,31,0,2915.89,37.0039,-19.4636,308.541,37.0213
-2909.91,1,0.140701,4,15,0,2913.56,31.8821,-19.2172,305.055,36.4316
-2911.37,0.918035,0.140701,4,31,0,2913.3,20.353,-28.7605,293.183,33.6178
-2910.02,0.984669,0.140701,4,15,0,2911.9,29.3928,-14.1151,302.857,35.2267
-2908.63,0.985044,0.140701,3,15,0,2912.03,27.5052,-27.0078,300.609,35.1427
-2910.04,0.966586,0.140701,4,15,0,2910.48,35.5057,-25.8764,307.515,35.8863
-2908.76,0.992356,0.140701,4,15,0,2911.42,31.6163,-25.9418,304.105,34.8442
-2908.18,0.896081,0.140701,5,31,0,2910.01,18.0923,-14.4147,290.902,34.8258
-2909.59,0.920819,0.140701,3,11,0,2911.12,18.349,-21.8834,292.601,34.5618
-2910.48,0.87434,0.140701,2,3,0,2911.51,17.632,-20.7864,292.768,34.5909
-2909.09,1,0.140701,3,7,0,2910.64,18.0113,-19.2697,289.92,34.5989
-2908.38,0.978267,0.140701,4,15,0,2909.71,19.3426,-12.1241,291.61,34.9812
-2908.11,0.988458,0.140701,4,31,0,2909.35,23.4926,-20.1661,295.393,35.3166
-2907.99,0.993164,0.140701,2,3,0,2908.28,22.5875,-20.1257,296.09,35.4149
-2909.06,0.743513,0.140701,3,15,0,2913.8,26.2378,-19.8289,301.311,34.8313
-2908.26,1,0.140701,2,3,0,2908.99,26.8442,-19.6338,301.075,34.87
-2909.9,0.897057,0.140701,5,31,0,2910.61,23.3238,-24.0102,298.198,33.982
-2911.67,0.966358,0.140701,4,15,0,2912.68,31.5222,-19.8502,307.429,34.7022
-2909.62,0.99981,0.140701,5,31,0,2912.87,19.1428,-9.01934,292.073,34.5508
-2910.01,0.970568,0.140701,4,31,0,2913.15,31.4985,-31.2957,304.601,35.6685
-2909.05,0.992721,0.140701,5,31,0,2911.21,31.0438,-19.169,303.864,34.4106
-2909.89,0.970966,0.140701,4,15,0,2910.94,24.2759,-29.8488,297.561,35.3157
-2910.12,0.996072,0.140701,4,31,0,2915.65,27.4085,-24.6348,299.71,36.7377
-2909.6,0.956069,0.140701,5,31,0,2911.47,20.7037,-12.2606,292.577,33.7365
-2910.2,0.958791,0.140701,4,31,0,2911.25,16.4642,-19.3145,290.71,35.6275
-2908.49,0.993861,0.140701,4,31,0,2910.76,19.6327,-17.5102,293.907,34.5628
-2910.04,0.875843,0.140701,3,7,0,2911.6,22.1628,-14.096,297.55,34.2798
-2910.79,0.987191,0.140701,3,7,0,2912.58,23.0111,-13.0074,297.898,33.6601
-2909.55,0.971022,0.140701,4,23,0,2912.27,26.8,-22.5814,297.37,35.245
-2910.64,0.978154,0.140701,4,31,0,2912.69,37.1377,-29.9366,310.39,35.8435
-2913.19,0.466638,0.140701,5,31,0,2916.16,26.9468,-24.3879,303.376,36.7374
-2910.41,1,0.140701,2,3,0,2912.76,29.1688,-24.7412,301.131,36.8073
-2909.4,0.949667,0.140701,4,31,0,2915.32,30.1879,-27.9794,302.089,34.4097
-2908.59,0.997079,0.140701,4,31,0,2912.13,24.7815,-14.5475,296.597,34.6285
-2909.98,0.995262,0.140701,4,31,0,2911.94,14.172,-14.1243,287.953,34.3356
-2908.92,0.929506,0.140701,5,47,0,2912.61,23.4964,-19.9879,296.706,36.3655
-2908.75,0.988913,0.140701,4,31,0,2910.25,28.0421,-25.3715,300.748,35.8192
-2909.41,0.998217,0.140701,4,15,0,2910,32.4239,-18.5635,305.388,35.5702
-2908.52,0.995752,0.140701,4,15,0,2910.46,27.3796,-19.6817,300.522,36.1036
