# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = model_e4a7eeb0354675692635eec86e4e72e0_model
# start_datetime = 2025-04-13 09:09:09 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/sg/z3fcysgj5h56dkrzxcppmh3m0000gn/T/RtmptLvmXS/standata-7ac7619c78eb.json
# init = 2 (Default)
# random
#   seed = 1449682021
# output
#   file = /Users/lukaseamus/Desktop/Projects/Corallines/coralline-carbon/Stan/model_e4a7eeb0354675692635eec86e4e72e0-202504131709-1-22e7db.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /Users/lukaseamus/Desktop/Projects/Corallines/coralline-carbon/Stan/model_e4a7eeb0354675692635eec86e4e72e0-profile-202504131709-1-101f6a.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=model_e4a7eeb0354675692635eec86e4e72e0_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,O2_max,beta,O2_0,sigma
# Adaptation terminated
# Step size = 0.273886
# Diagonal elements of inverse mass matrix:
# 0.0134437, 0.000416902, 3.55516e-05, 0.000767287
-2124.72,0.9695,0.273886,3,15,0,2125.26,1425.78,3.50569,203.921,12.983
-2128.69,0.921347,0.273886,3,7,0,2130.05,1942.77,3.48582,203.334,13.9631
-2124.5,0.990735,0.273886,4,15,0,2129.56,1461.58,3.48906,204.942,13.1141
-2124.92,0.716115,0.273886,4,15,0,2128.44,1664.96,3.48374,204.887,13.5807
-2123.8,0.998668,0.273886,4,15,0,2126.02,1697,3.4886,204.134,12.5151
-2124.26,0.966021,0.273886,4,15,0,2125.6,1703.02,3.45473,206.262,13.3266
-2124.48,0.988705,0.273886,4,15,0,2126.92,1683.29,3.48065,204.494,13.6288
-2124.99,0.927432,0.273886,2,3,0,2125.12,1663.51,3.47786,204.311,13.6777
-2123.98,0.927658,0.273886,4,15,0,2126.17,1623.55,3.49111,203.973,12.4889
-2123.98,0.969912,0.273886,4,15,0,2126.51,1623.54,3.46338,205.946,12.7171
-2122.96,0.905582,0.273886,2,7,0,2125.92,1752.45,3.46674,204.701,12.7608
-2124.29,0.823671,0.273886,2,7,0,2124.68,1858.47,3.47712,205.099,12.8796
-2123.11,0.997863,0.273886,4,15,0,2124.87,1628.81,3.49265,203.872,12.8303
-2123.53,0.966122,0.273886,3,15,0,2124.5,1656.49,3.47695,204.47,13.3773
-2123.49,0.986808,0.273886,3,7,0,2123.81,1684.22,3.481,204.537,13.4075
-2123.47,0.982025,0.273886,4,15,0,2124.74,1713.64,3.4837,203.9,12.5762
-2123.23,0.862692,0.273886,3,7,0,2124.46,1623.27,3.47344,204.662,12.8348
-2123.72,0.970214,0.273886,3,11,0,2124.41,1621.17,3.49054,204.648,12.9373
-2128.37,0.745719,0.273886,2,7,0,2132.49,1813.37,3.48451,202.38,12.9385
-2123.08,1,0.273886,3,15,0,2127.78,1623.06,3.48356,204.791,12.8207
-2126.91,0.860289,0.273886,3,7,0,2127.67,1486.1,3.48318,204.622,12.2619
-2124.77,1,0.273886,3,7,0,2127.75,1738.66,3.49468,202.765,12.9266
-2124.03,0.997464,0.273886,4,15,0,2125.64,1491.02,3.48994,204.801,13.0758
-2124.32,0.829254,0.273886,2,7,0,2126.95,1586.79,3.50079,202.998,12.822
-2124.15,0.979559,0.273886,4,15,0,2126.61,1893.28,3.45399,206.068,13.349
-2124.55,0.896479,0.273886,2,3,0,2125.59,1879.12,3.45077,205.535,13.4919
-2127.96,0.462154,0.273886,2,3,0,2128.84,1855.14,3.44504,204.878,13.4348
-2125.61,1,0.273886,2,7,0,2129.03,1868.93,3.46672,206.054,13.085
-2122.81,1,0.273886,2,3,0,2125.54,1875.02,3.46076,205.436,13.0566
-2125.36,0.970005,0.273886,3,7,0,2125.64,2047.4,3.46596,204.778,12.2778
-2125.73,0.932882,0.273886,3,15,0,2126.42,2005.44,3.47143,204.819,12.2884
-2124.48,0.95937,0.273886,3,15,0,2127.55,1750.18,3.47946,204.839,13.5296
-2123.64,0.892321,0.273886,3,15,0,2126.16,1662.15,3.49845,203.57,12.8232
-2123.42,0.691817,0.273886,4,15,0,2128.75,1796.51,3.46197,204.705,12.7619
-2123.27,0.993419,0.273886,3,15,0,2123.75,1742.93,3.47647,205.08,12.713
-2123.75,0.996155,0.273886,4,15,0,2124.3,1981.59,3.47568,204.4,12.8797
-2125.08,0.867672,0.273886,3,15,0,2126.04,2020.18,3.44872,204.82,12.7985
-2125.01,0.785055,0.273886,3,15,0,2128.69,1496.03,3.47369,205.521,12.7008
-2123.53,0.958883,0.273886,4,15,0,2128.2,2053.98,3.45616,204.931,12.9048
-2126.78,0.931197,0.273886,3,15,0,2128.85,2385.51,3.45485,204.529,13.1132
-2123.99,0.978469,0.273886,4,15,0,2127.5,2090.76,3.46738,204.48,12.9439
-2124.66,0.959502,0.273886,4,15,0,2126.9,2079.21,3.47618,204.15,12.817
-2124.38,0.903754,0.273886,2,3,0,2125.16,2062.44,3.46884,203.956,12.8374
-2124.48,0.925185,0.273886,4,15,0,2125.6,1508.78,3.47767,204.679,13.0443
-2123.5,0.875111,0.273886,4,15,0,2125.66,1843.9,3.4855,203.639,13.0078
-2123.31,0.946025,0.273886,3,15,0,2124.3,1913.88,3.47701,204.015,12.9998
-2126.22,0.621657,0.273886,3,7,0,2127.01,1949.88,3.48879,204.278,12.9084
-2123.7,1,0.273886,2,3,0,2125.88,1883.23,3.46864,204.044,12.9131
-2125.72,0.986315,0.273886,3,15,0,2126.47,2206.07,3.46719,204.586,13.2411
-2123.57,1,0.273886,3,7,0,2126.26,1916.65,3.44597,205.716,13.0038
-2125.18,0.861861,0.273886,3,7,0,2125.55,1811.23,3.45547,206.667,12.7951
-2124.07,1,0.273886,4,15,0,2125.4,1706.37,3.4983,203.076,13.1298
-2122.89,0.891817,0.273886,2,7,0,2124.9,1667.28,3.48733,204.165,13.1081
-2123.15,0.963278,0.273886,3,15,0,2123.87,1931.02,3.46192,205.386,12.7152
-2125,0.791677,0.273886,4,15,0,2127.8,1553.61,3.49706,204.705,13.1715
-2128,0.216953,0.273886,2,3,0,2132.18,1476.61,3.48316,203.609,13.1375
-2123.96,0.882098,0.273886,2,3,0,2129.78,1546.63,3.49571,203.981,13.3567
-2122.97,0.998174,0.273886,4,15,0,2124.24,1840.48,3.46201,205.119,12.6091
-2122.9,0.991264,0.273886,4,15,0,2123.37,1891.06,3.45373,205.71,12.8251
-2125.49,0.945761,0.273886,3,15,0,2128.1,1622.91,3.47828,204.764,13.7839
-2128.68,0.874513,0.273886,3,7,0,2129.42,1643.29,3.47034,204.664,14.1423
-2125.51,0.923445,0.273886,3,7,0,2130.96,1585.87,3.49952,203.901,13.6597
-2124.76,0.722249,0.273886,4,15,0,2128.5,2015.28,3.46949,204.698,12.3918
-2124.37,0.968439,0.273886,4,15,0,2125.57,1715.68,3.44897,206.005,13.2428
-2123.88,0.826052,0.273886,2,3,0,2126.04,1720.51,3.45379,205.603,13.201
-2123.13,0.998332,0.273886,4,15,0,2124.17,1746.18,3.46409,204.773,12.9936
-2123.95,0.932682,0.273886,2,7,0,2124.93,1650.96,3.46632,206.007,13.124
-2123.24,0.990936,0.273886,3,15,0,2125.52,1577.71,3.48199,204.409,13.1108
-2123.71,0.929489,0.273886,3,11,0,2124.96,1554.85,3.50236,203.638,13.0415
-2123.23,0.93354,0.273886,2,7,0,2124.38,1620.85,3.49464,203.955,13.0561
-2124.14,0.863219,0.273886,3,7,0,2126.32,1504.03,3.48418,204.819,13.2868
-2124.21,0.664849,0.273886,2,3,0,2127.09,1526.1,3.47982,205.024,13.3497
-2123.61,0.97109,0.273886,4,15,0,2126.34,2090.99,3.45787,205.022,12.8966
-2122.92,0.710638,0.273886,4,15,0,2127.53,1823.05,3.47695,204.178,13.1082
-2124.01,0.946959,0.273886,3,15,0,2125.01,2091.71,3.45871,204.639,13.015
-2123.43,0.975457,0.273886,3,7,0,2125.18,2030.6,3.46029,205.141,13.0621
-2123.81,0.701963,0.273886,4,15,0,2127.05,1693.53,3.48271,204.572,13.4461
-2123.01,0.980635,0.273886,4,15,0,2124.31,1774.96,3.4621,204.943,12.7685
-2124.68,0.998013,0.273886,3,7,0,2125.81,1962.2,3.43698,206.767,12.6508
-2125.78,0.940721,0.273886,4,15,0,2127.44,1884.19,3.44632,206.033,12.2057
-2125.03,0.99288,0.273886,3,7,0,2126.59,1928.91,3.45268,205.804,12.257
-2125.79,0.716547,0.273886,4,15,0,2129.18,1585.23,3.50978,203.78,13.2264
-2122.92,0.802132,0.273886,4,15,0,2127.83,1776.35,3.46575,204.744,12.7354
-2123.24,0.978743,0.273886,3,7,0,2124.35,1861.92,3.45911,205.227,12.5499
-2123.18,0.903883,0.273886,3,15,0,2125.67,1646.01,3.46671,205.096,13.0334
-2123.31,0.999246,0.273886,3,15,0,2123.79,1646.95,3.47751,204.353,13.2465
-2122.86,0.998649,0.273886,3,15,0,2124.33,1939.04,3.46643,204.82,12.8893
-2122.54,0.850304,0.273886,4,15,0,2124.02,1693.82,3.47504,204.862,13.0122
-2123.29,0.904679,0.273886,3,15,0,2123.69,1877.43,3.46175,205.722,12.8962
-2123.13,0.996046,0.273886,2,7,0,2123.55,1884.61,3.45709,204.981,12.9616
-2123.77,0.973713,0.273886,2,7,0,2124.21,1908.12,3.45462,206.127,13.101
-2123.42,0.877213,0.273886,4,15,0,2126.31,1845.73,3.47615,203.816,12.9576
-2122.89,0.888724,0.273886,3,15,0,2124.4,1594.82,3.48525,204.392,12.9594
-2124.55,0.934082,0.273886,4,15,0,2125.25,2034.32,3.44375,205.646,13.2899
-2123.92,0.841497,0.273886,4,15,0,2126.2,1582.8,3.49025,204.202,12.5277
-2123.58,0.964682,0.273886,2,3,0,2124.07,1605.67,3.48652,204.105,12.5912
-2124.01,0.989796,0.273886,4,15,0,2124.82,1514.2,3.50385,203.795,12.8815
-2122.69,0.834274,0.273886,3,15,0,2125.36,1848.7,3.46577,204.681,12.887
-2125.04,0.966186,0.273886,4,15,0,2126.72,1622.32,3.51071,202.875,13.2607
-2126.7,0.967043,0.273886,4,15,0,2127.3,1405.73,3.52791,203.049,12.9201
-2125.85,0.765489,0.273886,2,7,0,2128.6,1468.1,3.5032,202.925,13.1184
-2123.92,0.755134,0.273886,2,7,0,2128.87,1546.85,3.49309,203.806,13.2979
-2125.85,0.988425,0.273886,3,7,0,2126.12,1515.1,3.49789,204.237,13.7064
-2125.19,0.905517,0.273886,4,15,0,2127.13,1486.96,3.48684,204.078,13.348
-2124.23,0.976843,0.273886,3,15,0,2126.3,1768.1,3.45811,204.791,12.791
-2125.91,0.879175,0.273886,2,3,0,2126.32,1869.8,3.48055,205.153,12.7399
-2123.4,1,0.273886,2,7,0,2126.24,1708.39,3.47141,204.282,12.9581
-2125.23,0.986015,0.273886,3,15,0,2126.43,1744.33,3.49818,203.726,13.4043
-2126.2,0.978422,0.273886,3,7,0,2127.07,1520.22,3.50477,204.342,13.481
-2126.56,0.918178,0.273886,4,15,0,2129.21,1743.19,3.48221,203.059,12.5231
-2125.04,0.990891,0.273886,4,15,0,2128.17,1601.89,3.49349,204.855,13.1539
-2123.96,0.925355,0.273886,4,15,0,2126.15,1934.42,3.45825,204.593,12.7076
-2123.86,0.998778,0.273886,4,15,0,2124.34,1760.05,3.46491,205.986,13.0099
-2125.6,0.981389,0.273886,3,11,0,2128.04,1626.97,3.47914,204.518,12.1931
-2123.07,0.999474,0.273886,3,15,0,2126.29,1634.77,3.48376,204.211,13.2126
-2123.12,0.989572,0.273886,4,15,0,2123.53,1891.46,3.45726,205.434,12.6065
-2122.8,0.933733,0.273886,3,15,0,2124.17,1720.05,3.47864,204.131,13.0193
-2124.12,0.762976,0.273886,3,11,0,2125.27,1775.01,3.45523,205.045,13.1373
-2122.64,0.982074,0.273886,2,7,0,2124.86,1851.69,3.46329,205.145,13.0634
-2123.61,0.959567,0.273886,4,15,0,2125.28,1938.67,3.46946,204.294,13.2262
-2124.28,0.969609,0.273886,3,15,0,2126.29,1958.79,3.47978,203.893,13.2421
-2123.9,0.993764,0.273886,3,15,0,2127.41,2026.76,3.44249,206.286,12.79
-2124.56,0.956509,0.273886,4,15,0,2125.86,1954.18,3.45587,205.53,13.519
-2126.06,0.965858,0.273886,3,7,0,2127.36,2018.13,3.4402,206.161,13.6275
-2124.05,0.878591,0.273886,3,7,0,2127.12,1997.53,3.44541,205.452,13.0639
-2123.24,0.974295,0.273886,4,15,0,2125.03,1965.07,3.46958,204.332,12.9527
-2128.42,0.925887,0.273886,3,7,0,2129.69,2567.15,3.44295,205.342,13.2149
-2125.35,0.99593,0.273886,4,15,0,2129.38,1644.74,3.5071,202.555,13.3272
-2125.72,0.944489,0.273886,3,7,0,2126.21,1683.46,3.51261,202.669,13.1931
-2126,0.984263,0.273886,4,15,0,2127.7,1911.23,3.44028,207.191,12.5755
-2126.81,0.83533,0.273886,3,7,0,2128.1,1822.16,3.4287,206.78,12.6603
-2124.23,0.997908,0.273886,4,15,0,2128.04,1756.87,3.4561,205.228,12.5408
-2125.09,0.675281,0.273886,2,3,0,2128.04,1769.2,3.46895,205.956,12.6423
-2123.96,0.994481,0.273886,4,15,0,2126.37,1701.43,3.48135,203.976,12.4666
-2124.79,0.922658,0.273886,4,15,0,2125.94,1967.34,3.45689,204.798,13.4671
-2123.99,0.999216,0.273886,4,15,0,2124.92,1708.59,3.46901,205.679,12.5683
-2124.27,0.962485,0.273886,3,11,0,2125.22,1716.53,3.4965,203.661,13.3173
-2124.61,0.997853,0.273886,3,7,0,2125.49,1527.71,3.49102,204.606,13.4818
-2123.69,0.997424,0.273886,4,15,0,2125.04,1826,3.47509,204.619,12.4485
-2123.93,0.971944,0.273886,4,15,0,2127.56,1963.2,3.47274,203.876,12.7387
-2123.82,0.984458,0.273886,3,15,0,2124.85,1522.9,3.48519,204.305,12.8713
-2126.2,0.721991,0.273886,4,15,0,2126.79,1600.71,3.49331,205.108,12.7953
-2127.33,1,0.273886,4,15,0,2130.2,2068.87,3.43938,205.1,13.3513
-2125.15,0.985903,0.273886,3,15,0,2127.51,2144.77,3.44785,205.252,13.3411
-2122.74,0.995585,0.273886,3,7,0,2125.32,1763.25,3.46484,204.954,12.7705
-2125.24,0.891842,0.273886,4,15,0,2126.21,1821.69,3.43502,206.592,12.7515
-2125.06,0.995718,0.273886,4,15,0,2126.17,1713.36,3.49531,202.714,13.1602
-2124.21,0.987124,0.273886,4,15,0,2125.63,1742.23,3.49791,203.645,12.8939
-2125.19,0.848113,0.273886,4,15,0,2128.33,2056.24,3.45693,206.051,13.0666
-2124.54,0.986613,0.273886,4,15,0,2126.03,1725.35,3.46133,204.849,12.5138
-2127.05,0.714243,0.273886,3,7,0,2128.53,1858.05,3.45775,204.141,12.5452
-2126.28,1,0.273886,2,3,0,2127.55,1815.33,3.47254,205.774,12.4966
-2124.62,1,0.273886,4,15,0,2127.5,1973.38,3.46424,204.746,13.5171
-2125.77,0.849935,0.273886,3,7,0,2126.28,1988.73,3.46804,205.203,13.5656
-2127.62,0.834896,0.273886,4,15,0,2132.25,2076.1,3.47338,205.053,12.3354
-2128.7,1,0.273886,3,7,0,2132.17,2528.1,3.46126,204.228,12.5946
-2126.12,0.96395,0.273886,3,7,0,2132.75,1972.7,3.43071,206.605,13.4367
-2124.73,1,0.273886,3,7,0,2126.69,1813.84,3.44783,206.764,13.2345
-2124.87,0.976762,0.273886,4,15,0,2127.55,1869.8,3.43528,207.045,12.8628
-2126.03,0.959427,0.273886,4,15,0,2126.53,1759.25,3.43338,207.377,12.9237
-2123.12,0.942002,0.273886,3,7,0,2127.34,1933.52,3.46293,205.116,12.6326
-2123.48,0.969067,0.273886,4,15,0,2123.85,2020.86,3.45499,205.241,12.6386
-2123.51,0.89979,0.273886,4,15,0,2124.8,1676.38,3.46467,205.398,13.3325
-2123.38,0.968873,0.273886,3,15,0,2124.91,1984.58,3.45138,205.784,12.6956
-2124.92,0.848477,0.273886,3,15,0,2127.09,1644.15,3.49912,203.841,12.4801
-2125.73,0.955415,0.273886,4,15,0,2126.65,1866.5,3.43666,206.899,13.4651
-2125.3,0.99543,0.273886,4,15,0,2126.9,1621.65,3.50455,202.943,12.4827
-2123.7,0.987827,0.273886,3,7,0,2126.66,1715.21,3.49032,203.43,13.219
-2124.78,0.752659,0.273886,2,3,0,2125.11,1769.59,3.49715,203.792,13.1604
-2123.62,1,0.273886,2,3,0,2124.84,1652.65,3.48415,203.69,13.0852
-2124.88,0.598429,0.273886,2,7,0,2130.26,1806.49,3.49052,204.373,12.9214
-2124.67,1,0.273886,3,9,0,2125.66,1638.02,3.4648,204.669,13.0554
-2124.72,1,0.273886,4,15,0,2125.51,1894.39,3.47264,205.362,13.1662
-2125.43,0.935283,0.273886,3,11,0,2127.71,1685.67,3.47377,203.746,12.7354
-2123.42,1,0.273886,2,7,0,2125.05,1744.73,3.48412,204.65,12.8464
-2122.82,0.945031,0.273886,2,7,0,2124.75,1665.33,3.483,204.114,12.835
-2122.75,0.99577,0.273886,3,15,0,2124.62,1772.38,3.46436,205.475,13.0665
-2124.29,0.942251,0.273886,4,15,0,2125.99,1470.73,3.50263,204.077,12.8992
-2123.44,0.783751,0.273886,3,7,0,2126.48,1583.27,3.49219,204.464,12.9825
-2125.43,0.746523,0.273886,2,7,0,2127.54,1540.66,3.5054,202.582,13.0129
-2124.03,0.998981,0.273886,4,15,0,2127.16,1828.69,3.44436,205.864,12.9087
-2123.43,1,0.273886,4,15,0,2124.2,1836.03,3.45611,206.084,12.7802
-2124.21,0.909068,0.273886,4,15,0,2125.5,1866.74,3.48532,204.341,12.9994
-2122.63,0.999461,0.273886,3,7,0,2124.04,1684.28,3.47577,204.621,13.082
-2123.11,0.9487,0.273886,2,3,0,2123.19,1683.62,3.4827,204.749,13.1295
-2122.72,0.98128,0.273886,4,15,0,2123.39,1777.94,3.47851,204.321,13.0917
-2122.84,0.988941,0.273886,4,15,0,2124.13,1761.34,3.46353,205.345,13.1813
-2124.83,0.86229,0.273886,4,15,0,2127.79,1678.21,3.47072,204.796,13.6622
-2124.96,0.997192,0.273886,3,15,0,2126.5,1670.36,3.45725,206.298,13.4674
-2122.77,0.994312,0.273886,3,15,0,2125.17,1849.48,3.4737,204.73,12.9516
-2123.61,0.930568,0.273886,3,7,0,2124.83,1754.6,3.47031,204.626,13.4241
-2123.13,0.970573,0.273886,3,7,0,2123.84,1750.58,3.46932,204.792,13.3133
-2123.3,0.92761,0.273886,3,15,0,2124.4,1591.34,3.4759,204.798,13.1718
-2124.51,0.848033,0.273886,4,15,0,2125.85,1485.37,3.49453,203.686,12.9715
-2126.86,0.981054,0.273886,3,7,0,2127.61,1857.58,3.49994,202.16,12.8079
-2126.32,0.989993,0.273886,4,15,0,2129.01,1776.57,3.51044,202.314,12.9421
-2123.6,0.964201,0.273886,3,7,0,2127.44,1653.71,3.48903,204.447,12.659
-2124.15,0.981177,0.273886,4,15,0,2126.18,1933.93,3.45897,205.035,12.375
-2125.24,0.915385,0.273886,4,15,0,2126.95,2066.91,3.44236,206.52,13.334
-2123.84,0.93984,0.273886,3,15,0,2127.28,1730.6,3.4785,205.113,13.2705
-2124.88,0.88768,0.273886,3,11,0,2125.74,1766.26,3.44974,205.285,13.1124
-2122.95,0.997059,0.273886,2,7,0,2125.24,1849.14,3.46884,205.115,13.1233
-2123.72,0.951914,0.273886,3,15,0,2124.58,1620.87,3.48244,203.936,13.2113
-2124.02,0.944317,0.273886,4,15,0,2124.54,1889.66,3.44766,205.474,12.6702
-2123.71,0.98822,0.273886,4,15,0,2125.79,1796.68,3.45705,204.973,13.1262
-2123.72,0.944898,0.273886,3,11,0,2124.94,1905.53,3.46749,204.266,12.5945
-2125.08,0.99692,0.273886,3,15,0,2125.63,1737.69,3.45532,205.561,13.611
-2124.34,0.986104,0.273886,3,7,0,2125.86,1946.71,3.46011,205.519,13.437
-2126.74,0.931623,0.273886,4,15,0,2129.54,1432.27,3.47473,205.753,12.6587
-2123.7,0.776729,0.273886,3,15,0,2130.08,1669.17,3.46241,205.234,12.6585
-2124.11,0.99011,0.273886,4,15,0,2124.92,2092.74,3.45764,205.219,13.2009
-2125.88,0.988735,0.273886,3,7,0,2127.09,1869.68,3.43017,207.189,13.272
-2123.93,0.969817,0.273886,4,15,0,2127.61,1878.27,3.47238,204.019,12.5483
-2124.62,0.830152,0.273886,2,3,0,2125.68,1836.75,3.48184,204.517,12.4398
-2123.59,0.733169,0.273886,3,15,0,2127.36,1705.83,3.4879,204.241,12.5883
-2124.92,0.806109,0.273886,4,15,0,2126.37,1708.54,3.47309,205.799,13.3011
-2124.26,0.992435,0.273886,2,7,0,2125.78,1698.15,3.46142,204.77,13.0692
-2125.86,0.9885,0.273886,3,15,0,2127.26,1845.78,3.49407,203.579,13.5153
-2122.93,0.999296,0.273886,3,15,0,2126.07,1796.56,3.4698,204.67,13.2371
-2122.78,0.999829,0.273886,3,15,0,2123.13,1812.35,3.46845,204.766,13.1789
-2123.88,0.987983,0.273886,3,7,0,2124.01,1715.88,3.47143,204.953,13.5177
-2123.29,0.9802,0.273886,4,15,0,2125.71,1727.84,3.46268,205.754,13.2139
-2125.89,0.875163,0.273886,3,7,0,2126.41,1565.27,3.46761,205.116,13.6264
-2128.86,0.670848,0.273886,3,7,0,2131.27,1668.2,3.47121,206.74,13.1831
-2128.21,1,0.273886,2,3,0,2130.38,1694.22,3.44172,205.531,13.2159
-2128.56,0.951289,0.273886,3,11,0,2130.14,1725.54,3.46327,203.738,12.8293
-2123.51,0.972888,0.273886,2,3,0,2127.95,1835.01,3.47377,205.173,12.8665
-2122.56,0.901633,0.273886,2,3,0,2124.29,1823.63,3.47127,204.855,12.8705
-2124.63,0.955672,0.273886,3,7,0,2125.39,1990.22,3.47885,203.957,13.2949
-2124.75,0.964589,0.273886,4,15,0,2126.8,1654.54,3.45246,206.062,12.631
-2122.86,0.983884,0.273886,3,15,0,2125.56,1648.19,3.47284,204.758,12.8885
-2123.99,0.940558,0.273886,4,15,0,2125.18,2149.94,3.45156,205.324,12.8366
-2124.33,0.986372,0.273886,3,7,0,2124.65,2179.74,3.45242,205.029,12.8415
-2125.83,0.72348,0.273886,4,15,0,2128.31,1524.42,3.48173,203.9,12.7486
-2123.09,0.944927,0.273886,2,3,0,2126.06,1666.85,3.48768,204.283,12.7251
-2123.09,0.640951,0.273886,2,3,0,2124.51,1666.85,3.48768,204.283,12.7251
-2127.9,0.722735,0.273886,3,15,0,2128.95,1655.5,3.48856,204.931,13.9197
-2127.95,0.997562,0.273886,3,7,0,2128.97,1510.38,3.47643,204.735,13.9388
-2127.25,0.806146,0.273886,3,15,0,2131.87,1782.45,3.47581,203.14,12.6062
-2124.06,0.975313,0.273886,3,15,0,2130.06,1963.25,3.45623,205.169,13.3989
-2124.28,0.944512,0.273886,4,15,0,2125.62,1769.07,3.45523,206.079,13.4437
-2124.64,0.876152,0.273886,3,15,0,2126.78,2036.29,3.45955,204.242,12.939
-2126.33,0.996797,0.273886,4,15,0,2127.94,1940.27,3.4351,207.536,12.8232
-2126.29,0.977201,0.273886,3,7,0,2126.86,1953.07,3.42526,206.766,12.7958
-2124.88,1,0.273886,4,15,0,2128.74,1929.99,3.4616,205.59,13.5211
-2125.69,0.989092,0.273886,3,15,0,2127.11,1728.27,3.45918,205.189,13.7214
-2124.77,0.938219,0.273886,2,3,0,2126.13,1732.05,3.46573,205.486,13.6454
-2124.59,0.993619,0.273886,2,3,0,2124.97,1730.91,3.46699,205.293,13.6372
-2123.9,0.972349,0.273886,3,7,0,2125.02,1661.79,3.4711,205.11,13.4874
-2124.25,0.871814,0.273886,4,15,0,2125.73,1565.89,3.47549,204.643,13.3301
-2123.14,0.992406,0.273886,2,7,0,2125.79,1722.57,3.48647,204.383,13.0424
