# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = model_e4a7eeb0354675692635eec86e4e72e0_model
# start_datetime = 2025-04-13 09:09:00 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/sg/z3fcysgj5h56dkrzxcppmh3m0000gn/T/RtmptLvmXS/standata-7ac7cddc064.json
# init = 2 (Default)
# random
#   seed = 1753674742
# output
#   file = /Users/lukaseamus/Desktop/Projects/Corallines/coralline-carbon/Stan/model_e4a7eeb0354675692635eec86e4e72e0-202504131709-1-4fb79f.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /Users/lukaseamus/Desktop/Projects/Corallines/coralline-carbon/Stan/model_e4a7eeb0354675692635eec86e4e72e0-profile-202504131709-1-5eadb9.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=model_e4a7eeb0354675692635eec86e4e72e0_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,O2_max,beta,O2_0,sigma
# Adaptation terminated
# Step size = 0.246245
# Diagonal elements of inverse mass matrix:
# 0.0546513, 29.968, 0.000471306, 0.000568625
-3598.74,0.809738,0.246245,4,15,0,3603.79,31.5389,-18.0606,400.523,80.5542
-3598.91,0.849913,0.246245,3,7,0,3600.43,36.3518,-18.0372,399.624,80.159
-3599.84,0.785829,0.246245,2,7,0,3602.46,32.6161,-16.8418,405.487,82.1074
-3603.91,0.922826,0.246245,4,15,0,3605.7,63.5921,-26.3582,421.43,83.3526
-3600.55,0.98557,0.246245,4,15,0,3604.2,40.2225,-21.0899,398.793,82.8181
-3597.47,1,0.246245,2,3,0,3600.45,36.4961,-19.1008,404.357,83.0705
-3599.03,0.777278,0.246245,3,11,0,3601.26,34.8817,-15.0115,406.145,81.9005
-3599.68,0.991606,0.246245,4,15,0,3600.43,36.8637,-21.4463,407.979,80.32
-3597.9,0.962571,0.246245,4,15,0,3600.54,42.9099,-21.7286,411.652,84.0043
-3598.69,0.99187,0.246245,3,7,0,3599.14,48.3095,-17.5734,413.197,83.0099
-3599.05,0.890534,0.246245,4,15,0,3600.81,40.1507,-26.8171,406.804,80.5841
-3600.39,0.985968,0.246245,4,15,0,3604.35,23.9401,-7.53489,391.253,84.4254
-3599.62,0.996564,0.246245,4,15,0,3601.97,25.3631,-9.37328,393.338,84.6195
-3598.89,0.948026,0.246245,4,15,0,3602.26,31.8411,-18.6274,401.292,85.339
-3598.11,0.915015,0.246245,4,15,0,3600.49,32.0319,-19.9719,397.29,84.0382
-3600.15,0.856071,0.246245,4,15,0,3601.13,38.7173,-14.6888,399.622,80.7608
-3599.48,0.999637,0.246245,4,15,0,3601.31,32.1938,-21.2607,403.646,81.9763
-3600.68,0.964697,0.246245,4,15,0,3602.83,35.2887,-15.7596,402.073,78.172
-3599.81,0.559044,0.246245,4,15,0,3605.79,26.099,-16.8731,393.08,85.8784
-3599.41,0.951269,0.246245,2,7,0,3605.52,27.4333,-21.6855,395.678,83.1023
-3598.17,0.993452,0.246245,4,15,0,3601.33,37.8466,-22.9727,405.747,81.3048
-3598.13,0.946569,0.246245,3,7,0,3598.91,38.9459,-24.0588,403.936,81.6774
-3598.68,0.983546,0.246245,4,31,0,3599.46,30.8117,-10.5061,396.038,82.9389
-3599.27,0.995877,0.246245,4,15,0,3599.98,53.0969,-30.5285,418.666,83.3916
-3600.01,0.685223,0.246245,4,15,0,3601.54,53.9021,-23.6508,414.957,84.2071
-3598.78,1,0.246245,4,15,0,3603.37,27.5257,-17.9918,391.532,82.7765
-3598.5,0.966024,0.246245,5,31,0,3602.48,46.2001,-24.0804,415.94,83.8468
-3598.33,0.948614,0.246245,4,15,0,3599.22,41.5766,-18.9617,411.901,83.8065
-3600.38,0.829694,0.246245,4,15,0,3602.46,41.2717,-28.7092,412.377,81.1269
-3600.24,0.931188,0.246245,3,15,0,3602.98,45.1659,-16.5272,417.253,84.4468
-3599.27,0.960024,0.246245,4,15,0,3601.41,43.7667,-29.6095,408.524,81.5448
