# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = model_e4a7eeb0354675692635eec86e4e72e0_model
# start_datetime = 2025-04-13 09:09:06 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/sg/z3fcysgj5h56dkrzxcppmh3m0000gn/T/RtmptLvmXS/standata-7ac71c4eaf5a.json
# init = 2 (Default)
# random
#   seed = 682989407
# output
#   file = /Users/lukaseamus/Desktop/Projects/Corallines/coralline-carbon/Stan/model_e4a7eeb0354675692635eec86e4e72e0-202504131709-1-55aa56.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /Users/lukaseamus/Desktop/Projects/Corallines/coralline-carbon/Stan/model_e4a7eeb0354675692635eec86e4e72e0-profile-202504131709-1-270981.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=model_e4a7eeb0354675692635eec86e4e72e0_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,O2_max,beta,O2_0,sigma
# Adaptation terminated
# Step size = 0.166
# Diagonal elements of inverse mass matrix:
# 0.0666168, 33.1367, 0.000580801, 0.000573692
-3322.33,0.77163,0.166,2,3,0,3322.59,36.1437,-13.7148,352.151,59.8105
-3323.79,0.966031,0.166,4,15,0,3327.42,36.9057,-11.9945,358.16,58.2449
-3325.51,0.989369,0.166,4,15,0,3327.3,30.6947,-33.5055,350.548,56.1149
-3324.69,0.999191,0.166,3,7,0,3325.62,32.6883,-32.9153,351.219,56.3486
-3322.04,1,0.166,4,15,0,3325.73,41.1038,-19.7025,361.681,57.1942
-3321.59,0.858042,0.166,4,15,0,3323.21,42.6068,-19.8853,361.125,57.8356
-3320.1,0.999977,0.166,4,31,0,3322.49,29.588,-18.7274,347.532,58.4684
-3321.05,0.995248,0.166,4,31,0,3321.83,42.5838,-21.7818,363.914,59.6689
-3320.46,0.986562,0.166,3,11,0,3325.56,39.1495,-25.6164,357.46,59.383
-3320.34,0.999898,0.166,5,31,0,3321.27,30.0046,-13.305,348.796,59.1126
-3320.27,0.853929,0.166,4,23,0,3323.66,40.3127,-24.1379,359.499,59.2815
-3322.29,0.860014,0.166,4,15,0,3323.08,44.1698,-24.2236,361.142,61.6389
-3320.48,0.99344,0.166,4,23,0,3323.44,30.6645,-21.0697,348.009,59.8745
-3320.7,0.829674,0.166,1,3,0,3322.18,28.5832,-21.4659,349.821,59.8817
-3322.08,0.952494,0.166,4,15,0,3322.8,24.6379,-10.6725,347.122,60.1107
-3320.66,0.994418,0.166,4,23,0,3325.9,31.6654,-15.9822,351.335,57.4397
-3321.05,0.860613,0.166,4,15,0,3323.53,29.3318,-23.6689,350.784,59.7504
-3320.36,0.989072,0.166,4,19,0,3321.87,31.3565,-23.5104,351.154,59.8183
-3321.09,0.973056,0.166,4,23,0,3324.56,41.5005,-29.0127,360.589,58.8264
-3323.43,0.513802,0.166,2,3,0,3324.08,39.1529,-28.7648,363.366,58.7107
-3320.61,1,0.166,4,27,0,3323.68,38.0063,-21.7468,357.302,57.662
-3321.68,0.570213,0.166,5,31,0,3326.53,42.2668,-20.3868,358.44,60.1361
-3321.45,1,0.166,4,15,0,3321.9,41.1854,-24.2401,357.232,59.6634
-3319.97,1,0.166,5,31,0,3321.67,36.0551,-20.2626,355.154,60.1397
-3319.95,0.984553,0.166,3,15,0,3320.43,35.4202,-20.188,355.667,59.9345
-3320.72,0.985393,0.166,5,31,0,3322.63,26.6491,-15.9846,346.991,57.455
-3320.77,0.956443,0.166,5,31,0,3321.69,27.7933,-16.1938,346.072,61.0184
-3320.54,0.991387,0.166,3,15,0,3324.64,29.0465,-22.712,348.618,59.8741
-3320.12,0.998963,0.166,3,15,0,3321.6,35.1359,-20.7331,353.777,60.4173
-3322.23,0.882373,0.166,4,15,0,3322.69,27.617,-15.2626,349.895,61.8194
-3323.52,0.938009,0.166,2,3,0,3323.67,27.256,-15.0651,351.13,61.9436
-3321.27,0.980756,0.166,4,31,0,3324.81,26.3617,-14.455,346.815,61.3696
-3321.91,0.980074,0.166,4,31,0,3324.4,27.6507,-19.5933,345.293,56.6351
-3322.22,0.934537,0.166,5,31,0,3324,44.1545,-20.6579,364.735,61.6698
-3322.18,0.982413,0.166,4,15,0,3323.58,34.9755,-27.683,355.267,61.5296
-3320.92,0.987255,0.166,4,15,0,3324.12,36.6379,-17.2479,358.052,60.5208
-3322.13,0.954291,0.166,4,15,0,3323.12,25.9111,-24.7746,347.285,58.1332
-3322.02,0.992586,0.166,3,15,0,3323.87,29.3429,-27.6919,346.925,58.9604
-3322.65,0.982486,0.166,3,7,0,3322.82,26.331,-27.7604,347.298,58.8532
-3322.08,0.9634,0.166,4,31,0,3325.78,21.1144,-8.56742,340.432,58.3637
-3320.68,0.977974,0.166,4,15,0,3322.99,23.0232,-12.5637,342.225,59.3387
-3320,0.992442,0.166,4,15,0,3321.05,28.0057,-15.2993,348.191,58.7416
-3321.54,0.912098,0.166,5,31,0,3323.57,37.5056,-21.4189,354.14,57.4311
-3321.36,0.829695,0.166,3,7,0,3323.23,34.3723,-22.822,356.84,57.8313
-3320.94,0.999401,0.166,4,31,0,3322.44,30.2957,-22.8195,347.138,58.9279
-3320.71,0.973768,0.166,3,13,0,3322.37,33.6458,-22.8022,355.723,59.6337
-3321.71,0.906993,0.166,4,23,0,3323.96,23.7455,-15.1804,340.208,57.9292
-3320.3,0.959085,0.166,3,15,0,3323.67,27.4151,-17.6858,348.657,58.744
-3320.46,0.973509,0.166,4,31,0,3322.73,32.2162,-16.7393,348.969,59.3935
-3321.14,0.995141,0.166,3,11,0,3321.9,26.9876,-18.807,348.821,60.5388
-3320.62,1,0.166,2,3,0,3321.17,27.619,-19.0725,348.026,60.5709
-3321.12,0.869984,0.166,3,15,0,3325.04,35.1488,-23.7439,352.488,57.5565
-3323.05,0.911692,0.166,4,31,0,3324.95,53.5938,-28.1227,371.935,60.5497
-3322.16,1,0.166,3,7,0,3322.98,50.2975,-27.2849,369.566,60.3833
-3320.49,0.86669,0.166,4,15,0,3323.14,33.4317,-22.7356,354.973,58.5889
-3320.54,0.999725,0.166,5,31,0,3320.86,37.3841,-21.967,359.177,59.1687
-3320.35,0.99954,0.166,3,15,0,3321.49,36.6809,-22.944,358.031,59.2403
-3319.88,0.996963,0.166,3,11,0,3321.25,34.9631,-22.4552,354.08,59.2177
-3323.6,0.949154,0.166,4,15,0,3325.96,44.2756,-33.2631,363.116,56.9061
-3322.02,0.92497,0.166,5,31,0,3324.91,19.1608,-15.6845,339.101,59.1321
-3320.32,0.987327,0.166,4,23,0,3323.27,35.3532,-19.9203,352.47,58.831
-3322.13,0.869612,0.166,3,11,0,3323.03,32.125,-21.0399,356.02,58.2314
-3322.28,0.969956,0.166,4,15,0,3324.9,50.2943,-25.6346,368.146,59.047
-3321.17,0.996857,0.166,4,15,0,3324.06,40.6945,-26.2783,362.289,58.5775
-3319.97,0.974555,0.166,5,31,0,3321.61,35.3999,-21.2011,355.727,58.6342
-3320.54,0.995971,0.166,4,15,0,3321.44,33.1158,-21.022,352.416,57.3821
-3321.7,0.88546,0.166,5,31,0,3323.01,23.383,-10.5802,340.443,59.9666
-3320.73,0.981781,0.166,3,7,0,3323.89,23.2307,-12.2933,341.87,59.188
-3321.44,0.990004,0.166,4,15,0,3321.79,20.0171,-13.2157,339.074,59.1619
-3322.69,0.989679,0.166,5,31,0,3327.05,51.3435,-31.0921,370.988,58.7192
-3322.6,0.634904,0.166,2,7,0,3324.51,50.1331,-30.6907,368.078,58.6226
-3321.61,0.975313,0.166,4,15,0,3323.33,47.2565,-27.0966,367.69,58.9557
-3321.96,0.997509,0.166,5,31,0,3323.21,40.4695,-31.742,360.258,58.1931
-3322.43,0.942396,0.166,4,15,0,3323.98,37.2284,-26.9549,355.152,56.6122
-3321.97,0.767211,0.166,5,31,0,3326.62,30.4889,-13.9346,348.378,62.0455
-3320.35,0.943923,0.166,5,31,0,3323.84,32.8285,-17.8167,350.714,57.9348
-3320.09,1,0.166,2,7,0,3320.41,30.8247,-18.3565,351.663,58.2939
-3321.34,0.915713,0.166,4,31,0,3321.98,31.6845,-24.6615,353.494,57.9179
-3323.19,0.958623,0.166,5,31,0,3326.59,51.4274,-32.3439,369.699,60.736
-3321.35,0.882892,0.166,5,31,0,3325.87,25.2217,-11.2733,346.428,60.3414
-3322.1,0.996097,0.166,5,31,0,3322.96,26.5613,-20.3748,346.321,56.41
-3324.16,0.986922,0.166,4,15,0,3325.41,30.2659,-10.1696,350.65,56.6434
-3320.92,0.975028,0.166,4,15,0,3325.81,30.6654,-19.9734,350.783,57.0257
-3319.9,0.999896,0.166,4,19,0,3321.27,33.2878,-20.4514,351.91,59.926
