# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = model_e4a7eeb0354675692635eec86e4e72e0_model
# start_datetime = 2025-04-13 09:09:03 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/sg/z3fcysgj5h56dkrzxcppmh3m0000gn/T/RtmptLvmXS/standata-7ac77590f464.json
# init = 2 (Default)
# random
#   seed = 545567411
# output
#   file = /Users/lukaseamus/Desktop/Projects/Corallines/coralline-carbon/Stan/model_e4a7eeb0354675692635eec86e4e72e0-202504131709-1-946929.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /Users/lukaseamus/Desktop/Projects/Corallines/coralline-carbon/Stan/model_e4a7eeb0354675692635eec86e4e72e0-profile-202504131709-1-96ac47.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=model_e4a7eeb0354675692635eec86e4e72e0_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,O2_max,beta,O2_0,sigma
# Adaptation terminated
# Step size = 0.225419
# Diagonal elements of inverse mass matrix:
# 0.0166377, 4.26503e-05, 1.35177e-05, 0.000746143
-1424.55,0.999813,0.225419,4,15,0,1425.82,1757.05,1.44852,206.303,4.88711
-1423.59,0.869334,0.225419,2,7,0,1425.62,1720.19,1.45023,206.623,4.90021
-1423.17,0.964198,0.225419,2,7,0,1424.18,1578.1,1.44847,206.501,4.93533
-1424.47,0.988202,0.225419,3,11,0,1425.72,1974.75,1.4492,206.462,5.01162
-1425.41,0.96388,0.225419,4,15,0,1426.86,1504.25,1.4403,207.079,4.87458
-1425.03,0.686056,0.225419,3,7,0,1427.61,1555.24,1.44365,207.125,4.85652
-1424.06,0.982429,0.225419,3,7,0,1426.23,1622.97,1.44577,206.558,4.90106
-1423.31,1,0.225419,2,3,0,1423.97,1639.32,1.44675,206.646,4.90814
-1423.83,0.829642,0.225419,4,15,0,1425.44,1700.36,1.4432,206.932,4.9797
-1423.46,0.976843,0.225419,4,15,0,1425.11,1423.15,1.44836,206.731,5.01951
-1425.29,0.865036,0.225419,4,15,0,1426.14,1345.39,1.457,206.409,5.13965
-1424.03,0.998085,0.225419,4,15,0,1426.88,1583.92,1.44746,206.433,5.07561
-1425.58,0.971729,0.225419,3,15,0,1428.48,1697.76,1.45891,206.156,5.13979
-1424.17,0.995201,0.225419,4,15,0,1427.44,1697.52,1.45177,206.168,5.10045
-1424.13,0.925448,0.225419,4,15,0,1425.23,1621.88,1.44857,206.846,4.893
-1423.62,0.864846,0.225419,2,7,0,1425.51,1676.44,1.44566,206.845,4.89851
-1423.52,0.993781,0.225419,3,15,0,1425.74,1458.29,1.44904,206.633,5.10963
-1423.87,0.940553,0.225419,4,15,0,1424.48,1470.58,1.45574,206.021,5.05264
-1424.76,0.969178,0.225419,4,15,0,1425.7,1741.17,1.45587,206.307,5.11886
-1423.64,0.963943,0.225419,3,7,0,1425.23,1635.02,1.45339,206.25,5.12109
-1424.88,0.839444,0.225419,4,15,0,1425.84,1727.65,1.4434,207.13,4.91211
-1426.79,0.700029,0.225419,4,15,0,1428.57,1880.29,1.45022,206.007,5.0482
-1427.13,0.985813,0.225419,2,3,0,1428.38,1881.53,1.45737,206.394,5.0663
-1424.97,1,0.225419,2,3,0,1427.08,1777.15,1.45332,205.978,5.04493
-1423.87,0.998522,0.225419,3,15,0,1425.38,1599.03,1.44683,206.48,4.93645
-1423.29,0.985605,0.225419,4,15,0,1424.33,1517.61,1.45467,206.183,5.05081
-1425.73,0.934577,0.225419,3,15,0,1427.27,1616.8,1.46331,205.725,5.02419
-1426.96,0.829409,0.225419,4,15,0,1428.57,1591.48,1.43883,206.959,4.8194
-1423.97,0.926392,0.225419,4,15,0,1432,1831.92,1.44861,206.453,4.87685
-1424.55,0.845409,0.225419,4,15,0,1427.53,1335.85,1.45468,206.53,5.05209
-1425.56,0.997227,0.225419,4,15,0,1426.86,2031.84,1.44929,206.262,4.94949
-1424.19,0.997489,0.225419,4,15,0,1426.01,1314.87,1.45148,206.534,4.9134
-1423.47,0.998397,0.225419,3,7,0,1424.55,1398.74,1.44914,206.653,4.96533
-1426.61,0.859491,0.225419,3,15,0,1427.82,1495.33,1.43776,207.075,4.9591
-1426.12,0.902584,0.225419,4,15,0,1429.59,1339.71,1.44532,207.193,5.0505
-1424.28,0.992599,0.225419,4,15,0,1427.15,1725.31,1.45569,205.961,4.92903
-1424.15,0.999668,0.225419,4,15,0,1425.86,1734.09,1.44975,206.66,4.83196
-1423.16,0.997883,0.225419,3,11,0,1424.38,1581.22,1.45051,206.606,5.04392
-1423.81,0.999638,0.225419,3,11,0,1424.3,1370.72,1.45616,206.287,4.99399
-1422.9,0.997902,0.225419,4,15,0,1423.89,1577.95,1.44992,206.479,4.95893
-1423,0.860643,0.225419,2,3,0,1423.78,1566.64,1.45082,206.565,4.95538
-1423.52,0.933678,0.225419,3,15,0,1424.71,1690.05,1.4549,206.113,4.98386
-1423.85,0.986632,0.225419,4,15,0,1425.13,1777.82,1.45409,206.18,4.90063
-1424.23,0.961521,0.225419,3,15,0,1425.79,1398.28,1.4463,206.708,4.89981
-1424.97,0.727118,0.225419,4,15,0,1428.28,1799.4,1.45244,206.477,4.78542
-1425.1,0.997613,0.225419,3,7,0,1426.51,1661.45,1.45153,206.529,4.73458
-1423.97,0.952702,0.225419,4,15,0,1427.92,1475.75,1.44519,206.675,5.0065
-1425.36,0.854504,0.225419,4,15,0,1426.44,1349.92,1.45147,206.147,5.04295
-1423.67,0.877599,0.225419,2,3,0,1426.43,1375.48,1.4519,206.352,5.05319
-1424.32,0.985478,0.225419,4,15,0,1425.2,1509.97,1.45595,206.136,5.18095
-1424.29,0.992543,0.225419,3,7,0,1425.56,1401.88,1.45668,206.117,5.14773
-1425.07,0.921011,0.225419,3,7,0,1425.35,1371.52,1.45779,205.921,5.15372
-1424.61,0.866577,0.225419,4,15,0,1427.15,1788.16,1.44437,207.046,5.00775
-1424.77,0.82921,0.225419,4,15,0,1428.99,1529.72,1.46075,205.752,5.01739
-1424.18,0.999583,0.225419,4,15,0,1425.36,1715.36,1.44269,207.05,4.99096
-1425.24,0.96821,0.225419,2,7,0,1427.2,1764.88,1.4403,207.244,4.99745
-1423.43,0.997988,0.225419,4,15,0,1426.8,1561.35,1.4474,206.544,5.05563
-1424.74,0.847125,0.225419,3,11,0,1425.85,1566.25,1.44837,206.284,5.07801
-1426.96,0.938489,0.225419,3,15,0,1430.17,2122.35,1.45334,206.11,4.80316
-1426.29,0.915146,0.225419,4,15,0,1430.53,1306.37,1.44466,206.761,5.19517
-1426.72,0.97498,0.225419,4,15,0,1429.19,1367.23,1.45714,205.948,5.30049
-1424.98,0.827621,0.225419,4,15,0,1428.92,1757.66,1.44754,206.751,4.75992
-1423.36,0.977843,0.225419,4,15,0,1425.5,1714.15,1.45247,206.266,5.03337
-1423.13,0.995611,0.225419,3,15,0,1424.61,1564.15,1.45256,206.431,5.06169
-1423.13,0.530706,0.225419,2,3,0,1425.72,1564.15,1.45256,206.431,5.06169
-1423.27,0.999303,0.225419,4,15,0,1423.93,1421.96,1.4532,206.425,4.9723
-1423.17,0.740462,0.225419,3,11,0,1425.39,1656.01,1.44735,206.583,4.95486
-1425.02,0.973832,0.225419,4,15,0,1428.05,1410.51,1.44573,206.922,5.19352
-1424.96,0.968416,0.225419,3,15,0,1429.11,1667.76,1.45819,206.108,4.8304
-1424.16,0.980908,0.225419,4,15,0,1426.05,1741.9,1.45734,206.028,4.99877
-1423.51,0.94073,0.225419,4,15,0,1425.05,1662.2,1.45362,206.32,5.08988
-1429.69,0.654574,0.225419,3,15,0,1431.02,1629.08,1.46364,205.176,5.015
-1425.73,0.996155,0.225419,4,15,0,1431.09,1257.7,1.4456,206.937,4.94233
-1424.81,0.858015,0.225419,4,15,0,1427.75,1610.59,1.46043,205.962,5.06724
-1423.78,0.979274,0.225419,4,15,0,1426.11,1601.74,1.4488,206.544,5.15777
-1424.75,0.992193,0.225419,3,15,0,1425.53,1728.63,1.44416,206.906,5.17025
-1428.74,0.588689,0.225419,2,3,0,1430.04,1777.85,1.44529,207.273,5.22096
-1425.02,0.913645,0.225419,4,15,0,1431.45,1342.36,1.45827,205.996,4.85935
-1425.22,0.99391,0.225419,4,15,0,1425.91,1337.09,1.45717,206.038,4.83198
-1426.33,0.987448,0.225419,4,15,0,1428.8,1982.58,1.45856,205.913,5.06815
-1425.03,1,0.225419,4,15,0,1427.84,2060.02,1.44832,206.568,4.98151
-1424.75,0.933708,0.225419,4,15,0,1427.05,1404.76,1.44515,207.068,4.96574
-1424.28,0.981243,0.225419,4,15,0,1425.51,1515.74,1.4553,205.957,5.0598
-1425.91,0.981326,0.225419,2,7,0,1427.71,1485.25,1.46182,206.04,5.13436
-1423.59,0.999945,0.225419,4,15,0,1426.59,1688.23,1.44809,206.458,5.06312
-1424.33,0.736478,0.225419,1,3,0,1425.71,1691.16,1.45023,206.769,5.04728
-1423.35,0.926938,0.225419,3,11,0,1426.51,1612.03,1.45358,206.332,5.0839
-1424.13,0.929038,0.225419,4,15,0,1424.72,1337.41,1.45394,206.218,4.93449
-1425.97,0.693925,0.225419,4,15,0,1428.01,1650,1.45689,206.483,5.04196
-1425.27,0.985038,0.225419,4,15,0,1427.93,1521.95,1.46274,205.723,5.03184
-1424.93,0.787354,0.225419,4,15,0,1427.66,1768.03,1.44167,206.78,4.97889
-1425.48,0.888611,0.225419,4,15,0,1428.19,1341.4,1.45448,206.639,5.11181
-1424.55,0.99977,0.225419,4,15,0,1426.04,1437.61,1.45286,206.663,4.90609
-1424.58,0.968022,0.225419,2,7,0,1426.44,1310.05,1.45066,206.508,4.8742
-1423.37,0.983958,0.225419,4,15,0,1425.05,1620.4,1.45439,206.218,5.06917
-1424.35,0.978641,0.225419,4,15,0,1424.82,1673.41,1.44204,207.105,4.96144
-1426.89,0.920226,0.225419,4,15,0,1428.48,1624.96,1.45429,206.394,4.65995
-1424.26,1,0.225419,3,15,0,1427.68,1499.74,1.45246,206.231,4.81637
-1423.52,0.987264,0.225419,3,15,0,1425.34,1465.32,1.45129,206.647,4.95496
-1423.22,0.90882,0.225419,3,15,0,1424.27,1518.58,1.44882,206.486,4.94432
-1426.12,0.438701,0.225419,1,3,0,1427.63,1510.85,1.45115,206.928,4.94667
-1423.14,0.947953,0.225419,2,7,0,1427.76,1494.9,1.45395,206.232,4.97016
-1424.59,0.828908,0.225419,4,15,0,1425.5,1564.12,1.45629,206.328,5.153
-1425.03,0.998628,0.225419,4,15,0,1425.95,1626.13,1.45005,206.657,5.24119
-1424.68,0.999218,0.225419,4,15,0,1427.36,1941.31,1.44555,206.662,5.06218
-1423.29,0.998818,0.225419,3,15,0,1424.8,1693.01,1.44809,206.605,5.06339
-1423.84,0.996483,0.225419,4,15,0,1424.05,1610.36,1.45157,206.409,4.80661
-1423.29,0.996591,0.225419,4,15,0,1424.96,1482.02,1.45561,206.2,5.01071
-1423.84,0.979004,0.225419,4,15,0,1424.48,1348.11,1.45007,206.508,4.95615
-1424.07,0.997723,0.225419,4,15,0,1425.34,1524.08,1.44451,206.859,5.12301
-1423.59,0.91892,0.225419,3,15,0,1424.8,1503.38,1.44897,206.41,5.05093
-1423.76,0.998277,0.225419,3,15,0,1424.84,1734.51,1.45436,206.241,5.07361
-1423.46,0.997966,0.225419,4,15,0,1424.33,1691.18,1.44891,206.62,4.8658
-1423.98,0.98916,0.225419,4,15,0,1424.6,1556.97,1.44693,206.647,5.16005
