# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = model_e4a7eeb0354675692635eec86e4e72e0_model
# start_datetime = 2025-04-13 09:09:09 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = /var/folders/sg/z3fcysgj5h56dkrzxcppmh3m0000gn/T/RtmptLvmXS/standata-7ac7619c78eb.json
# init = 2 (Default)
# random
#   seed = 1449682021
# output
#   file = /Users/lukaseamus/Desktop/Projects/Corallines/coralline-carbon/Stan/model_e4a7eeb0354675692635eec86e4e72e0-202504131709-3-22e7db.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /Users/lukaseamus/Desktop/Projects/Corallines/coralline-carbon/Stan/model_e4a7eeb0354675692635eec86e4e72e0-profile-202504131709-3-101f6a.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=model_e4a7eeb0354675692635eec86e4e72e0_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,O2_max,beta,O2_0,sigma
# Adaptation terminated
# Step size = 0.286233
# Diagonal elements of inverse mass matrix:
# 0.0506842, 29.7809, 0.000497783, 0.000553478
-3854.78,0.9526,0.286233,4,15,0,3855.28,42.2383,-15.1953,456.345,111.039
-3854.71,0.976013,0.286233,2,7,0,3855.78,40.67,-20.5975,447.323,110.73
-3854.52,0.999433,0.286233,3,7,0,3854.97,43.9567,-18.9815,450.98,110.531
-3854.53,0.838369,0.286233,2,7,0,3856.63,40.2262,-17.5097,454.719,111.368
-3854.68,0.997528,0.286233,2,7,0,3854.84,41.1491,-17.8087,447.35,110.508
-3854.92,0.988455,0.286233,4,15,0,3856.18,54.0208,-19.5653,464.786,113.034
-3855.02,0.995329,0.286233,4,15,0,3855.75,49.4705,-26.4206,461.386,112.576
-3857.29,0.965588,0.286233,4,15,0,3859.87,22.5761,-15.7867,432.051,111.576
-3855.16,0.959351,0.286233,4,15,0,3860.52,49.2308,-24.1587,455.175,112.941
-3854.97,0.99952,0.286233,3,15,0,3856.73,35.7185,-19.0833,442.101,111.211
-3855.59,0.9423,0.286233,3,15,0,3857.02,37.7941,-22.9172,443.526,112.436
-3854.56,1,0.286233,2,3,0,3855.62,37.8461,-20.8681,447.107,112.44
-3854.39,0.96702,0.286233,2,7,0,3856.49,38.5667,-18.9463,450.462,113.316
-3856.32,0.929862,0.286233,4,15,0,3857.54,27.1329,-12.24,432.269,112.054
-3856.2,0.796928,0.286233,3,15,0,3860.78,36.907,-14.2095,455.339,113.11
-3854.57,0.988452,0.286233,3,15,0,3856.61,36.7407,-16.6481,444.961,109.851
-3857.16,0.918332,0.286233,2,7,0,3858.72,30.1512,-25.1962,439.253,111.947
-3856.25,0.99302,0.286233,3,7,0,3858.09,37.7817,-10.2849,445.888,109.514
