# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = model_e4a7eeb0354675692635eec86e4e72e0_model
# start_datetime = 2025-04-13 09:09:03 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = /var/folders/sg/z3fcysgj5h56dkrzxcppmh3m0000gn/T/RtmptLvmXS/standata-7ac77590f464.json
# init = 2 (Default)
# random
#   seed = 545567411
# output
#   file = /Users/lukaseamus/Desktop/Projects/Corallines/coralline-carbon/Stan/model_e4a7eeb0354675692635eec86e4e72e0-202504131709-3-946929.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /Users/lukaseamus/Desktop/Projects/Corallines/coralline-carbon/Stan/model_e4a7eeb0354675692635eec86e4e72e0-profile-202504131709-3-96ac47.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=model_e4a7eeb0354675692635eec86e4e72e0_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,O2_max,beta,O2_0,sigma
# Adaptation terminated
# Step size = 0.191279
# Diagonal elements of inverse mass matrix:
# 0.0550776, 37.635, 0.000508406, 0.000745172
-3177.88,0.877288,0.191279,4,31,0,3179.55,32.3115,-31.1004,321.789,47.6147
-3177.26,1,0.191279,2,3,0,3178.26,27.8635,-29.7441,324.035,47.395
-3174.53,0.993718,0.191279,4,15,0,3179.45,36.1954,-26.1331,326.661,48.6021
-3173.15,0.927791,0.191279,2,7,0,3175.07,32.87,-24.0324,327.534,49.2276
-3173.94,0.946077,0.191279,4,15,0,3174.29,31.8385,-25.5668,326.994,48.3752
-3174.17,0.952239,0.191279,4,15,0,3175.57,35.1758,-25.7062,325.947,49.925
-3173.3,0.779719,0.191279,2,3,0,3175.67,33.9682,-25.4301,328.012,49.868
-3174.38,0.999947,0.191279,4,31,0,3175.13,21.7308,-10.4509,315.455,47.9524
-3172.84,0.990594,0.191279,4,23,0,3174.78,32.3412,-22.8521,326.034,49.7611
-3173.43,0.891374,0.191279,4,15,0,3174.48,36.8791,-22.4977,331.386,48.3687
-3173.04,0.99933,0.191279,5,31,0,3173.6,37.4261,-23.9216,331.183,49.4785
-3172.88,0.991544,0.191279,3,15,0,3174.07,37.0372,-22.4574,330.027,49.4153
-3173.03,0.998999,0.191279,2,7,0,3173.12,37.6225,-22.6119,331.55,49.4967
-3173.36,0.931378,0.191279,4,31,0,3175.4,24.4118,-19.9805,318.437,49.2773
-3174.54,0.903745,0.191279,4,23,0,3176.08,27.7634,-27.9762,321.518,49.1391
-3175.54,0.993115,0.191279,3,15,0,3176.78,32.4768,-11.1957,326.879,49.9136
-3180.43,0.909298,0.191279,4,31,0,3181.18,46.0982,-45.8539,339.486,48.2587
-3179.04,0.817172,0.191279,4,15,0,3183.18,53.4174,-25.3866,349.796,48.8413
-3175.3,0.851491,0.191279,4,15,0,3179.38,48.4612,-25.0707,341.832,49.1394
-3175.91,0.998828,0.191279,3,7,0,3176.21,50.5462,-26.8722,343.974,48.9196
-3174.38,0.832955,0.191279,4,31,0,3177.68,23.0562,-19.5553,317.25,50.553
-3175.16,0.993051,0.191279,3,7,0,3176.41,22.5168,-21.221,316.724,50.7807
-3176.97,0.991329,0.191279,4,15,0,3178.67,33.4876,-11.7014,328.828,51.4565
-3172.53,0.997363,0.191279,4,15,0,3178.26,27.9922,-18.2801,321.447,49.1188
-3173.76,0.920321,0.191279,4,15,0,3174.13,30.9017,-15.1264,326.327,50.0693
-3173.19,0.998103,0.191279,4,23,0,3175.21,29.3484,-13.5058,322.177,49.7231
-3172.89,0.988385,0.191279,4,15,0,3173.44,28.4949,-20.0716,320.618,48.7172
-3173.85,0.814238,0.191279,1,3,0,3173.92,29.3578,-19.7828,319.762,48.7525
-3174.9,1,0.191279,4,15,0,3175.26,25.3239,-14.3307,321.155,47.4406
-3173.47,0.947704,0.191279,4,15,0,3175.72,27.8762,-22.0278,322.926,49.5769
-3173.29,0.868239,0.191279,4,15,0,3175.28,35.6663,-25.7361,327.847,49.2687
-3174.18,0.742974,0.191279,4,19,0,3175.73,31.5118,-15.9505,327.518,48.5359
-3174.01,0.994551,0.191279,3,15,0,3174.89,30.2346,-23.7699,326.118,48.8336
-3173.99,0.981048,0.191279,2,7,0,3174.35,33.5873,-22.8014,323.94,48.9994
-3176.08,0.559444,0.191279,3,11,0,3179.05,28.782,-16.8336,326.928,49.05
-3174.77,0.96478,0.191279,2,3,0,3176.78,30.6829,-18.2462,320.124,48.6938
-3174.22,0.995277,0.191279,4,15,0,3175.3,30.46,-23.0224,326.564,50.0551
-3173.76,0.990995,0.191279,4,15,0,3174.9,23.8303,-12.3469,318.33,48.2083
-3175.05,0.99653,0.191279,4,15,0,3176.03,31.7541,-20.4547,323.454,51.9461
-3173.09,0.996242,0.191279,5,31,0,3175.43,27.5679,-20.5172,321.88,49.853
-3174.01,0.972934,0.191279,2,7,0,3174.41,27.746,-22.8006,318.959,49.8899
-3174.18,0.886679,0.191279,4,31,0,3175.91,24.2636,-14.7801,319.842,47.936
-3173.24,1,0.191279,2,3,0,3174.07,25.5068,-14.481,318.238,48.0965
-3173.03,0.959269,0.191279,4,15,0,3173.75,28.9041,-19.3133,320.36,49.0721
-3172.77,0.999335,0.191279,4,15,0,3173.79,31.6261,-17.7436,324.597,50.1435
-3174.11,0.986472,0.191279,3,7,0,3174.2,31.923,-16.4098,324.759,51.4536
-3175.21,0.71769,0.191279,4,15,0,3178.12,32.3678,-22.0151,322.149,47.8212
-3175.36,0.996588,0.191279,4,15,0,3176.47,34.5182,-28.3589,324.667,48.5361
-3174.06,0.586169,0.191279,4,23,0,3180.8,29.0986,-22.2857,323.46,47.4007
-3174.22,0.989012,0.191279,2,3,0,3174.31,29.1362,-22.1549,323.772,47.3397
-3172.95,0.883283,0.191279,3,11,0,3176.52,29.0923,-20.8514,323.245,48.3789
-3173.11,0.949788,0.191279,4,31,0,3174.02,24.1887,-13.9124,316.518,48.9894
-3173.15,0.995819,0.191279,3,11,0,3173.73,25.3974,-19.4989,317.951,49.5265
-3173.3,0.980592,0.191279,4,15,0,3173.69,26.8402,-13.0363,321.332,48.9753
-3173.77,0.945103,0.191279,4,15,0,3176.22,31.3764,-25.366,326.547,49.5448
-3174.28,0.998997,0.191279,4,15,0,3175.73,28.5465,-17.3337,321.127,47
-3173.47,0.999791,0.191279,4,15,0,3174.47,33.3338,-20.8361,326.769,50.9832
-3174.06,0.81595,0.191279,4,15,0,3176.14,39.4253,-25.2385,330.409,49.0361
-3175.06,0.846247,0.191279,3,15,0,3177.21,48.0237,-26.5311,340.696,49.1733
-3175.54,0.334898,0.191279,2,3,0,3178.02,46.6688,-25.5314,341.981,48.9472
-3173.86,0.866152,0.191279,3,15,0,3177.26,33.5579,-26.612,327.767,50.3114
-3174.12,0.995537,0.191279,4,15,0,3175.34,42.9744,-22.8754,335.424,48.8317
-3177.86,0.462931,0.191279,2,3,0,3178.12,45.3443,-23.2521,333.852,48.7252
-3173.78,1,0.191279,4,15,0,3178.64,35.6524,-16.9916,330.717,49.4434
-3173.88,0.990956,0.191279,4,15,0,3174.76,29.4951,-22.5749,321.09,47.8652
-3174.15,0.918635,0.191279,3,7,0,3174.82,29.9478,-22.7349,320.464,48.5799
-3174.53,0.988685,0.191279,4,19,0,3175.25,24.2666,-22.1674,319.859,48.7471
-3174.64,0.997673,0.191279,4,15,0,3176.84,25.1294,-17.9609,315.718,50.6018
-3176.47,0.8716,0.191279,4,31,0,3178.37,19.8435,-13.3765,309.494,47.946
-3174.49,0.950035,0.191279,2,3,0,3177.25,19.9297,-12.7069,311.55,48.3554
-3173.36,0.994397,0.191279,3,15,0,3177.13,27.2375,-13.171,321.802,48.8273
-3174.31,0.856667,0.191279,4,15,0,3176.86,32.3269,-26.2028,328.219,49.0869
-3176.8,0.92571,0.191279,4,23,0,3177.05,20.5733,-7.82016,317.218,49.3933
-3176.69,0.999242,0.191279,4,15,0,3178.31,15.8369,-17.6759,309.551,49.6652
-3177.68,0.995554,0.191279,4,31,0,3179.71,27.5484,-11.0954,320.324,46.1548
-3174.52,0.839439,0.191279,4,15,0,3180.53,25.7197,-11.6853,320.636,47.87
-3173.31,1,0.191279,3,7,0,3175.04,26.3137,-18.8789,319.147,47.8868
-3173.22,0.939463,0.191279,4,23,0,3175.24,36.4812,-26.0136,330.038,48.9644
-3173.97,0.975201,0.191279,4,23,0,3175.15,31.9017,-21.6196,325.833,51.2899
-3173.09,0.807798,0.191279,4,15,0,3175.74,28.3914,-20.4988,323.313,49.5149
-3173.48,0.994468,0.191279,4,15,0,3174.3,35.0199,-18.7817,330.078,50.1499
-3175.3,0.922294,0.191279,3,11,0,3176.97,26.5042,-27.6762,321.568,49.7383
-3174.85,0.948618,0.191279,3,15,0,3176.52,25.6764,-26.044,319.754,50.0719
-3174.36,0.972749,0.191279,3,15,0,3176.56,30.9203,-28.1582,325.846,49.1551
-3175.32,0.787138,0.191279,3,15,0,3177.03,32.1913,-22.3038,329.581,48.6406
-3174.4,0.991082,0.191279,4,19,0,3176.38,20.8102,-12.9313,316.461,48.9905
-3174.11,0.907222,0.191279,4,31,0,3177.18,31.8996,-24.241,323.554,50.752
-3174.36,0.992144,0.191279,4,15,0,3175.8,31.682,-28.6999,323.748,49.5797
-3173.39,0.997664,0.191279,3,15,0,3175.43,32.5932,-26.3861,326.457,48.9945
-3175.06,0.882009,0.191279,4,15,0,3175.83,36.2653,-20.3376,327.923,47.065
-3173.15,0.985483,0.191279,4,15,0,3175.4,34.6012,-24.4779,329.082,49.0288
-3175.57,0.988237,0.191279,3,7,0,3176,43.586,-20.4159,338.697,48.5166
-3174.47,0.677278,0.191279,4,15,0,3177.62,38.1563,-27.0897,332.873,50.8121
-3172.72,0.995741,0.191279,3,15,0,3176.31,34.9585,-19.606,328.478,49.1858
-3173.35,0.568929,0.191279,4,23,0,3176.34,23.5346,-17.6233,316.507,48.3457
-3173.55,0.95933,0.191279,4,15,0,3174.61,25.0323,-12.4349,318.431,50.3465
-3175.13,0.747901,0.191279,3,15,0,3177.99,27.6475,-13.5953,324.62,48.7929
-3176.56,0.333264,0.191279,2,3,0,3181.28,31.0554,-13.6462,319.658,48.887
-3175.9,1,0.191279,2,3,0,3177.03,27.4995,-13.246,324.938,48.5782
-3179.32,0.751183,0.191279,3,11,0,3181.16,26.2362,-18.2282,313.186,48.2004
-3181.97,0.801801,0.191279,2,7,0,3185.64,25.6958,-16.8696,325.71,46.8159
-3175.77,1,0.191279,2,7,0,3181.83,28.3316,-15.133,317.986,47.5131
-3174.44,0.918741,0.191279,5,31,0,3179.07,39.1482,-28.3612,334.184,48.452
-3175.4,0.898275,0.191279,4,15,0,3176.63,43.4934,-23.1614,335.336,51.4974
-3176.22,0.717288,0.191279,4,23,0,3178.84,34.5376,-17.3077,324.144,51.6882
-3174.84,0.752329,0.191279,4,15,0,3179.32,27.6735,-19.6629,323.039,47.0647
-3174.32,0.870793,0.191279,2,3,0,3175.72,29.204,-18.756,323.037,46.9358
-3174.86,0.765592,0.191279,4,15,0,3176.92,26.4199,-19.6673,316.421,48.1773
-3174.31,0.996892,0.191279,4,15,0,3176.34,28.2046,-21.059,318.418,49.7566
