# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = model_e4a7eeb0354675692635eec86e4e72e0_model
# start_datetime = 2025-04-13 09:09:14 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = /var/folders/sg/z3fcysgj5h56dkrzxcppmh3m0000gn/T/RtmptLvmXS/standata-7ac75cb9519a.json
# init = 2 (Default)
# random
#   seed = 379716170
# output
#   file = /Users/lukaseamus/Desktop/Projects/Corallines/coralline-carbon/Stan/model_e4a7eeb0354675692635eec86e4e72e0-202504131709-4-1fc9f4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /Users/lukaseamus/Desktop/Projects/Corallines/coralline-carbon/Stan/model_e4a7eeb0354675692635eec86e4e72e0-profile-202504131709-4-2ae774.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=model_e4a7eeb0354675692635eec86e4e72e0_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,O2_max,beta,O2_0,sigma
# Adaptation terminated
# Step size = 0.168921
# Diagonal elements of inverse mass matrix:
# 0.0451641, 30.183, 0.000281355, 0.000580736
-2909.1,0.994131,0.168921,4,15,0,2911,31.0561,-22.8437,304.993,34.3213
-2909.27,0.97768,0.168921,3,15,0,2912.11,27.3565,-28.4888,299.357,34.705
-2908.75,0.925074,0.168921,4,31,0,2913.1,30.5915,-24.0337,304.318,34.4987
-2908.01,0.999341,0.168921,4,15,0,2908.84,26.8994,-23.3825,299.621,35.1863
-2908.72,0.773247,0.168921,4,23,0,2910.72,23.9769,-13.1272,296.098,35.546
-2909.47,0.989186,0.168921,4,15,0,2911.08,24.7809,-12.3267,297.506,36.0009
-2909.06,0.849248,0.168921,4,15,0,2911.15,22.0034,-25.2467,295.746,35.1691
-2909.99,0.996912,0.168921,4,15,0,2912.31,23.7393,-20.3928,297.656,33.1995
-2908.08,0.95319,0.168921,4,15,0,2911.37,24.2911,-15.7004,298.034,34.6581
-2909.74,0.919045,0.168921,5,31,0,2911.3,18.5198,-22.7779,290.331,34.6964
-2908.11,0.999306,0.168921,4,31,0,2910.06,23.3181,-16.52,295.223,34.4627
-2909.51,0.988045,0.168921,5,31,0,2910.28,27.8302,-22.3348,301.911,36.448
-2910.2,0.818212,0.168921,2,7,0,2913.71,29.1893,-21.5295,299.531,35.7576
-2908.65,0.999218,0.168921,4,19,0,2910.49,28.9247,-20.3928,300.389,34.8785
-2908.62,0.999776,0.168921,4,15,0,2909.23,25.4315,-24.8215,299.047,34.2654
-2908.42,0.959095,0.168921,4,27,0,2909.71,23.5988,-15.5255,297.059,34.0466
-2910.52,0.981058,0.168921,3,7,0,2911,26.4092,-13.3171,299.865,33.7404
-2910.72,0.98247,0.168921,2,3,0,2911.02,26.7385,-13.5228,300.422,33.7097
-2909.15,0.961545,0.168921,4,15,0,2912.26,18.3,-19.2873,290.018,34.5326
-2909.37,0.99675,0.168921,4,15,0,2910.52,22.8544,-11.5009,296.682,35.7173
-2908.43,0.997445,0.168921,4,31,0,2910.16,24.0126,-24.8717,296.65,34.9997
-2909.92,0.97798,0.168921,3,7,0,2910.13,23.9916,-30.1306,296.998,35.0555
-2909.51,0.88768,0.168921,4,15,0,2911.05,24.1823,-28.5941,296.463,34.7925
-2908.85,0.925038,0.168921,3,15,0,2910.79,22.2759,-22.3556,296.736,34.5015
-2909.33,0.921505,0.168921,4,15,0,2910.94,22.4716,-27.2926,295.426,34.9899
-2908.97,0.987234,0.168921,3,15,0,2913.86,29.2593,-24.8608,301.617,34.048
-2910.21,0.902769,0.168921,4,31,0,2914.3,25.0534,-25.6862,299.405,33.5693
-2912.06,0.958775,0.168921,4,15,0,2913,25.1315,-22.9193,299.273,32.6368
-2909.02,0.946654,0.168921,4,31,0,2913.49,30.0621,-26.5463,301.779,34.9386
-2909.11,0.882831,0.168921,4,15,0,2910.49,31.6223,-22.6164,303.171,34.7628
-2909.48,0.917188,0.168921,3,11,0,2910.67,27.532,-23.0079,302.733,34.7888
-2909.28,0.980177,0.168921,5,31,0,2910.29,24.1374,-22.617,299.023,35.6244
-2907.78,0.997306,0.168921,5,31,0,2910.88,20.6465,-16.0425,293.369,34.664
-2908.31,0.937158,0.168921,2,3,0,2908.44,21.389,-15.6771,292.939,34.7078
-2908.17,0.951431,0.168921,2,3,0,2909.14,21.4185,-16.5825,293.075,34.8379
-2909.58,0.922556,0.168921,4,31,0,2911.09,29.2321,-19.8265,304.302,35.4265
-2909.86,0.998218,0.168921,4,15,0,2910.39,27.5109,-29.1535,302.067,34.9711
-2910.67,0.976734,0.168921,2,7,0,2911.13,29.4514,-30.962,300.503,34.838
-2910.15,0.993746,0.168921,5,31,0,2912.4,19.4856,-24.9989,293.551,35.5114
-2910.32,0.987145,0.168921,4,23,0,2910.59,19.6796,-25.2781,294.008,35.4975
-2911.9,0.927354,0.168921,4,23,0,2913.18,23.4166,-29.6061,293.922,35.4586
-2909.41,0.985451,0.168921,4,23,0,2914.73,33.6422,-26.9246,306.864,34.4831
-2909.01,0.936852,0.168921,4,15,0,2910.54,33.3512,-25.0043,306.655,35.2859
-2909.98,0.804573,0.168921,4,15,0,2910.69,28.491,-28.4805,303.313,35.2388
-2910.27,0.993785,0.168921,5,31,0,2910.74,16.3833,-14.4359,287.606,35.8658
