# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = model_e4a7eeb0354675692635eec86e4e72e0_model
# start_datetime = 2025-04-13 09:09:12 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 5
# data
#   file = /var/folders/sg/z3fcysgj5h56dkrzxcppmh3m0000gn/T/RtmptLvmXS/standata-7ac77c5ba70a.json
# init = 2 (Default)
# random
#   seed = 2015214062
# output
#   file = /Users/lukaseamus/Desktop/Projects/Corallines/coralline-carbon/Stan/model_e4a7eeb0354675692635eec86e4e72e0-202504131709-5-06ea6b.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /Users/lukaseamus/Desktop/Projects/Corallines/coralline-carbon/Stan/model_e4a7eeb0354675692635eec86e4e72e0-profile-202504131709-5-45c9fb.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=model_e4a7eeb0354675692635eec86e4e72e0_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,O2_max,beta,O2_0,sigma
# Adaptation terminated
# Step size = 0.199136
# Diagonal elements of inverse mass matrix:
# 2.86644e-05, 0.000976158, 3.17627e-05, 0.000645464
-1753.37,0.932732,0.199136,4,15,0,1754.18,488.341,5.17534,192.434,7.83273
-1753.03,0.999248,0.199136,4,15,0,1757.6,485.533,5.18076,192.166,8.138
-1755.6,0.927413,0.199136,4,15,0,1757.18,484.46,5.15226,193.789,8.34289
-1754.88,0.933728,0.199136,4,15,0,1757.1,486.311,5.13743,193.697,8.26375
-1752.64,0.971272,0.199136,4,15,0,1756.7,485.811,5.20668,191.344,7.73017
-1752.3,0.952425,0.199136,4,31,0,1754.86,485.472,5.20143,191.806,8.08862
-1753.55,0.861929,0.199136,4,15,0,1754.02,483.708,5.18133,192.431,8.13213
-1753.53,0.983926,0.199136,4,15,0,1754.49,483.04,5.1779,192.639,7.95054
-1754.73,0.88565,0.199136,3,11,0,1757.42,487.752,5.20177,191.921,7.9874
-1752.24,0.997308,0.199136,3,15,0,1755.03,485.886,5.20299,191.495,7.80335
-1752.77,0.688332,0.199136,2,7,0,1755.15,484.4,5.20342,191.537,7.80622
-1752.03,0.999931,0.199136,3,11,0,1753.26,484.248,5.21059,191.592,7.77596
-1752.1,0.934587,0.199136,4,23,0,1753.17,486.645,5.16999,192.544,7.96424
-1753.98,0.724495,0.199136,3,11,0,1755.39,487.186,5.14113,193.068,7.80246
-1752.93,0.998539,0.199136,4,15,0,1755.14,484.481,5.17496,193.074,7.63161
-1752.76,0.832896,0.199136,2,3,0,1754.04,484.67,5.17184,193.004,7.62411
-1753.42,0.97167,0.199136,4,31,0,1754.58,487.044,5.14917,193.118,8.13388
-1752.25,0.945886,0.199136,4,31,0,1755.62,484.916,5.19622,191.777,7.93966
-1752.18,0.714054,0.199136,3,11,0,1756.65,483.489,5.19618,192.506,7.74588
-1753.05,0.994518,0.199136,4,15,0,1753.47,485.23,5.22699,191.001,7.68837
-1752.74,0.99337,0.199136,4,31,0,1754.13,484.206,5.20186,192.11,7.57248
-1752.9,0.95402,0.199136,4,15,0,1754.64,487.704,5.19396,191.563,7.87271
-1755.13,0.912728,0.199136,4,15,0,1755.86,483.224,5.15591,194.137,7.79896
-1753.99,0.984769,0.199136,4,15,0,1756.11,484.509,5.16652,193.583,7.68702
-1755.49,0.997146,0.199136,4,15,0,1756.62,488.329,5.17899,191.75,7.48844
-1754.16,0.999616,0.199136,3,11,0,1757.34,481.752,5.17909,193.352,8.00938
-1752.75,0.889156,0.199136,4,15,0,1756.95,486.244,5.16493,192.981,7.63414
-1752.57,0.850847,0.199136,2,7,0,1753.65,486.333,5.16379,192.677,7.71455
-1751.76,0.897726,0.199136,2,7,0,1755.43,485.144,5.17806,192.537,7.8459
-1752.32,0.919295,0.199136,4,15,0,1752.96,485.263,5.16939,192.858,8.05773
-1753.53,0.982602,0.199136,3,15,0,1753.71,485.469,5.1616,193.042,8.22211
-1752.62,0.972074,0.199136,4,31,0,1755.33,484.308,5.23245,190.944,7.85427
-1754.82,0.931867,0.199136,4,23,0,1755.7,480.383,5.19905,192.7,7.83066
-1753.33,0.99452,0.199136,4,15,0,1756.61,484.254,5.22317,191.215,7.57743
-1752.78,0.900126,0.199136,4,31,0,1754.29,484.139,5.21135,192.054,8.08353
