# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = model_e4a7eeb0354675692635eec86e4e72e0_model
# start_datetime = 2025-04-13 09:09:00 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 5
# data
#   file = /var/folders/sg/z3fcysgj5h56dkrzxcppmh3m0000gn/T/RtmptLvmXS/standata-7ac7cddc064.json
# init = 2 (Default)
# random
#   seed = 1753674742
# output
#   file = /Users/lukaseamus/Desktop/Projects/Corallines/coralline-carbon/Stan/model_e4a7eeb0354675692635eec86e4e72e0-202504131709-5-4fb79f.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /Users/lukaseamus/Desktop/Projects/Corallines/coralline-carbon/Stan/model_e4a7eeb0354675692635eec86e4e72e0-profile-202504131709-5-5eadb9.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=model_e4a7eeb0354675692635eec86e4e72e0_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,O2_max,beta,O2_0,sigma
# Adaptation terminated
# Step size = 0.274897
# Diagonal elements of inverse mass matrix:
# 0.0113277, 0.000108174, 1.87362e-05, 0.00070396
-1852.36,0.996794,0.274897,4,15,0,1853.29,2215.64,2.51263,216.005,9.01968
-1851.83,0.998992,0.274897,3,7,0,1852.47,2053.75,2.51106,216.245,8.90569
-1853.13,0.923436,0.274897,4,15,0,1853.85,2417.13,2.50179,216.498,9.05354
-1852,0.9401,0.274897,4,15,0,1853.87,1958.43,2.51165,216.348,8.89802
-1852,0.973028,0.274897,4,15,0,1852.55,2155.2,2.49942,216.952,8.83554
-1852.29,0.965975,0.274897,4,15,0,1852.64,2025.93,2.49958,217.153,8.83405
-1853.08,0.99862,0.274897,4,15,0,1853.47,2196.59,2.49078,217.491,8.78918
-1853.82,0.925747,0.274897,4,15,0,1854.77,1983.11,2.52383,215.266,9.09734
-1852.45,1,0.274897,3,7,0,1854.1,2147.64,2.51736,215.995,8.94857
-1852.86,0.968588,0.274897,2,7,0,1853.94,2201.79,2.51845,215.634,8.96417
-1853.06,0.997288,0.274897,4,15,0,1853.89,1793.71,2.51595,216.22,9.01074
-1852.96,0.903326,0.274897,4,15,0,1854.82,2176.33,2.50603,216.754,9.23152
-1853.17,0.992537,0.274897,3,15,0,1854.65,2233.72,2.49773,217.151,9.21077
-1853.9,0.86935,0.274897,4,15,0,1856,2149.57,2.51788,216.324,8.68647
-1852.42,0.986133,0.274897,4,15,0,1856.72,2245.68,2.50419,216.772,8.66609
-1853.02,0.983511,0.274897,4,15,0,1854.62,1811.6,2.50839,216.808,8.91836
-1852.72,0.999569,0.274897,4,15,0,1854.27,2337.44,2.50135,216.884,8.65983
-1852.47,0.951021,0.274897,3,7,0,1853.19,2244.84,2.50304,216.928,8.69478
-1854.11,0.907984,0.274897,3,15,0,1856.39,1950.03,2.52108,215.932,8.57442
-1856.5,0.464543,0.274897,3,15,0,1861.84,2008.01,2.50754,217.481,8.6767
-1854.9,0.987501,0.274897,2,7,0,1859.9,2070.9,2.5104,217.152,8.79811
-1851.88,0.953169,0.274897,2,3,0,1855.65,2119.58,2.51002,216.474,8.83319
-1854.54,0.958315,0.274897,3,7,0,1855.35,2036.82,2.52487,215.603,8.57779
-1853.32,0.987978,0.274897,3,15,0,1857.23,2091.86,2.49454,217.626,8.74956
-1853.65,0.883024,0.274897,4,15,0,1855.5,2079.38,2.48926,217.412,8.81839
-1853.01,1,0.274897,4,15,0,1854.07,2024.23,2.49733,217.519,8.97268
-1853.58,0.991017,0.274897,4,15,0,1854.43,2248.64,2.52273,215.578,8.89618
-1853.48,0.997509,0.274897,4,15,0,1856.23,1749.28,2.51249,216.315,9.0209
-1855.38,0.966242,0.274897,3,7,0,1857.24,1651.6,2.51675,216.164,9.27362
-1853.24,0.999188,0.274897,4,15,0,1856.81,2196.96,2.50362,216.558,9.28071
-1854.21,0.991479,0.274897,3,7,0,1854.6,2179.06,2.51089,216.402,9.40186
-1851.94,0.969233,0.274897,4,15,0,1854.82,2175.06,2.50235,216.78,8.77352
-1852.34,0.939605,0.274897,2,7,0,1855.38,2031.75,2.49938,216.904,8.79363
-1852.27,0.952714,0.274897,4,15,0,1853.57,2046.68,2.50758,216.435,9.14105
-1854.92,0.720816,0.274897,3,15,0,1855.99,1921.85,2.5068,215.885,9.10015
-1852.48,1,0.274897,2,3,0,1854.95,1894.4,2.51374,216.283,9.07174
-1853.29,0.9428,0.274897,4,15,0,1855.07,1823.31,2.50085,217.065,8.94425
-1852.03,0.995734,0.274897,3,7,0,1853.49,1997.59,2.5084,216.708,8.89465
