# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = model_e4a7eeb0354675692635eec86e4e72e0_model
# start_datetime = 2025-04-13 09:09:06 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 6
# data
#   file = /var/folders/sg/z3fcysgj5h56dkrzxcppmh3m0000gn/T/RtmptLvmXS/standata-7ac71c4eaf5a.json
# init = 2 (Default)
# random
#   seed = 682989407
# output
#   file = /Users/lukaseamus/Desktop/Projects/Corallines/coralline-carbon/Stan/model_e4a7eeb0354675692635eec86e4e72e0-202504131709-6-55aa56.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /Users/lukaseamus/Desktop/Projects/Corallines/coralline-carbon/Stan/model_e4a7eeb0354675692635eec86e4e72e0-profile-202504131709-6-270981.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=model_e4a7eeb0354675692635eec86e4e72e0_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,O2_max,beta,O2_0,sigma
# Adaptation terminated
# Step size = 0.158245
# Diagonal elements of inverse mass matrix:
# 0.0192361, 5.03972e-05, 1.21333e-05, 0.00087743
-1303,0.806205,0.158245,4,15,0,1303.8,919.04,1.78688,213.531,4.32594
-1301.2,0.99964,0.158245,3,7,0,1303.18,881.222,1.78725,213.209,4.32172
-1304.29,0.971747,0.158245,5,31,0,1305.15,1636.96,1.76629,213.703,4.45292
-1304.31,0.99057,0.158245,5,31,0,1308.22,998.63,1.78668,212.901,4.52396
-1307,0.980922,0.158245,4,15,0,1308.17,814.103,1.79042,213.098,4.59341
-1305.16,0.996783,0.158245,3,7,0,1308.64,845.204,1.78568,213.536,4.5481
-1299.73,0.944301,0.158245,4,15,0,1307.68,993.095,1.77798,213.562,4.31515
-1302.16,0.840922,0.158245,4,15,0,1303.82,983.187,1.77642,213.901,4.44449
-1303.03,0.998236,0.158245,4,27,0,1306.3,884.858,1.78494,213.216,4.45739
-1301.9,0.954293,0.158245,4,27,0,1307.34,1182.86,1.77768,213.537,4.42125
-1300.91,0.999229,0.158245,4,15,0,1303.08,954.135,1.77839,213.462,4.13329
-1302.9,0.974888,0.158245,4,15,0,1304.39,1164.74,1.7842,212.838,4.25744
-1302.34,0.88947,0.158245,3,15,0,1306.67,1187.98,1.78293,213.141,4.26821
-1301.05,1,0.158245,4,15,0,1303.46,1111.91,1.76593,214.262,4.32674
-1302.95,0.730529,0.158245,3,13,0,1305.43,1286.45,1.76694,214.326,4.23027
-1300.61,1,0.158245,3,7,0,1304.02,1188.99,1.76352,214.104,4.23525
-1304.67,0.887066,0.158245,4,15,0,1306.68,1091.58,1.76319,214.133,4.02876
-1301.06,0.99977,0.158245,4,15,0,1307.24,1334.95,1.76331,213.915,4.31464
